,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-b,grp-ref-mek,dam-lev,jac,id
1140,1424,ref-b.2.5.4.39b.8.34-ref-b.2.5.4.39b.8.44,ref-mek.4.4.2.323-ref-mek.4.4.2.330,1795532,1795598,245995,247660,ref-b.2.5.4.39b.8.34,ref-b.2.5.4.39b.8.44,191117,191161,31307,31362,ref-mek.4.4.2.323,ref-mek.4.4.2.330,מיני מגדים של זהב והיו מוציאין פירות בזמניהן וכיון שהרוח מנשבת בהן בו כל מיני מגדים של זהב והיו מוציאין פירות בזמניהן וכיון שהרוח מנשבת,והרוח מנשבת בו ועושהו כמין שולחנות של זהב והרוח מנשבת בו ועושהו כמין שולחנות של זהב,135,83,650.0,1422.0,0.6962962962962963,0.8,3050001141
1141,1426,ref-b.2.1.2.32a.7.34-ref-b.2.1.2.32a.7.38,ref-mek.4.4.3.126-ref-mek.4.4.3.130,458460,458489,64195,64199,ref-b.2.1.2.32a.7.34,ref-b.2.1.2.32a.7.38,191830,191859,31471,31475,ref-mek.4.4.3.126,ref-mek.4.4.3.130,ויחננו ויאמר פדעהו מרדת שחת ,ויחננו ויאמר פדעהו מרדת שחת ,4,4,235.0,1426.0,0.0,0.0,3050001142
1142,1427,ref-b.2.5.8.76a.7.1-ref-b.2.5.8.76a.7.33,ref-mek.4.4.3.169-ref-mek.4.4.3.201,1908474,1908649,261772,263595,ref-b.2.5.8.76a.7.1,ref-b.2.5.8.76a.7.33,192042,192201,31456,31534,ref-mek.4.4.3.169,ref-mek.4.4.3.201,וכי אי זה מדה מרובה מדה טובה או מדת פורענות הוי אומר מדה טובה ממדת פורענות במדת פורענות הוא אומר וארובות השמים נפתחו במדה טובה הוא אומר ויצו שחקים ממעל ודלתי שמים פתח וכי אי זה מדה מרובה מדה טובה או מדת פורענות הוי אומר מדה טובה ממדת פורענות במדת פורענות הוא אומר וארובות השמים נפתחו במדה טובה הוא אומר ויצו שחקים ממעל ודלתי,וכי אי זו מדה מרובה טובה או רעה הוי אומר מדה טובה מרובה ממדת פורענות הרי הוא אומר חמש עשרה אמה גבהו ובמדה טובה מה הוא אומר ויצו שחקים ממעל ודלתי שמים פתח וכי אי זו מדה מרובה טובה או רעה הוי אומר מדה טובה מרובה ממדת פורענות הרי הוא אומר חמש עשרה אמה גבהו ובמדה טובה מה הוא אומר ויצו שחקים,324,287,705.0,1427.0,0.33024691358024694,0.3913043478260869,3050001143
1143,1429,ref-b.4.4.11.100a.18.32-ref-b.4.4.11.100b.1.16,ref-mek.4.4.3.172-ref-mek.4.4.3.201,6346509,6346636,885604,886002,ref-b.4.4.11.100a.18.32,ref-b.4.4.11.100b.1.16,192053,192201,31459,31499,ref-mek.4.4.3.172,ref-mek.4.4.3.201,מדה מרובה מדת טובה מרובה או מדת פורענות הוי אומר מדה טובה מרובה ממדת פורענות במדה טובה כתיב ויצו שחקים ממעל ודלתי שמים פתח מדה מרובה מדת טובה מרובה או מדת פורענות הוי אומר מדה טובה מרובה ממדת פורענות במדה טובה כתיב ויצו שחקים ממעל ודלתי שמים פתח,מדה מרובה טובה או רעה הוי אומר מדה טובה מרובה ממדת פורענות הרי הוא אומר חמש עשרה אמה גבהו ובמדה טובה מה הוא אומר ויצו שחקים ממעל ודלתי שמים פתח חמש עשרה אמה גבהו ובמדה טובה מה הוא אומר ויצו שחקים,245,195,2558.0,1427.0,0.5510204081632653,0.4545454545454546,3050001144
1144,1432,ref-b.2.12.2.12b.5.56-ref-b.2.12.2.12b.5.61,ref-mek.4.4.3.196-ref-mek.4.4.3.201,2794594,2794627,388002,388007,ref-b.2.12.2.12b.5.56,ref-b.2.12.2.12b.5.61,192168,192201,31529,31534,ref-mek.4.4.3.196,ref-mek.4.4.3.201,ויצו שחקים ממעל ודלתי שמים פתח ,ויצו שחקים ממעל ודלתי שמים פתח ,5,5,1056.0,1427.0,0.0,0.0,3050001145
1145,1433,ref-b.2.5.8.76a.9.14-ref-b.2.5.8.76a.9.26,ref-mek.4.4.3.242-ref-mek.4.4.3.249,1908840,1908909,263627,263637,ref-b.2.5.8.76a.9.14,ref-b.2.5.8.76a.9.26,192390,192434,31574,31581,ref-mek.4.4.3.242,ref-mek.4.4.3.249,שרואין אותו כל מלכי מזרח ומערב שנאמר תערוך לפני שלחן נגד צוררי וגו' ,ראוהו כל האומות שנאמר תערוך לפני שלחן וגו' ,10,7,708.0,1433.0,0.4411764705882353,0.6,3050001146
1146,1434,ref-b.2.5.1.2a.7.22-ref-b.2.5.1.2a.7.26,ref-mek.4.4.4.52-ref-mek.4.4.4.61,1679985,1680013,229510,229514,ref-b.2.5.1.2a.7.22,ref-b.2.5.1.2a.7.26,192705,192758,31571,31580,ref-mek.4.4.4.52,ref-mek.4.4.4.61,כולו קרוי בירה שנאמר הבירה ,לאכלה ונאמר להלן לחם אבירים אכל איש אל תיקרי אבירים ,4,9,591.0,1434.0,0.6923076923076923,0.8181818181818181,3050001147
1147,1435,ref-b.2.5.3.38a.4.8-ref-b.2.5.3.38a.4.12,ref-mek.4.4.4.56-ref-mek.4.4.4.62,1786756,1786782,246316,246320,ref-b.2.5.3.38a.4.8,ref-b.2.5.3.38a.4.12,192728,192762,31625,31631,ref-mek.4.4.4.56,ref-mek.4.4.4.62,ברותים אל תיקרי ברותים אלא ,אבירים אכל איש אל תיקרי אבירים אלא ,4,6,643.0,1434.0,0.42857142857142855,0.6666666666666667,3050001148
1148,1436,ref-b.2.5.8.75b.17.1-ref-b.2.5.8.76a.1.7,ref-mek.4.4.4.75-ref-mek.4.4.4.93,1907333,1907394,263387,263398,ref-b.2.5.8.75b.17.1,ref-b.2.5.8.76a.1.7,192836,192923,31643,31658,ref-mek.4.4.4.75,ref-mek.4.4.4.93,דבר אחר לחם אבירים אכל איש זה יהושע שירד לו מן כנגד כל ישראל ,דבר אחר לחם אבירים אכל איש צדה שלח להם לשובע זה יהושע בן נון שירד לו מן כנגד כל ישראל ,11,15,704.0,1436.0,0.29069767441860467,0.23529411764705888,3050001149
1149,1437,ref-b.2.3.8.83b.3.2-ref-b.2.3.8.83b.3.17,ref-mek.4.5.1.29-ref-mek.4.5.1.40,1202343,1202423,165913,165925,ref-b.2.3.8.83b.3.2,ref-b.2.3.8.83b.3.17,193162,193227,31702,31712,ref-mek.4.5.1.29,ref-mek.4.5.1.40,אמרו האוכל כמדה זו הרי זה בריא ומבורך יתר על כן רעבתן פחות מכאן מקולקל במעיו ,אמרו אוכל כשיעור הזה הרי הוא ברוך ומבורך פחות מכאן קללה במעיו ,12,10,397.0,1437.0,0.42857142857142855,0.5294117647058824,3050001150
1150,1438,ref-b.1.1.4.27a.9.12-ref-b.1.1.4.27a.10.26,ref-mek.4.5.4.16-ref-mek.4.5.4.36,141768,141923,19597,19794,ref-b.1.1.4.27a.9.12,ref-b.1.1.4.27a.10.26,193792,193903,31761,31829,ref-mek.4.5.4.16,ref-mek.4.5.4.36,וחם השמש ונמס בארבע שעות אתה אומר בארבע שעות או אינו אלא בשש שעות כשהוא אומר שש שעות אמור הא מה אני מקיים וחם השמש ונמס בארבע שעות שעות מאן תנא להא דתנן וחם השמש ונמס בארבע שעות אתה אומר בארבע שעות או אינו אלא בשש שעות כשהוא אומר כחם היום הרי שש שעות אמור הא,לחם וחם השמש ונמס בארבעה שעות אתה אומר בארבעה שעות או אינו אלא בשש שעות כשהוא אומר ונמס בארבעה שעות אתה אומר בארבעה שעות או אינו אלא בשש שעות כשהוא אומר וחם השמש,258,161,102.0,1438.0,0.437984496124031,0.3125,3050001151
1151,1440,ref-b.1.1.4.27a.11.40-ref-b.1.1.4.27a.12.23,ref-mek.4.5.4.16-ref-mek.4.5.4.44,142213,142326,19661,19851,ref-b.1.1.4.27a.11.40,ref-b.1.1.4.27a.12.23,193792,193942,31761,31836,ref-mek.4.5.4.16,ref-mek.4.5.4.44,שעות מאי משמע אמר רבי אחא בר יעקב אמר קרא וחם השמש ונמס איזו היא שעה שהשמש חם והצל צונן הוי אומר בארבע שעות וחם השמש ונמס בארבע שעות מאי משמע אמר רבי אחא בר יעקב אמר קרא וחם השמש ונמס איזו היא שעה שהשמש,לחם וחם השמש ונמס בארבעה שעות אתה אומר בארבעה שעות או אינו אלא בשש שעות כשהוא אומר וחם השמש משמע בשעה שהשמש חם והצל צונן וחם השמש ונמס בארבעה שעות אתה אומר בארבעה שעות וחם השמש משמע בשעה שהשמש חם והצל צונן זו היא שעה,202,216,106.0,1438.0,0.6203703703703703,0.47619047619047616,3050001152
1152,1444,ref-b.2.5.8.75a.20.13-ref-b.2.5.8.75a.20.23,ref-mek.4.5.4.73-ref-mek.4.5.4.78,1904324,1904375,261151,262950,ref-b.2.5.8.75a.20.13,ref-b.2.5.8.75a.20.23,194120,194154,31815,31870,ref-mek.4.5.4.73,ref-mek.4.5.4.78,טועם בה כמה טעמים אף המן כל זמן שישראל אוכלין אותו מוצאין בו כמה טעמים טועם בה כמה טעמים אף המן כל זמן שישראל אוכלין,מהם ואוכלין אותן וטועמים בהם טעם מהם ואוכלין אותן וטועמים בהם טעם,116,65,700.0,1444.0,0.7155172413793104,0.7272727272727273,3050001153
1153,1446,ref-b.2.7.2.15b.9.6-ref-b.2.7.2.15b.9.26,ref-mek.4.5.5.102-ref-mek.4.5.5.110,2163077,2163182,298457,298473,ref-b.2.7.2.15b.9.6,ref-b.2.7.2.15b.9.26,194723,194763,31967,31975,ref-mek.4.5.5.102,ref-mek.4.5.5.110,אשר תאפו אפו ואת אשר תבשלו בשלו מכאן אמר רבי אליעזר אין אופין אלא על האפוי ואין מבשלין אלא על המבושל ,אשר תאפו אפו אפו על אפוי ובשלו על מבושל ,16,8,809.0,1446.0,0.6237623762376238,0.6428571428571428,3050001154
1154,1447,ref-b.2.1.16.117b.11.18-ref-b.2.1.16.117b.11.37,ref-mek.4.5.5.122-ref-mek.4.5.6.13,764312,764413,106686,106700,ref-b.2.1.16.117b.11.18,ref-b.2.1.16.117b.11.37,194827,194899,31987,32000,ref-mek.4.5.5.122,ref-mek.4.5.6.13,אמר רבי יוחנן ושניהם מקרא אחד דרשו ויאמר משה אכלוהו היום כי שבת היום לה' היום לא תמצאהו בשדה רבי ,שאמר ויאמר משה אכלוהו היום כי שבת היום לה' היום לא תמצאוהו בשדה ר' ,14,13,334.0,1447.0,0.35051546391752575,0.5,3050001155
1155,1448,ref-b.2.1.16.117b.11.29-ref-b.2.1.16.117b.11.36,ref-mek.4.5.6.46-ref-mek.4.5.6.56,764371,764409,106692,106699,ref-b.2.1.16.117b.11.29,ref-b.2.1.16.117b.11.36,195068,195123,32029,32037,ref-mek.4.5.6.46,ref-mek.4.5.6.56,כי שבת היום לה' היום לא תמצאהו בשדה ,כי שבת היום לה' ומה תלמוד לומר היום לא תמצאוהו בשדה ,7,8,334.0,1448.0,0.3076923076923077,0.2857142857142857,3050001156
1156,1449,ref-b.3.6.4.45b.16.10-ref-b.3.6.4.46a.1.4,ref-mek.4.5.6.79-ref-mek.4.5.6.105,4217782,4217832,582245,582429,ref-b.3.6.4.45b.16.10,ref-b.3.6.4.46a.1.4,195240,195374,32007,32044,ref-mek.4.5.6.79,ref-mek.4.5.6.105,שאמר לה משום שם רע אני מוציאך משום נדר אני מוציאך שאמר לה משום שם רע אני מוציאך משום נדר,אתם מוצאים אותו אבל אתם מוצאים אותו מחר ר' אלעזר בן חסמא אומר בעולם הזה אי אתם מוצאים אותו אבל לעולם הבא אתם מוצאים אותו ויאמר משה אומר בעולם הזה אי אתם מוצאים אותו אבל לעולם הבא אתם,88,182,1605.0,1449.0,0.6978021978021978,0.9473684210526316,3050001157
1157,1450,ref-b.3.1.6.61a.1.6-ref-b.3.1.6.61a.1.13,ref-mek.4.5.6.80-ref-mek.4.5.6.96,3036854,3036894,418772,418779,ref-b.3.1.6.61a.1.6,ref-b.3.1.6.61a.1.13,195244,195327,32023,32036,ref-mek.4.5.6.80,ref-mek.4.5.6.96,שנאמר ואתן צאני צאן מרעיתי אדם אתם אתם ,מוצאים אותו אבל אתם מוצאים אותו מחר ר' אלעזר בן חסמא אומר בעולם הזה אי אתם מוצאים ,7,13,1154.0,1449.0,0.7073170731707317,0.9411764705882353,3050001158
1158,1452,ref-b.5.2.6.64a.9.12-ref-b.5.2.6.64a.10.11,ref-mek.4.5.6.96-ref-mek.4.5.6.106,7337530,7337661,1030603,1030613,ref-b.5.2.6.64a.9.12,ref-b.5.2.6.64a.10.11,195321,195381,32032,32041,ref-mek.4.5.6.96,ref-mek.4.5.6.106,נמצאת אתה מכשילן לעתיד לבא אבל התם דנמצאת אתה מכשילן לעתיד לבא אימא כרבנן סבירא ליה אי נמי עד כאן לא קאמר רבי יוסי התם אלא דליכא ,מוצאים אותו אבל לעולם הבא אתם מוצאים אותו ויאמר משה אכלוהו ,10,9,2968.0,1449.0,0.7364341085271318,0.8260869565217391,3050001159
1159,1453,ref-b.2.1.16.118a.7.18-ref-b.2.1.16.118a.7.36,ref-mek.4.5.6.170-ref-mek.4.5.6.180,765858,765964,106910,106926,ref-b.2.1.16.118a.7.18,ref-b.2.1.16.118a.7.36,195714,195778,32131,32141,ref-mek.4.5.6.170,ref-mek.4.5.6.180,בשבת ניצול משלש פורעניות מחבלו של משיח ומדינה של גיהנם וממלחמת גוג ומגוג מחבלו של משיח כתיב הכא יום ,השבת תנצלו משלשה פורעניות מיומו של גוג ומחבלו של משיח ומיום ,16,10,337.0,1453.0,0.49,0.6111111111111112,3050001160
1160,1454,ref-b.2.1.16.118b.4.17-ref-b.2.1.16.118b.4.23,ref-mek.4.5.6.227-ref-mek.4.5.7.7,767167,767205,107110,107116,ref-b.2.1.16.118b.4.17,ref-b.2.1.16.118b.4.23,196024,196070,32175,32183,ref-mek.4.5.6.227,ref-mek.4.5.7.7,ויהי ביום השביעי יצאו מן העם ללקוט ,יהיה בו ויהי ביום השביעי יצאו מן העם ללקוט ,6,8,342.0,1454.0,0.18604651162790697,0.0,3050001161
1161,1455,ref-b.1.1.5.32a.13.18-ref-b.1.1.5.32a.14.8,ref-mek.4.6.1.13-ref-mek.4.6.1.29,172269,172370,24055,24071,ref-b.1.1.5.32a.13.18,ref-b.1.1.5.32a.14.8,196157,196252,32196,32209,ref-mek.4.6.1.13,ref-mek.4.6.1.29,הקדוש ברוך הוא והודה לו למשה שנאמר וכסף הרביתי להם וזהב עשו לבעל וידבר ה' אל משה לך רד מאי לך ,הקדוש ברוך הוא למשה משה אמור להם לישראל הוצאתי אתכם ממצרים וקרעתי לכם את הים והורדתי לכם ,16,13,115.0,1455.0,0.6063829787234043,0.8076923076923077,3050001162
1162,1456,ref-b.3.5.7.35a.6.3-ref-b.3.5.7.35a.6.11,ref-mek.4.6.1.21-ref-mek.4.6.1.30,4015032,4015082,554605,554611,ref-b.3.5.7.35a.6.3,ref-b.3.5.7.35a.6.11,196200,196256,32167,32175,ref-mek.4.6.1.21,ref-mek.4.6.1.30,הוציאנו ממצרים וקרע לנו את הים והאכילנו את המן ,הוצאתי אתכם ממצרים וקרעתי לכם את הים והורדתי לכם המן ,6,8,1482.0,1455.0,0.3584905660377358,0.75,3050001163
1163,1457,ref-b.4.1.8.92a.18.9-ref-b.4.1.8.92a.18.14,ref-mek.4.6.1.44-ref-mek.4.6.1.49,4985759,4985792,689644,689649,ref-b.4.1.8.92a.18.9,ref-b.4.1.8.92a.18.14,196339,196372,32189,32194,ref-mek.4.6.1.44,ref-mek.4.6.1.49,עד אנה מאנתם לשמור מצותי ותורותי ,עד מתי מאנתם לשמור מצותי ותורותי ,5,5,1951.0,1457.0,0.09090909090909091,0.2857142857142857,3050001164
1164,1458,ref-b.2.3.4.51a.7.8-ref-b.2.3.4.51a.7.19,ref-mek.4.6.1.139-ref-mek.4.6.1.150,1098554,1098610,151432,151441,ref-b.2.3.4.51a.7.8,ref-b.2.3.4.51a.7.19,196791,196848,32311,32322,ref-mek.4.6.1.139,ref-mek.4.6.1.150,איש תחתיו אלו ארבע אמות אל יצא איש ממקומו אלו אלפים אמה ,איש תחתיו אלו ארבעה אמות אל יצא איש ממקומו אלו אלפים אמה ,9,11,380.0,1458.0,0.017543859649122806,0.0,3050001165
1165,1459,ref-b.2.1.16.118a.7.18-ref-b.2.1.16.118a.7.29,ref-mek.4.6.2.62-ref-mek.4.6.2.72,765858,765929,106910,106919,ref-b.2.1.16.118a.7.18,ref-b.2.1.16.118a.7.29,197228,197286,32381,32391,ref-mek.4.6.2.62,ref-mek.4.6.2.72,בשבת ניצול משלש פורעניות מחבלו של משיח ומדינה של גיהנם וממלחמת גוג ,שבת זו תנצלו משלשת פורעניות מחבלו של משיח ומיומו של גוג ,9,10,337.0,1459.0,0.3880597014925373,0.6,3050001166
1166,1460,ref-b.2.5.8.75a.12.4-ref-b.2.5.8.75a.12.8,ref-mek.4.6.3.44-ref-mek.4.6.3.49,1902912,1902944,262706,262710,ref-b.2.5.8.75a.12.4,ref-b.2.5.8.75a.12.8,197534,197567,32432,32437,ref-mek.4.6.3.44,ref-mek.4.6.3.49,שדומה להגדה שמושכת לבו של אדם ,דומה להגדה שהוא מושך לבו של אדם ,4,5,696.0,1460.0,0.21875,0.5,3050001167
1167,1461,ref-b.2.5.8.75a.14.7-ref-b.2.5.8.75a.14.33,ref-mek.4.6.3.77-ref-mek.4.6.3.100,1903084,1903228,262732,262758,ref-b.2.5.8.75a.14.7,ref-b.2.5.8.75a.14.33,197707,197824,32460,32482,ref-mek.4.6.3.77,ref-mek.4.6.3.100,היה מגיד להם לישראל מה שבחורין ומה שבסדקין כך המן מגיד להם לישראל מה שבחורין ומה שבסדקין כיצד שנים שבאו לפני משה לדין זה אומר עבדי גנבת ,כך היה המן מגיד לישראל חדרים וסתרים הא כיצד איש ואשה שבאו לפני משה וכן שנים שבאו לפני בית דין זה אומר עבדי גנבת ,26,22,697.0,1461.0,0.4852941176470588,0.33333333333333337,3050001168
1168,1462,ref-b.2.5.8.75a.15.1-ref-b.2.5.8.75a.15.9,ref-mek.4.6.3.86-ref-mek.4.6.3.98,1903377,1903419,260998,262796,ref-b.2.5.8.75a.15.1,ref-b.2.5.8.75a.15.9,197753,197814,32419,32480,ref-mek.4.6.3.86,ref-mek.4.6.3.98,וכן איש ואשה שבאו לפני משה לדין זה אומר איש ואשה שבאו לפני משה לדין זה אומר,איש ואשה שבאו לפני משה וכן שנים שבאו לפני בית דין זה אומר איש ואשה שבאו לפני משה וכן שנים שבאו לפני בית דין זה,75,110,698.0,1461.0,0.4636363636363636,0.2222222222222222,3050001169
1169,1464,ref-b.3.5.9.48b.16.8-ref-b.3.5.9.48b.16.16,ref-mek.4.6.3.114-ref-mek.4.6.3.121,4077637,4077686,563726,563733,ref-b.3.5.9.48b.16.8,ref-b.3.5.9.48b.16.16,197902,197942,32456,32462,ref-mek.4.6.3.114,ref-mek.4.6.3.121,סולת שצפה על גבי נפה ודומה לעיסה שנילושה בדבש ,כסולת זו שצפה על גבי נפה ונלושה בדבש ,7,6,1586.0,1464.0,0.3695652173913043,0.4545454545454546,3050001170
1170,1465,ref-b.2.4.4.54a.17.3-ref-b.2.4.4.54a.17.8,ref-mek.4.6.4.30-ref-mek.4.6.4.35,1448226,1448264,198655,198659,ref-b.2.4.4.54a.17.3,ref-b.2.4.4.54a.17.8,198104,198146,32527,32531,ref-mek.4.6.4.30,ref-mek.4.6.4.35,עשרה דברים נבראו בערב שבת בין השמשות ,מעשרה דברים שנבראו בערב שבת בין השמשות ,4,4,479.0,1465.0,0.05128205128205128,0.2857142857142857,3050001171
1171,1466,ref-b.2.4.4.54a.6.7-ref-b.2.4.4.54a.6.38,ref-mek.4.6.4.30-ref-mek.4.6.4.58,1446035,1446208,196951,198345,ref-b.2.4.4.54a.6.7,ref-b.2.4.4.54a.6.38,198104,198280,32477,32552,ref-mek.4.6.4.30,ref-mek.4.6.4.58,עשרה דברים נבראו בערב שבת בין השמשות אלו הן באר והמן וקשת כתב ומכתב והלוחות וקברו של משה ומערה שעמד בו משה ואליהו פתיחת פי האתון עשרה דברים נבראו בערב שבת בין השמשות אלו הן באר והמן וקשת כתב ומכתב והלוחות וקברו של משה ומערה שעמד בו משה ואליהו פתיחת פי האתון ופתיחת פי,מעשרה דברים שנבראו בערב שבת בין השמשות הקשת והמן והמטה והכתב והשמיר והלוחות ופתיחת פי הארץ לבלוע הרשעים ופתיחת פי האתון וקברו של משה ומערה שעמד בה משה ואליהו מעשרה דברים שנבראו בערב שבת בין השמשות הקשת והמן והמטה והכתב והשמיר והלוחות ופתיחת פי הארץ לבלוע הרשעים ופתיחת פי האתון משה ומערה שעמד בה משה,267,299,474.0,1465.0,0.4916387959866221,0.4137931034482759,3050001172
1172,1468,ref-b.2.4.4.54a.17.10-ref-b.2.4.4.54b.2.34,ref-mek.4.6.4.43-ref-mek.4.6.4.103,1448265,1448682,197294,198719,ref-b.2.4.4.54a.17.10,ref-b.2.4.4.54b.2.34,198190,198527,32488,32592,ref-mek.4.6.4.43,ref-mek.4.6.4.103,ואלו הן באר ומן וקשת הכתב והמכתב והלוחות קברו של משה ומערה שעמד בה משה ואליהו פתיחת פי האתון ופתיחת פי הארץ לבלוע את הרשעים ויש אומרים אף מקלו של אהרן שקדיה ופרחיה ויש אומרים אף המזיקין ויש אומרים אף בגדו של אדם הראשון תנו רבנן שבעה דברים מכוסים מבני אדם אלו הן יום המיתה ויום הנחמה ועומק הדין ואין אדם יודע מה בלבו של חבירו ואין אדם יודע במה משתכר ומלכות בית דוד מתי תחזור ומלכות חייבת קברו של משה ומערה שעמד בה משה ואליהו פתיחת פי האתון ופתיחת פי הארץ לבלוע את הרשעים ויש אומרים אף מקלו של אהרן שקדיה ופרחיה ויש אומרים אף המזיקין ויש אומרים אף בגדו של אדם הראשון תנו רבנן שבעה דברים מכוסים מבני אדם אלו הן יום המיתה ויום הנחמה ועומק הדין ואין,ופתיחת פי הארץ לבלוע הרשעים ופתיחת פי האתון וקברו של משה ומערה שעמד בה משה ואליהו ויש אומרין אף בגדיו של אדם הראשון ומקלו של אהרן שקדיו ופרחיו שבעה דברים מכוסין מבני אדם ואלו הן יום המיתה ויום הנחמה ועומק הדין ואין אדם יודע כמה משתכר ואין אדם יודע מה בלבו של חבירו ומלכות בית דוד אימתי תחזור למקומה ומלכות חייבת ומערה שעמד בה משה ואליהו ויש אומרין אף בגדיו של אדם הראשון ומקלו של אהרן שקדיו ופרחיו שבעה דברים מכוסין מבני אדם ואלו הן יום המיתה ויום הנחמה ועומק הדין ואין אדם יודע כמה משתכר ואין אדם יודע מה בלבו של חבירו ומלכות בית,644,530,480.0,1465.0,0.5263975155279503,0.22448979591836737,3050001173
1173,1471,ref-b.2.5.5.52b.11.11-ref-b.2.5.5.52b.11.15,ref-mek.4.6.4.66-ref-mek.4.6.4.70,1831264,1831294,252621,252625,ref-b.2.5.5.52b.11.11,ref-b.2.5.5.52b.11.15,198317,198345,32559,32563,ref-mek.4.6.4.66,ref-mek.4.6.4.70,ומקלו של אהרן ושקדיה ופרחיה ,ומקלו של אהרן שקדיו ופרחיו ,4,4,660.0,1465.0,0.10714285714285714,0.0,3050001174
1174,1472,ref-b.4.10.3.12a.1.13-ref-b.4.10.3.12a.1.17,ref-mek.4.6.4.66-ref-mek.4.6.4.70,6798297,6798325,953340,953344,ref-b.4.10.3.12a.1.13,ref-b.4.10.3.12a.1.17,198317,198345,32524,32528,ref-mek.4.6.4.66,ref-mek.4.6.4.70,ומקלו של אהרן שקדיה ופרחיה ,ומקלו של אהרן שקדיו ופרחיו ,4,4,2771.0,1465.0,0.07407407407407407,0.0,3050001175
1175,1473,ref-b.5.7.1.5b.16.14-ref-b.5.7.1.5b.16.18,ref-mek.4.6.4.66-ref-mek.4.6.4.70,8360480,8360508,1176393,1176397,ref-b.5.7.1.5b.16.14,ref-b.5.7.1.5b.16.18,198317,198345,32520,32524,ref-mek.4.6.4.66,ref-mek.4.6.4.70,ומקלו של אהרן שקדים ופרחים ,ומקלו של אהרן שקדיו ופרחיו ,4,4,3262.0,1465.0,0.07407407407407407,0.0,3050001176
1176,1474,ref-b.5.2.3.28b.10.14-ref-b.5.2.3.28b.10.23,ref-mek.4.6.5.14-ref-mek.4.6.5.27,7225352,7225395,1014373,1014418,ref-b.5.2.3.28b.10.14,ref-b.5.2.3.28b.10.23,198598,198649,32556,32580,ref-mek.4.6.5.14,ref-mek.4.6.5.27,של כסף של נחשת של ברזל ושל בדיל ושל עופרת של כסף של נחשת של ברזל ושל בדיל ושל עופרת,של כסף היתה או של ברזל או של עופרת או של של כסף היתה או של ברזל או של עופרת או של נחשת או של,83,92,2902.0,1474.0,0.5,0.2857142857142857,3050001177
1177,1476,ref-b.4.10.3.12a.1.1-ref-b.4.10.3.12a.1.17,ref-mek.4.6.5.127-ref-mek.4.6.5.139,6798228,6798325,953328,953344,ref-b.4.10.3.12a.1.1,ref-b.4.10.3.12a.1.17,199190,199258,32668,32679,ref-mek.4.6.5.127,ref-mek.4.6.5.139,ומי הוה שמן המשחה והתניא משנגנז ארון נגנז שמן המשחה וצנצנת המן ומקלו של אהרן שקדיה ופרחיה ,מי נדה וצלוחית שמן המשחה ויש אומרים אף מקלו של אהרן שקדיו ופרחיו ,16,11,2771.0,1476.0,0.5333333333333333,0.6842105263157895,3050001178
1178,1477,ref-b.5.7.1.5b.16.1-ref-b.5.7.1.5b.16.18,ref-mek.4.6.5.127-ref-mek.4.6.5.139,8360404,8360508,1176380,1176397,ref-b.5.7.1.5b.16.1,ref-b.5.7.1.5b.16.18,199190,199258,32664,32675,ref-mek.4.6.5.127,ref-mek.4.6.5.139,ומי הוה שמן המשחה והתניא משנגנז ארון נגנז צנצנת המן וצלוחית שמן המשחה ומקלו של אהרן שקדים ופרחים ,מי נדה וצלוחית שמן המשחה ויש אומרים אף מקלו של אהרן שקדיו ופרחיו ,17,11,3262.0,1476.0,0.5670103092783505,0.631578947368421,3050001179
1179,1478,ref-b.2.5.5.52b.11.8-ref-b.2.5.5.52b.11.15,ref-mek.4.6.5.129-ref-mek.4.6.5.139,1831244,1831294,252618,252625,ref-b.2.5.5.52b.11.8,ref-b.2.5.5.52b.11.15,199197,199258,32705,32714,ref-mek.4.6.5.129,ref-mek.4.6.5.139,וצלוחית שמן המשחה ומקלו של אהרן ושקדיה ופרחיה ,וצלוחית שמן המשחה ויש אומרים אף מקלו של אהרן שקדיו ופרחיו ,7,9,660.0,1476.0,0.27586206896551724,0.41666666666666663,3050001180
1180,1479,ref-b.2.4.4.54a.17.38-ref-b.2.4.4.54a.17.42,ref-mek.4.6.5.135-ref-mek.4.6.5.139,1448417,1448443,198684,198688,ref-b.2.4.4.54a.17.38,ref-b.2.4.4.54a.17.42,199232,199258,32710,32714,ref-mek.4.6.5.135,ref-mek.4.6.5.139,מקלו של אהרן שקדיה ופרחיה ,מקלו של אהרן שקדיו ופרחיו ,4,4,480.0,1476.0,0.07692307692307693,0.0,3050001181
1181,1480,ref-b.3.7.1.38a.4.3-ref-b.3.7.1.38a.4.13,ref-mek.4.6.6.1-ref-mek.4.6.6.13,4519319,4519375,623678,623687,ref-b.3.7.1.38a.4.3,ref-b.3.7.1.38a.4.13,199282,199346,32684,32693,ref-mek.4.6.6.1,ref-mek.4.6.6.13,ובני ישראל אכלו את המן ארבעים שנה וכי ארבעים שנה אכלו ,ובני ישראל אכלו את המן ארבעים שנה ר' יהושע אומר ארבעים יום אכלו ,9,9,1765.0,1480.0,0.234375,0.41666666666666663,3050001182
