,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-mek,dam-lev,jac,id
557,693,ref-y.2.8.1.1.1.361-ref-y.2.8.1.1.1.371,ref-mek.6.1.1.89-ref-mek.6.1.1.108,1633409,1633476,243348,243358,ref-y.2.8.1.1.1.361,ref-y.2.8.1.1.1.371,234845,234965,38658,38677,ref-mek.6.1.1.89,ref-mek.6.1.1.108,לא זכו למנות לעצמן התחילו מונין למלכיות שנאמר בשנת שתים לדריוש,לא רצו למנות לעצמם ימנו לאחרים שנאמר בשנת שתים למלכות נבוכדנצר חלם נבוכד נצר חלומות ואומר בששי בשנת שתים לדריוש,11,20,560.0,693.0,0.5585585585585585,0.6842105263157895,4050000558
558,695,ref-y.1.1.2.4.13.31-ref-y.1.1.2.4.13.39,ref-mek.6.1.2.336-ref-mek.6.1.2.347,48367,48405,7863,7870,ref-y.1.1.2.4.13.31,ref-y.1.1.2.4.13.39,237750,237806,39119,39129,ref-mek.6.1.2.336,ref-mek.6.1.2.347,ה' עוז לעמו יתן ה' יברך את עמו בשלום ,ה' עוז לעמו יתן ופתחו כלם ואמרו ה' יברך את עמו בשלום ,7,10,71.0,695.0,0.3018867924528302,0.30000000000000004,4050000559
559,696,ref-y.1.1.1.6.6.17-ref-y.1.1.1.6.6.27,ref-mek.6.1.2.429-ref-mek.6.1.2.439,29532,29596,4694,4703,ref-y.1.1.1.6.6.17,ref-y.1.1.1.6.6.27,238225,238288,39198,39207,ref-mek.6.1.2.429,ref-mek.6.1.2.439,ויתן להם ארצות גוים מפני מה בעבור ישמרו חוקיו ותורותיו ינצורו ,ויתן להם ארצות גוים מפני מה בעבור ישמרו חקיו ותורותיו ינצורו ,9,9,47.0,696.0,0.016129032258064516,0.0,4050000560
560,697,ref-y.1.1.4.5.6.49-ref-y.1.1.4.5.7.16,ref-mek.6.1.2.517-ref-mek.6.1.2.528,106240,106332,16993,17008,ref-y.1.1.4.5.6.49,ref-y.1.1.4.5.7.16,238688,238745,39273,39284,ref-mek.6.1.2.517,ref-mek.6.1.2.528,כנגד שבתך הר המוריה ר' חייא רובא ורבי יניי חד אמ' שמשם הודיה יוצאה לעולם וחדנה אמ' שמשם ,אחד לכך נאמר ויחן שם ישראל כנגד ההר שאמר להם זמן הרבה ,15,11,94.0,697.0,0.7272727272727273,0.7727272727272727,4050000561
561,698,ref-y.2.12.1.7.2.82-ref-y.2.12.1.7.2.89,ref-mek.6.2.2.30-ref-mek.6.2.2.37,1934088,1934134,289046,289052,ref-y.2.12.1.7.2.82,ref-y.2.12.1.7.2.89,239301,239347,39391,39397,ref-mek.6.2.2.30,ref-mek.6.2.2.37,על עבודה זרה ועל גילוי עריות ועל שפיכות דמים ,על עבודה זרה ועל גילוי עריות ועל שפיכות דמים ,6,6,706.0,698.0,0.0,0.0,4050000562
562,699,ref-y.2.9.3.3.4.21-ref-y.2.9.3.3.4.27,ref-mek.6.2.7.5-ref-mek.6.2.7.10,1783523,1783554,265984,265990,ref-y.2.9.3.3.4.21,ref-y.2.9.3.3.4.27,242203,242232,39888,39893,ref-mek.6.2.7.5,ref-mek.6.2.7.10,הנה אנכי בא אליך בעב הענן ענן ,הנני בא אליך בעב הענן בענן ,6,5,605.0,699.0,0.16666666666666666,0.5,4050000563
563,700,ref-y.2.5.3.6.7.36-ref-y.2.5.3.6.7.45,ref-mek.6.3.1.222-ref-mek.6.3.1.230,1424692,1424748,211820,211829,ref-y.2.5.3.6.7.36,ref-y.2.5.3.6.7.45,244582,244636,40291,40299,ref-mek.6.3.1.222,ref-mek.6.3.1.230,שאינו טעון טבילה טעון קודוש ידים ורגלי' כאן שהוא טעון ,שאין טעונין כיבוס בגדים טעונין טבילה וכאן שהוא טעון ,9,8,478.0,700.0,0.5,0.7272727272727273,4050000564
564,701,ref-y.4.4.6.5.2.3-ref-y.4.4.6.5.2.16,ref-mek.6.3.4.14-ref-mek.6.3.4.24,3215213,3215294,483726,483739,ref-y.4.4.6.5.2.3,ref-y.4.4.6.5.2.16,245451,245512,40437,40446,ref-mek.6.3.4.14,ref-mek.6.3.4.24,סקילה שנ' סקול יסקל ומניין שטעון דחייה שנאמר ירה יירה ומניין שטעון שתי דחיות ,סקול יסקל מניין שיידחה תלמוד לומר ירה ומנין שאם מת בדחייה ,13,9,1265.0,701.0,0.4935064935064935,0.7142857142857143,4050000565
565,702,ref-y.4.4.7.13.1.32-ref-y.4.4.7.13.1.69,ref-mek.6.3.4.40-ref-mek.6.3.4.71,3249399,3249579,488932,488966,ref-y.4.4.7.13.1.32,ref-y.4.4.7.13.1.69,245578,245723,40457,40478,ref-mek.6.3.4.40,ref-mek.6.3.4.71,נאמר כאן מכשפה לא תחיה ונאמר להלן אם בהמה אם איש לא יהיה מה לא יחיה שנאמר להלן בסקילה אף כאן בסקילה מה טעמון דרבנין מאמר כאן מכשפה לא תחיה ונאמר להלן לא תחיה כלנשמה,בהמה אם איש אין לי אלא איש אשה מניין תלמוד לומר אם איש לא יחיה ר' עקיבא אומר נאמר כאן לא יחיה,35,22,1321.0,702.0,0.6585365853658537,0.736842105263158,4050000566
566,705,ref-y.2.1.9.3.2.3-ref-y.2.1.9.3.2.32,ref-mek.6.3.6.78-ref-mek.6.3.6.111,1031836,1031991,154334,154357,ref-y.2.1.9.3.2.3,ref-y.2.1.9.3.2.32,246887,247064,40683,40708,ref-mek.6.3.6.78,ref-mek.6.3.6.111,הפולטת שכבת זרע ביום השלישי טהורה דברי רבי אלעזר בן עזריה רבי ושמעאל אומר פעמים שהן ארבע עונות פעמים שהן חמש פעמים שהן שש רבי עקיבה אומר לעולם הן חמש ,הפולטת שכבת זרע ביום השלישי שהיא טהורה ראייה לדבר מסיני דברי ר' אלעזר בן עזריה ר' אליעזר אומר אף פעמים שהם ארבע עונות פעמים שהן חמש פעמים שהן שש ר' עקיבא אומר לעולם חמש ,23,25,324.0,705.0,0.23076923076923078,0.2962962962962963,4050000567
567,706,ref-y.1.9.1.1.19.80-ref-y.1.9.1.1.19.93,ref-mek.6.3.6.102-ref-mek.6.3.7.4,762963,763023,114970,114980,ref-y.1.9.1.1.19.80,ref-y.1.9.1.1.19.93,247018,247090,40701,40712,ref-mek.6.3.6.102,ref-mek.6.3.7.4,היא לא שנייא היא שלשה עשר היא ארבעה עשר היא חמשה עשר היא ששה ,שהן חמש פעמים שהן שש ר' עקיבא אומר לעולם חמש ויהי ביום השלישי בהיות ,10,11,242.0,705.0,0.7058823529411765,0.6666666666666667,4050000568
568,707,ref-y.1.2.7.3.11.43-ref-y.1.2.7.3.11.48,ref-mek.6.3.7.14-ref-mek.6.3.7.19,276242,276273,43142,43147,ref-y.1.2.7.3.11.43,ref-y.1.2.7.3.11.48,247140,247171,40720,40725,ref-mek.6.3.7.14,ref-mek.6.3.7.19,עד שהמלך במסיבו נרדי נתן ריחו ,עד שהמלך במסיבו נרדי נתן ריחו ,5,5,179.0,707.0,0.0,0.0,4050000569
569,708,ref-y.4.4.10.2.13.71-ref-y.4.4.10.2.13.83,ref-mek.6.3.7.153-ref-mek.6.3.7.163,3289399,3289474,495303,495315,ref-y.4.4.10.2.13.71,ref-y.4.4.10.2.13.83,247869,247923,40843,40850,ref-mek.6.3.7.153,ref-mek.6.3.7.163,הדברים הדברים האלה באחרית הימים ושבת עד יי' אלהיך ושמעת בקולו כי אל ,השמיעיני את קולך אלו עשרת הדברות כי קולך ערב אלו לאחר ,12,7,1398.0,708.0,0.6911764705882353,0.875,4050000570
570,709,ref-y.2.9.2.4.1.139-ref-y.2.9.2.4.1.146,ref-mek.6.4.2.29-ref-mek.6.4.2.36,1772106,1772154,264271,264278,ref-y.2.9.2.4.1.139,ref-y.2.9.2.4.1.146,249292,249340,41087,41094,ref-mek.6.4.2.29,ref-mek.6.4.2.36,שנאמר ויי' אלהים בשופר יתקע והלך בסערות תימן ,ואומר וה' אלוהים בשופר יתקע והלך בסערות תימן ,7,7,597.0,709.0,0.13333333333333333,0.2222222222222222,4050000571
571,710,ref-y.2.9.2.4.2.64-ref-y.2.9.2.5.1.1,ref-mek.6.4.2.31-ref-mek.6.4.2.37,1772502,1772543,264333,264339,ref-y.2.9.2.4.2.64,ref-y.2.9.2.5.1.1,249303,249345,41089,41095,ref-mek.6.4.2.31,ref-mek.6.4.2.37,אלהי' בשופ' יתקע והלך בסערות תימן הלכה ,אלוהים בשופר יתקע והלך בסערות תימן הולך ,6,6,598.0,709.0,0.15,0.5,4050000572
572,711,ref-y.3.5.7.2.1.25-ref-y.3.5.7.2.1.30,ref-mek.6.4.2.66-ref-mek.6.4.2.72,2316305,2316342,346683,346688,ref-y.3.5.7.2.1.25,ref-y.3.5.7.2.1.30,249484,249525,41118,41124,ref-mek.6.4.2.66,ref-mek.6.4.2.72,שבכולן משה ידבר והאלהים יעננו בקול ,יכולה לשמוע משה ידבר והאלהים יעננו בקול ,5,6,834.0,711.0,0.225,0.375,4050000573
573,712,ref-y.3.7.1.7.2.104-ref-y.3.7.1.7.2.110,ref-mek.6.6.1.26-ref-mek.6.6.1.33,2869919,2869952,430150,430156,ref-y.3.7.1.7.2.104,ref-y.3.7.1.7.2.110,255923,255967,42190,42195,ref-mek.6.6.1.26,ref-mek.6.6.1.33,"א""ל אביך גזר עלי חמש גזירות קבלין ",גזרות אמר להם כשיקבלו את מלכותי אגזור עליכם ,6,5,1052.0,712.0,0.75,0.9166666666666666,4050000574
574,713,ref-y.1.1.1.5.2.29-ref-y.1.1.1.5.2.41,ref-mek.6.6.1.64-ref-mek.6.6.1.81,21346,21407,3340,3349,ref-y.1.1.1.5.2.29,ref-y.1.1.1.5.2.41,256127,256210,42221,42230,ref-mek.6.6.1.64,ref-mek.6.6.1.81,אנכי ה' אלהיך שמע יש' ה' אלהינו לא יהיה לך אלהי' אחרי' על פני ,לא יהיה לך אלהים אחרים על פני רבי שמעון בן יוחאי אומר הוא שנאמר להלן אני ה' אלהיכם ,9,9,27.0,713.0,0.6626506024096386,0.75,4050000575
575,714,ref-y.1.2.4.1.3.2-ref-y.1.2.4.1.3.20,ref-mek.6.6.1.230-ref-mek.6.6.1.259,247354,247445,38823,38841,ref-y.1.2.4.1.3.2,ref-y.1.2.4.1.3.20,256991,257136,42337,42365,ref-mek.6.6.1.230,ref-mek.6.6.1.259,תימר מחובר הוא קורא שם פיאה למעלן אין תימר מאינו מחובר קורא שם פיאה למטן אין תימ' קור' שם ,לומר אלו נקראו בשמו כבר היה בהם צורך אלו נקראו בשמו ואין בהם צורך ואימתי נקראו בשמו בימי אנוש בן שת שנאמר אז הוחל לקרוא בשם ה' באותה שעה עלה ,18,28,175.0,714.0,0.6950354609929078,0.88,4050000576
576,715,ref-y.4.4.7.10.3.9-ref-y.4.4.7.10.3.17,ref-mek.6.6.1.363-ref-mek.6.6.1.371,3244625,3244679,488242,488250,ref-y.4.4.7.10.3.9,ref-y.4.4.7.10.3.17,257633,257685,42450,42458,ref-mek.6.6.1.363,ref-mek.6.6.1.371,לשון שלימדתך התורה מולך כל שתמליכהו עליך אפילו קיסם ,לשון שתפסה תורה למולך כל שתמליכנו עליך אפילו קיסם ,8,8,1317.0,715.0,0.17307692307692307,0.5,4050000577
577,716,ref-y.4.4.6.10.3.98-ref-y.4.4.6.10.3.108,ref-mek.6.6.1.414-ref-mek.6.6.1.420,3223436,3223496,485126,485133,ref-y.4.4.6.10.3.98,ref-y.4.4.6.10.3.108,257898,257936,42494,42500,ref-mek.6.6.1.414,ref-mek.6.6.1.420,חי וקיים לעולם ולעולמי עולמים על אחת כמה וכמה שחייבים אנו ,חי וקיים לעולם ולעולמי עולמים אף אתה ,7,6,1267.0,716.0,0.39655172413793105,0.6666666666666667,4050000578
578,717,ref-y.1.1.3.2.4.114-ref-y.1.1.3.3.2.1,ref-mek.6.6.1.420-ref-mek.6.6.1.425,69949,69993,11420,11425,ref-y.1.1.3.2.4.114,ref-y.1.1.3.3.2.1,257933,257960,42500,42505,ref-mek.6.6.1.420,ref-mek.6.6.1.425,אותם את בניכם את בניכם ולא את בנותיכם עבדים ,אתה ובנך ובן בנך לא תעבוד ,5,5,76.0,716.0,0.6136363636363636,0.9,4050000579
579,718,ref-y.6.7.3.2.7.45-ref-y.6.7.3.2.7.58,ref-mek.6.6.2.123-ref-mek.6.6.2.147,3580801,3580870,539376,539389,ref-y.6.7.3.2.7.45,ref-y.6.7.3.2.7.58,258498,258606,42587,42603,ref-mek.6.6.2.123,ref-mek.6.6.2.147,כולו אדם ופניו בהמה אינו וולד כולו בהמה ופניו אדם וולד הוא כולו אדם ,כל סמל אבל יעשה לו דמות בהמה חיה ועוף תלמוד לומר תבנית כל בהמה וכו' לא יעשה לו דמות כל אלה אבל יעשה לו דמות ,13,16,1526.0,718.0,0.6481481481481481,0.8,4050000580
580,719,ref-y.6.7.3.2.1.17-ref-y.6.7.3.2.1.24,ref-mek.6.6.2.148-ref-mek.6.6.2.156,3578169,3578209,539010,539016,ref-y.6.7.3.2.1.17,ref-y.6.7.3.2.1.24,258607,258658,42604,42610,ref-mek.6.6.2.148,ref-mek.6.6.2.156,דגים וחגבים שקצים ורמשים אם יש עמהן דם ,דגים וחגבים שקצים ורמשים תלמוד לומר כל רמש האדמה ,6,6,1524.0,719.0,0.3877551020408163,0.5454545454545454,4050000581
581,720,ref-y.2.1.7.2.7.161-ref-y.2.1.7.2.7.167,ref-mek.6.6.3.47-ref-mek.6.6.3.74,994138,994174,148875,148881,ref-y.2.1.7.2.7.161,ref-y.2.1.7.2.7.167,259412,259550,42718,42734,ref-mek.6.6.3.47,ref-mek.6.6.3.74,לא תשתחוה לאל אחר זובח לאלהים יחרם,לא תשתחוה להם למה נאמר לפי שהוא אומר זובח לאלהים יחרם בלתי לה' לבדו עונש שמענו אזהרה,7,17,313.0,720.0,0.6071428571428571,0.7333333333333334,4050000582
582,721,ref-y.4.4.7.9.4.43-ref-y.4.4.7.9.4.49,ref-mek.6.6.3.55-ref-mek.6.6.3.60,3241808,3241845,487817,487823,ref-y.4.4.7.9.4.43,ref-y.4.4.7.9.4.49,259449,259480,42722,42727,ref-mek.6.6.3.55,ref-mek.6.6.3.60,זובח לאלהים יחרם פרט בלתי ליי' לבדו ,זובח לאלהים יחרם בלתי לה' לבדו ,6,5,1312.0,720.0,0.16666666666666666,0.1428571428571429,4050000583
583,723,ref-y.3.5.9.11.4.19-ref-y.3.5.9.11.4.25,ref-mek.6.6.3.89-ref-mek.6.6.3.95,2354088,2354120,352493,352499,ref-y.3.5.9.11.4.19,ref-y.3.5.9.11.4.25,259618,259650,42747,42753,ref-mek.6.6.3.89,ref-mek.6.6.3.95,הנה לא ינום ולא יישן שומר ישראל ,הנה לא ינום ולא יישן שומר ישראל ,6,6,870.0,723.0,0.0,0.0,4050000584
584,724,ref-y.1.2.1.1.18.70-ref-y.1.2.1.1.18.79,ref-mek.6.6.3.108-ref-mek.6.6.3.117,207116,207169,32520,32528,ref-y.1.2.1.1.18.70,ref-y.1.2.1.1.18.79,259706,259757,42765,42774,ref-mek.6.6.3.108,ref-mek.6.6.3.117,שולטת בו ואני כנסתי במקו' שאין היד שולטת בו שנאמר ,שולטת בי אני שליט בנומה ואין נומה שולטת בי שנאמר ,8,9,151.0,724.0,0.34,0.7,4050000585
585,725,ref-y.3.5.9.11.4.19-ref-y.3.5.9.11.4.25,ref-mek.6.6.3.118-ref-mek.6.6.3.124,2354088,2354120,352493,352499,ref-y.3.5.9.11.4.19,ref-y.3.5.9.11.4.25,259758,259790,42775,42781,ref-mek.6.6.3.118,ref-mek.6.6.3.124,הנה לא ינום ולא יישן שומר ישראל ,הנה לא ינום ולא יישן שומר ישראל ,6,6,870.0,725.0,0.0,0.0,4050000586
586,726,ref-y.1.1.1.5.2.45-ref-y.1.1.1.5.2.51,ref-mek.6.7.1.1-ref-mek.6.7.1.6,21415,21442,3352,3356,ref-y.1.1.1.5.2.45,ref-y.1.1.1.5.2.51,261536,261561,43080,43084,ref-mek.6.7.1.1,ref-mek.6.7.1.6,לא תשא את שם ה' אלהיך לשוא ,לא תשא שם ה' אלוהיך לשוא ,4,4,27.0,726.0,0.14814814814814814,0.16666666666666663,4050000587
587,727,ref-y.4.6.3.5.2.1-ref-y.4.6.3.5.2.10,ref-mek.6.7.1.10-ref-mek.6.7.1.17,3360073,3360121,506229,506237,ref-y.4.6.3.5.2.1,ref-y.4.6.3.5.2.10,261575,261612,43087,43094,ref-mek.6.7.1.10,ref-mek.6.7.1.17,היך רבי ישמעאל דריש או נפש כי תשבע לבטא בשפתים ,היית בכלל או נפש כי תשבע לבטא בשפתים ,8,7,1445.0,727.0,0.3191489361702128,0.6,4050000588
588,728,ref-y.3.3.2.2.3.9-ref-y.3.3.2.2.3.14,ref-mek.6.7.1.12-ref-mek.6.7.1.17,2536841,2536868,379728,379733,ref-y.3.3.2.2.3.9,ref-y.3.3.2.2.3.14,261585,261612,43089,43094,ref-mek.6.7.1.12,ref-mek.6.7.1.17,או נפש כי תשבע לבטא בשפתים ,או נפש כי תשבע לבטא בשפתים ,5,5,935.0,727.0,0.0,0.0,4050000589
589,729,ref-y.1.1.1.5.2.48-ref-y.1.1.1.5.2.62,ref-mek.6.7.1.56-ref-mek.6.7.1.77,21425,21500,3353,3365,ref-y.1.1.1.5.2.48,ref-y.1.1.1.5.2.62,261805,261906,43126,43142,ref-mek.6.7.1.56,ref-mek.6.7.1.77,שם ה' אלהיך לשוא ואהבת את ה' אלהיך מאן דרחים מלכא לא לישתבע,לא תשבעו בשמי לשקר אין לי אלא שלא ישבע מנין שלא יקבל עליו להשבע תלמוד לומר לא,13,17,27.0,729.0,0.7272727272727273,0.8888888888888888,4050000590
590,731,ref-y.2.5.8.7.2.100-ref-y.2.5.8.7.2.110,ref-mek.6.7.1.141-ref-mek.6.7.1.152,1489833,1489889,221893,221901,ref-y.2.5.8.7.2.100,ref-y.2.5.8.7.2.110,262218,262276,43198,43206,ref-mek.6.7.1.141,ref-mek.6.7.1.152,אמר לו שמעת ארבע' חלוקי כפרה שהיה ר' ישמעאל דורש אמ' לו ,אמר לו רבי שמעת בד' חלוקי כפרה שהיה ר' ישמעאל דורש אמר לו ,8,8,492.0,731.0,0.13793103448275862,0.33333333333333337,4050000591
591,732,ref-y.4.10.3.4.1.8-ref-y.4.10.3.4.1.17,ref-mek.6.7.1.163-ref-mek.6.7.1.179,3543257,3543316,533701,533710,ref-y.4.10.3.4.1.8,ref-y.4.10.3.4.1.17,262324,262417,43214,43228,ref-mek.6.7.1.163,ref-mek.6.7.1.179,מכפר וזה מכפר מוטב שיקדום המכפר למתכפר כמה דכתיב וכפר ,מכפרת וכתוב אחד אומר ביום הזה יכפר עליכם הא למדת שיום הכיפורים מכפר וכתוב אומר אם יכופר ,9,14,1523.0,732.0,0.6136363636363636,0.8,4050000592
592,733,ref-y.4.6.1.6.7.152-ref-y.4.6.1.6.7.163,ref-mek.6.7.1.169-ref-mek.6.7.1.187,3344791,3344851,503930,503937,ref-y.4.6.1.6.7.152,ref-y.4.6.1.6.7.163,262357,262457,43218,43236,ref-mek.6.7.1.169,ref-mek.6.7.1.187,הכתוב או' אם יכופר העון הזה לכם עד,יכפר עליכם הא למדת שיום הכיפורים מכפר וכתוב אומר אם יכופר העון הזה לכם עד תמותון הא למדת שמיתה,8,19,1437.0,732.0,0.648936170212766,0.5,4050000593
593,735,ref-y.4.6.1.6.7.117-ref-y.4.6.1.6.7.122,ref-mek.6.7.1.191-ref-mek.6.7.1.196,3344589,3344627,503899,503904,ref-y.4.6.1.6.7.117,ref-y.4.6.1.6.7.122,262475,262512,43240,43245,ref-mek.6.7.1.191,ref-mek.6.7.1.196,אומר ונקדתי בשבט פשעם ובנגעים עוונם ,אומר ופקדתי בשבט פשעם ובנגעים עונם ,5,5,1437.0,735.0,0.05555555555555555,0.2857142857142857,4050000594
594,736,ref-y.4.4.10.1.7.51-ref-y.4.4.10.1.7.55,ref-mek.6.7.1.192-ref-mek.6.7.1.196,3272500,3272532,492554,492558,ref-y.4.4.10.1.7.51,ref-y.4.4.10.1.7.55,262480,262512,43241,43245,ref-mek.6.7.1.192,ref-mek.6.7.1.196,ופקדתי בשבט פשעם ובנגעים עונם ,ופקדתי בשבט פשעם ובנגעים עונם ,4,4,1382.0,735.0,0.0,0.0,4050000595
595,737,ref-y.4.4.10.1.7.68-ref-y.4.4.10.1.7.94,ref-mek.6.7.1.206-ref-mek.6.7.1.230,3272594,3272738,492565,492587,ref-y.4.4.10.1.7.68,ref-y.4.4.10.1.7.94,262566,262692,43255,43276,ref-mek.6.7.1.206,ref-mek.6.7.1.230,"העובר על מצות עשה ושב מיד אינו זז ממקומו עד שימחול לו הק""בה ועליו הוא אומר שובו בנים שובכים ארפא מושבותיכם העובר על מצות בלא תעשה התשובה ",העובר על מצוות עשה ועשה תשובה אינו זז משם עד שמוחלין לו ועל זה נאמר שובו בנים שובבים והעובר על מצוות לא תעשה ועשה תשובה ,22,21,1385.0,737.0,0.3722627737226277,0.4545454545454546,4050000596
596,738,ref-y.4.6.1.6.7.45-ref-y.4.6.1.6.7.155,ref-mek.6.7.1.206-ref-mek.6.7.1.321,3344204,3344810,503846,503933,ref-y.4.6.1.6.7.45,ref-y.4.6.1.6.7.155,262566,263212,43255,43355,ref-mek.6.7.1.206,ref-mek.6.7.1.321,ופקדתי בשבט פשעם וגו' וכתוב אחר אומר אם יכופר העון עבר על מצות עשה ועשה תשובה אינו זז משם עד שיימחל לו עליו הכתו' אומר שובו בנים שובבים וגו' עבר על מצות לא תעשה ושב מיד התשובה תולה ויום הכיפורים מכפר עליו הכתוב אומר כי ביום הזה יכפר עליכם עבר על כריתות הזה יכפר עליכם עבר על כריתות ומיתות בית דין במזיד התשובה ויום הכיפורים מכפרין מחיצה והייסורין מכפרין מחצה עליו הכתנב אומר ונקדתי בשבט פשעם ובנגעים עוונם אבל מי שנתחלל שם שמים על ידו אין בח לא,העובר על מצוות עשה ועשה תשובה אינו זז משם עד שמוחלין לו ועל זה נאמר שובו בנים שובבים והעובר על מצוות לא תעשה ועשה תשובה אין כאן בתשובה לכפר אלא תשובה תולה ויום הכיפורים מכפר ועל זה נאמר כי ביום הזה יכפר עליכם והמזיד על כריתות ועל מיתת בית דין ועשה תשובה אין כח תשובה לתלות ויום הכיפורים לכפר אלא תשובה ויום הכיפורים מכפרין מחצה וייסורין ממרקין מכפרין מחצה ועל זה נאמר ופקדתי בשבט פשעם ובנגעים עוונם מי שמחלל שם שמים ועשה תשובה אין כח בתשובה לתלות ולא יום הכיפורים מכפר ולא ייסורין בלבד ממרקין אלא התשובה ויום הכיפורים תולין ויום,88,101,1437.0,737.0,0.5454545454545454,0.32608695652173914,4050000597
597,739,ref-y.2.5.8.7.2.165-ref-y.2.5.8.7.2.240,ref-mek.6.7.1.206-ref-mek.6.7.1.302,1490155,1490581,221940,221998,ref-y.2.5.8.7.2.165,ref-y.2.5.8.7.2.240,262566,263101,43255,43338,ref-mek.6.7.1.206,ref-mek.6.7.1.302,עד עד שימחול לו עליו הכתוב אומר שובו בנים שובבים העובר על מצוה בלא תעשה ושב מיד התשובה תולה ויום הכיפורים מכפר עליו הכתוב אומר כי ביו' חזה יכפר עליכם העובר על בריתות ומיתות בית דין במזיד התשובה ויום חכיפורים מכפרין מחצה והייסורין בשאר ימות השנה מכפרין מחצה עליו הכתוב אומר ופקדתי בשבט' פשעם ובנגעים עונם אבל מי שנתחלל,העובר על מצוות עשה ועשה תשובה אינו זז משם עד שמוחלין לו ועל זה נאמר שובו בנים שובבים והעובר על מצוות לא תעשה ועשה תשובה אין כאן בתשובה לכפר אלא תשובה תולה ויום הכיפורים מכפר ועל זה נאמר כי ביום הזה יכפר עליכם והמזיד על כריתות ועל מיתת בית דין ועשה תשובה אין כח תשובה לתלות ויום הכיפורים לכפר אלא תשובה ויום הכיפורים מכפרין מחצה וייסורין ממרקין מכפרין מחצה ועל זה נאמר ופקדתי בשבט פשעם ובנגעים עוונם מי שמחלל שם שמים ועשה תשובה אין,59,84,493.0,737.0,0.46511627906976744,0.4222222222222223,4050000598
598,742,ref-y.4.4.10.1.7.115-ref-y.4.4.10.1.7.147,ref-mek.6.7.1.258-ref-mek.6.7.1.301,3272853,3273045,492604,492631,ref-y.4.4.10.1.7.115,ref-y.4.4.10.1.7.147,262836,263093,43299,43337,ref-mek.6.7.1.258,ref-mek.6.7.1.301,התשובה ויום הכיפורים מכפרין מחצה מחצה ועליו הוא אומר ופקדתי בשבט פשעם וגו' אבל מי שנתחלל בו שם שמים אין כח בתשובה לתלות ולא יום הכיפורים לכפר ולא,אין כח תשובה לתלות ויום הכיפורים לכפר אלא תשובה ויום הכיפורים מכפרין מחצה וייסורין ממרקין מכפרין מחצה ועל זה נאמר ופקדתי בשבט פשעם ובנגעים עוונם מי שמחלל שם שמים ועשה תשובה אין כח בתשובה לתלות ולא יום הכיפורים מכפר,28,39,1386.0,737.0,0.4719626168224299,0.4347826086956522,4050000599
599,747,ref-y.4.4.10.1.7.51-ref-y.4.4.10.1.7.55,ref-mek.6.7.1.278-ref-mek.6.7.1.282,3272500,3272532,492554,492558,ref-y.4.4.10.1.7.51,ref-y.4.4.10.1.7.55,262956,262989,43316,43320,ref-mek.6.7.1.278,ref-mek.6.7.1.282,ופקדתי בשבט פשעם ובנגעים עונם ,ופקדתי בשבט פשעם ובנגעים עוונם ,4,4,1382.0,737.0,0.03225806451612903,0.0,4050000600
600,748,ref-y.4.6.1.6.6.56-ref-y.4.6.1.6.6.66,ref-mek.6.7.1.296-ref-mek.6.7.1.307,3343845,3343900,503793,503803,ref-y.4.6.1.6.6.56,ref-y.4.6.1.6.6.66,263060,263136,43332,43342,ref-mek.6.7.1.296,ref-mek.6.7.1.307,מכפר בלא תשובה ומיתה ממרקת בלא תשובה ותני כן יום מיתה ,מכפר ולא ייסורין בלבד ממרקין אלא התשובה ויום הכיפורים תולין ויום המיתה ,10,10,1436.0,737.0,0.4647887323943662,0.6153846153846154,4050000601
601,749,ref-y.2.8.2.5.2.54-ref-y.2.8.2.5.2.69,ref-mek.6.7.1.313-ref-mek.6.7.1.332,1664732,1664811,248232,248247,ref-y.2.8.2.5.2.54,ref-y.2.8.2.5.2.69,263167,263273,43347,43366,ref-mek.6.7.1.313,ref-mek.6.7.1.332,אם יתכפר עון בית עלי בזכה ובמנחה עד עולם בזבה ובמנחה אין מתכפר לו אבל מתכפר ,אם יכופר העון הזה עד תמותון ואומר אם יתכפר עון בית עלי בזבח ובמנחה בזבח ובמנחה אינו מתכפר אבל מתכפר ,15,19,576.0,737.0,0.5,0.5294117647058824,4050000602
602,750,ref-y.4.4.1.2.11.47-ref-y.4.4.1.2.11.59,ref-mek.6.7.1.313-ref-mek.6.7.1.332,3142572,3142638,472384,472396,ref-y.4.4.1.2.11.47,ref-y.4.4.1.2.11.59,263167,263273,43347,43366,ref-mek.6.7.1.313,ref-mek.6.7.1.332,אם יתכפר עון בית עלי בזבח ומנהה בזבח ומנחה אין מתכפר אבל מתכפר ,אם יכופר העון הזה עד תמותון ואומר אם יתכפר עון בית עלי בזבח ובמנחה בזבח ובמנחה אינו מתכפר אבל מתכפר ,12,19,1196.0,737.0,0.39,0.5625,4050000603
