baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-mek.7.3.1.107-ref-mek.7.3.1.131,ref-b.2.6.5.53a.3.35-ref-b.2.6.5.53a.3.48,293174,293289,ref-mek.7.3.1.107,ref-mek.7.3.1.131,2108202,2108254,ref-b.2.6.5.53a.3.35,ref-b.2.6.5.53a.3.48,אם תבא אל ביתי אני אבא אל ביתך אם אתה לא תבא אל ביתי,אם תבא אל ביתי אני אבא אל ביתך אם אתה לא תבא אל ביתי,14,14,802,802.0,2128,2128.0,0.0,0.0,12,אם תבא אל ביתי אני אבא אל ביתך אם אתה לא_תבא_אל ביתי,3080001703,14,14
ref-mek.7.3.1.96-ref-mek.7.3.1.137,ref-b.2.6.5.56a.2.12-ref-b.2.6.5.56a.2.20,293123,293322,ref-mek.7.3.1.96,ref-mek.7.3.1.137,2117218,2117261,ref-b.2.6.5.56a.2.12,ref-b.2.6.5.56a.2.20,ממכריו על האבות מה מכרו האבות זה לזה אני,ממכריו על האבות מה מכרו האבות זה לזה אני,9,9,804,804.0,2124,2124.0,0.0,0.0,9,ממכריו על האבות מה מכרו האבות זה לזה אני,3080001704,9,9
ref-mek.7.3.1.68-ref-mek.7.3.1.75,ref-b.3.5.3.23b.9.1-ref-b.3.5.3.23b.9.22,292986,293025,ref-mek.7.3.1.68,ref-mek.7.3.1.75,3985549,3985655,ref-b.3.5.3.23b.9.1,ref-b.3.5.3.23b.9.22,האיש מוכר את בתו ואין האשה מוכרת בתה ,האיש מקדש את בתו ואין האשה מקדשת את בתה דכתיב את בתי נתתי לאיש הזה האיש מוכר את בתו ואין האשה מוכרת ,3,17,1433,1433.0,2120,2120.0,0.67,0.6,6,האיש את בתו ואין האשה בתה,3080001705,8,22
ref-mek.7.3.1.96-ref-mek.7.3.1.121,ref-b.3.5.3.23b.9.1-ref-b.3.5.3.23b.9.27,293123,293240,ref-mek.7.3.1.96,ref-mek.7.3.1.121,3985549,3985680,ref-b.3.5.3.23b.9.1,ref-b.3.5.3.23b.9.27,בתו ואין האשה מקדשת את בתה דכתיב את בתי נתתי לאיש הזה האיש מוכר את בתו ואין האשה מוכרת את בתה דכתיב וכי ימכור,האיש מקדש את בתו ואין האשה מקדשת את בתה דכתיב את בתי נתתי לאיש הזה האיש מוכר את בתו ואין האשה מוכרת את בתה דכתיב וכי ימכור,19,22,1434,1434.0,2123,2123.0,0.1065573770491803,0.0909090909090909,18,בתו ואין האשה מקדשת את בתה דכתיב את_בתי_נתתי_לאיש_הזה האיש מוכר_את_בתו ואין האשה מוכרת את בתה דכתיב וכי ימכור,3080001706,24,27
ref-mek.7.3.1.105-ref-mek.7.3.1.140,ref-b.3.7.1.20a.4.4-ref-b.3.7.1.20a.4.29,293166,293338,ref-mek.7.3.1.105,ref-mek.7.3.1.140,4450095,4450242,ref-b.3.7.1.20a.4.4,ref-b.3.7.1.20a.4.29,מוכרה לא לאביו ולא לבנו בשלמא אינו מוכרה לא לאביו ולא לבנו כרבנן אלא מוכרה לאביו ואין מוכרה לבנו ותניא אידך אין מוכרה לא לאביו ולא לבנו בשלמא אינו מוכרה לא לאביו ולא לבנו כרבנן אלא מוכרה לאביו ואין מוכרה לבנו,לאביו ואין מוכרה לבנו ותניא אידך אין מוכרה לא לאביו ולא לבנו בשלמא אינו מוכרה לא לאביו ולא לבנו כרבנן אלא מוכרה לאביו ואין מוכרה לבנו,41,26,1701,1701.0,2127,2127.0,0.3605769230769231,0.0,24,לאביו ואין מוכרה לבנו ותניא_אידך_אין מוכרה לא לאביו ולא לבנו בשלמא אינו מוכרה לא לאביו ולא לבנו כרבנן אלא מוכרה לאביו ואין מוכרה לבנו,3080001707,41,26
ref-mek.7.3.1.91-ref-mek.7.3.1.110,ref-b.4.1.3.33b.6.8-ref-b.4.1.3.33b.7.7,293096,293193,ref-mek.7.3.1.91,ref-mek.7.3.1.110,4783081,4783147,ref-b.4.1.3.33b.6.8,ref-b.4.1.3.33b.7.7,שאביה רשאי למכרה אינו דין שתמכור את בתה תלמוד לומר כי ימכור איש איש מוכר את בתו ואין אשה מוכרת ,אבהו מכרו אין מכור הקדישו מוקדש מכרו מאן אילימא מזיק מכרו אין מכור ,20,13,1831,1831.0,2122,2116.0,0.5789473684210527,0.8666666666666667,0,,3080001708,20,13
ref-mek.7.3.1.62-ref-mek.7.3.1.119,ref-b.4.3.4.68b.5.31-ref-b.4.3.4.68b.5.53,292958,293233,ref-mek.7.3.1.62,ref-mek.7.3.1.119,5680137,5680251,ref-b.4.3.4.68b.5.31,ref-b.4.3.4.68b.5.53,מכר את העיר מכר בנותיה דתניא המוכר את העיר לא מכר את בנותיה רבן שמעון בן גמליאל אומר המוכר את העיר מכר בנותיה,מכר את העיר מכר בנותיה דתניא המוכר את העיר לא מכר את בנותיה רבן שמעון בן גמליאל אומר המוכר את העיר מכר בנותיה,23,23,2125,2125.0,2116,2116.0,0.0,0.0,17,מכר את העיר מכר בנותיה דתניא המוכר את העיר לא מכר את בנותיה רבן_שמעון_בן_גמליאל_אומר_המוכר_את העיר מכר בנותיה,3080001709,23,23
ref-mek.7.3.1.103-ref-mek.7.3.1.117,ref-b.4.4.8.75a.15.4-ref-b.4.4.8.75a.15.19,293158,293222,ref-mek.7.3.1.103,ref-mek.7.3.1.117,6229316,6229380,ref-b.4.4.8.75a.15.4,ref-b.4.4.8.75a.15.19,איש איש מוכר את בתו ואין אשה מוכרת את בתה וכי ימכור איש את בתו ,איש אשר יקח את אשה ואת אמה אין לי אלא אשה ואמה בת אשה ובת בתה ,15,16,2421,2421.0,2126,2116.0,0.6190476190476191,0.8,3,איש אשה בתה,3080001710,15,16
ref-mek.7.3.1.67-ref-mek.7.3.1.91,ref-b.4.5.1.5b.11.18-ref-b.4.5.1.5b.11.34,292982,293102,ref-mek.7.3.1.67,ref-mek.7.3.1.91,6435238,6435304,ref-b.4.5.1.5b.11.18,ref-b.4.5.1.5b.11.34,בת אמו אין לי אלא בת אביו שלא בת אמו ובת אמו שלא בת אביו בת אמו,בת אמו אין לי אלא בת אביו שלא בת אמו ובת אמו שלא בת אביו בת אמו,4,4,2629,2629.0,2118,2118.0,0.0,0.0,14,בת אמו_אין_לי_אלא בת אביו שלא בת אמו ובת אמו שלא בת אביו בת אמו,3080001711,17,17
ref-mek.7.3.1.67-ref-mek.7.3.1.90,ref-b.4.5.1.5b.12.10-ref-b.4.5.1.5b.12.19,292982,293095,ref-mek.7.3.1.67,ref-mek.7.3.1.90,6435375,6435416,ref-b.4.5.1.5b.12.10,ref-b.4.5.1.5b.12.19,בתו האיש מוכר את בתו ואין האשה מוכרת בתה שהיה בדין ומה אם הבן שאין אביו רשאי למכרו הרי הוא מוכר את בתו הבת ,בת אביו שלא בת אמו ובת אמו שלא בת אביו ,19,2,2635,2635.0,2117,2116.0,0.7289719626168224,0.8,1,אביו,3080001712,24,10
ref-mek.7.3.1.148-ref-mek.7.3.1.172,ref-b.3.5.3.23b.9.1-ref-b.3.5.3.23b.9.27,293374,293494,ref-mek.7.3.1.148,ref-mek.7.3.1.172,3985549,3985680,ref-b.3.5.3.23b.9.1,ref-b.3.5.3.23b.9.27,האיש מקדש את בתו ואין האשה מקדשת את בתה דכתיב את בתי נתתי לאיש הזה האיש מוכר את בתו ואין האשה מוכרת את בתה דכתיב וכי ימכור,האיש מקדש את בתו ואין האשה מקדשת את בתה דכתיב את בתי נתתי לאיש הזה האיש מוכר את בתו ואין האשה מוכרת את בתה דכתיב וכי ימכור,22,22,1435,1435.0,2132,2132.0,0.0,0.0,21,האיש מקדש את בתו ואין האשה מקדשת את בתה דכתיב את_בתי_נתתי_לאיש_הזה האיש מוכר_את_בתו ואין האשה מוכרת את בתה דכתיב וכי ימכור,3080001713,27,27
ref-mek.7.3.1.178-ref-mek.7.3.1.192,ref-b.3.3.9.74b.5.4-ref-b.3.3.9.74b.5.29,293521,293598,ref-mek.7.3.1.178,ref-mek.7.3.1.192,3743139,3743269,ref-b.3.3.9.74b.5.4,ref-b.3.3.9.74b.5.29,מה אם הבן שאין אביו רשאי למכרו מוכר את עצמו הבת שאביה רשאי למכרה אינו דין ,ומה אם אשה שאין לו חלק בה עד שלא תבא לרשותו משבאת לרשותו נגמרה לו אשה שיש לו חלק עד שלא תבא לרשותו משבאת לרשותו אינו דין ,16,27,1334,1334.0,2134,2134.0,0.6115702479338843,0.8695652173913043,3,אם אינו דין,3080001714,16,27
ref-mek.7.3.1.210-ref-mek.7.3.1.220,ref-b.3.5.3.23b.12.4-ref-b.3.5.3.23b.12.15,293678,293739,ref-mek.7.3.1.210,ref-mek.7.3.1.220,3985941,3986014,ref-b.3.5.3.23b.12.4,ref-b.3.5.3.23b.12.15,שאינה נמכרת בגניבתה לפיכך לא תמכור את עצמה ותמכר על גניבתה ,ואין האשה נמכרת בגניבתה מאי טעמא אמר קרא ונמכר בגניבתו בגניבתו ולא ,11,12,1438,1438.0,2135,2135.0,0.5522388059701493,0.8461538461538461,2,נמכרת בגניבתה,3080001715,11,12
ref-mek.7.3.1.286-ref-mek.7.3.1.291,ref-b.3.7.1.14b.5.15-ref-b.3.7.1.14b.5.20,294071,294101,ref-mek.7.3.1.286,ref-mek.7.3.1.291,4428204,4428234,ref-b.3.7.1.14b.5.15,ref-b.3.7.1.14b.5.20,ימכר לך אחיך העברי או העבריה ,ימכר לך אחיך העברי או העבריה ,1,1,1650,1648.0,2136,2136.0,0.0,0.0,6,ימכר לך אחיך העברי או העבריה,3080001716,6,6
ref-mek.7.3.1.309-ref-mek.7.3.1.316,ref-b.4.2.8.100b.20.11-ref-b.4.2.8.100b.21.18,294192,294241,ref-mek.7.3.1.309,ref-mek.7.3.1.316,5437890,5438031,ref-b.4.2.8.100b.20.11,ref-b.4.2.8.100b.21.18,רשאי במכירתה ומנין שהוא רשאי בקידושיה אמרת אם ,מני סומכוס היא דאמר ממון המוטל בספק חולקין אימא סיפא זה אומר ברשותי וזה אומר ברשותי ישבע המוכר שברשותו ילדה ולרבה בר רב הונא דאמר אין ,8,26,2088,2088.0,2137,2137.0,0.7835820895522388,0.95,0,,3080001717,8,26
ref-mek.7.3.1.353-ref-mek.7.3.1.366,ref-b.2.3.1.15b.5.20-ref-b.2.3.1.15b.5.26,294446,294526,ref-mek.7.3.1.353,ref-mek.7.3.1.366,978718,978755,ref-b.2.3.1.15b.5.20,ref-b.2.3.1.15b.5.26,שתהא נקנית בכסף ומנין אף בשטר תלמוד לומר והלכה והיתה מקיש הוויה להליכה מה ,ואיתקש יציאה להויה מה הויה בכסף אף ,14,7,379,379.0,2143,2138.0,0.7027027027027027,0.8461538461538461,2,בכסף אף,3080001718,14,7
ref-mek.7.3.1.353-ref-mek.7.3.1.366,ref-b.2.6.2.24b.5.19-ref-b.2.6.2.24b.5.25,294446,294526,ref-mek.7.3.1.353,ref-mek.7.3.1.366,2022470,2022507,ref-b.2.6.2.24b.5.19,ref-b.2.6.2.24b.5.25,שתהא נקנית בכסף ומנין אף בשטר תלמוד לומר והלכה והיתה מקיש הוויה להליכה מה ,ואיתקש יציאה להויה מה הויה בכסף אף ,14,7,767,767.0,2144,2138.0,0.7027027027027027,0.8461538461538461,2,בכסף אף,3080001719,14,7
ref-mek.7.3.1.353-ref-mek.7.3.1.366,ref-b.3.6.2.21b.5.18-ref-b.3.6.2.21b.5.24,294446,294526,ref-mek.7.3.1.353,ref-mek.7.3.1.366,4139274,4139310,ref-b.3.6.2.21b.5.18,ref-b.3.6.2.21b.5.24,שתהא נקנית בכסף ומנין אף בשטר תלמוד לומר והלכה והיתה מקיש הוויה להליכה מה ,אקיש יציאה להוייה מה הוייה בכסף אף ,14,7,1592,1592.0,2145,2138.0,0.7027027027027027,0.75,2,בכסף אף,3080001720,14,7
ref-mek.7.3.1.341-ref-mek.7.3.1.355,ref-b.3.7.1.4b.4.7-ref-b.3.7.1.4b.4.18,294375,294463,ref-mek.7.3.1.341,ref-mek.7.3.1.355,4392694,4392765,ref-b.3.7.1.4b.4.7,ref-b.3.7.1.4b.4.18,שאינה נקנית בבעילה נקנית בכסף בת ישראל שהיא נקנית בבעילה אינו דין שתהא נקנית בכסף ,שאינה נקנית בביאה נקנית בכסף זו שנקנית בביאה אינו דין שתקנה בכסף ,15,12,1636,1636.0,2140,2138.0,0.2682926829268293,0.6428571428571428,7,שאינה נקנית נקנית בכסף אינו דין בכסף,3080001721,15,12
ref-mek.7.3.1.341-ref-mek.7.3.1.354,ref-b.3.7.1.4b.10.10-ref-b.3.7.1.4b.10.20,294375,294457,ref-mek.7.3.1.341,ref-mek.7.3.1.354,4393379,4393443,ref-b.3.7.1.4b.10.10,ref-b.3.7.1.4b.10.20,שאינה נקנית בבעילה נקנית בכסף בת ישראל שהיא נקנית בבעילה אינו דין שתהא נקנית ,שאין נקנית בכסף נקנית בביאה זו שנקנית בכסף אינו דין שנקנית ,14,1,1638,1638.0,2138,2138.0,0.3896103896103896,0.6153846153846154,5,נקנית בכסף נקנית אינו דין,3080001722,14,11
ref-mek.7.3.1.353-ref-mek.7.3.1.371,ref-b.3.7.1.5a.3.6-ref-b.3.7.1.5a.3.22,294446,294555,ref-mek.7.3.1.353,ref-mek.7.3.1.371,4393978,4394064,ref-b.3.7.1.5a.3.6,ref-b.3.7.1.5a.3.22,הויה ליציאה מה יציאה בשטר אף הויה נמי בשטר ואקיש נמי יציאה להויה מה הויה בכסף אף,הויה ליציאה מה יציאה בשטר אף הויה נמי בשטר ואקיש נמי יציאה להויה מה הויה בכסף אף,17,17,1639,1639.0,2146,2146.0,0.0,0.0,17,הויה ליציאה מה יציאה בשטר אף הויה נמי בשטר ואקיש נמי יציאה להויה מה הויה בכסף אף,3080001723,17,17
ref-mek.7.3.1.348-ref-mek.7.3.1.371,ref-b.3.7.1.9b.1.5-ref-b.3.7.1.9b.2.5,294417,294555,ref-mek.7.3.1.348,ref-mek.7.3.1.371,4410357,4410486,ref-b.3.7.1.9b.1.5,ref-b.3.7.1.9b.2.5,הוייה בעינן לשמה או דלמא הויות להדדי מקשינן מה הוייה דכסף לא בעינן לשמה אף הוייה דשטר לא בעינן לשמה בתר דבעיא הדר פשטה הוייה,הוייה בעינן לשמה או דלמא הויות להדדי מקשינן מה הוייה דכסף לא בעינן לשמה אף הוייה דשטר לא בעינן לשמה בתר דבעיא הדר פשטה הוייה,25,25,1642,1642.0,2141,2141.0,0.0,0.0,22,הוייה בעינן לשמה או דלמא הויות להדדי מקשינן מה הוייה דכסף לא בעינן לשמה אף הוייה דשטר לא בעינן לשמה בתר_דבעיא_הדר_פשטה הוייה,3080001724,25,25
ref-mek.7.3.1.341-ref-mek.7.3.1.354,ref-b.3.7.1.9b.15.10-ref-b.3.7.1.9b.15.20,294375,294457,ref-mek.7.3.1.341,ref-mek.7.3.1.354,4411994,4412058,ref-b.3.7.1.9b.15.10,ref-b.3.7.1.9b.15.20,שאינה נקנית בבעילה נקנית בכסף בת ישראל שהיא נקנית בבעילה אינו דין שתהא נקנית ,שאין נקנית בכסף נקנית בביאה זו שנקנית בכסף אינו דין שנקנית ,14,1,1644,1644.0,2139,2138.0,0.3896103896103896,0.6153846153846154,5,נקנית בכסף נקנית אינו דין,3080001725,14,11
ref-mek.7.3.1.366-ref-mek.7.3.1.385,ref-b.3.7.1.16a.2.1-ref-b.3.7.1.16a.2.18,294524,294621,ref-mek.7.3.1.366,ref-mek.7.3.1.385,4433738,4433825,ref-b.3.7.1.16a.2.1,ref-b.3.7.1.16a.2.18,ובשטר מנלן אמר עולא אמר קרא אם אחרת יקח לו הקישה הכתוב לאחרת מה אחרת מקניא בשטר אף,ובשטר מנלן אמר עולא אמר קרא אם אחרת יקח לו הקישה הכתוב לאחרת מה אחרת מקניא בשטר אף,18,18,1670,1670.0,2149,2149.0,0.0,0.0,15,ובשטר מנלן אמר_עולא_אמר_קרא אם אחרת יקח לו הקישה הכתוב לאחרת מה אחרת מקניא בשטר אף,3080001726,18,18
ref-mek.7.3.1.353-ref-mek.7.3.1.371,ref-b.3.7.2.48a.9.33-ref-b.3.7.2.48a.9.44,294446,294555,ref-mek.7.3.1.353,ref-mek.7.3.1.371,4555952,4556013,ref-b.3.7.2.48a.9.33,ref-b.3.7.2.48a.9.44,שתהא נקנית בכסף ומנין אף בשטר תלמוד לומר והלכה והיתה מקיש הוויה להליכה מה הליכתה בשטר אף הוויתה בשטר ,הויות להדדי מקשינן מה הויה דכסף לא בעינן לשמה אף הויה דשטר ,19,12,1782,1782.0,2148,2138.0,0.6633663366336634,0.8888888888888888,2,מה אף,3080001727,19,12
ref-mek.7.3.1.420-ref-mek.7.3.1.438,ref-b.3.7.1.16a.7.28-ref-b.3.7.1.16a.8.17,294814,294916,ref-mek.7.3.1.420,ref-mek.7.3.1.438,4434473,4434569,ref-b.3.7.1.16a.7.28,ref-b.3.7.1.16a.8.17,אם אחרת ורב הונא האי לא תצא כצאת העבדים מאי דריש ביה ההוא מיבעי ליה שאינה יוצאה בראשי אברים,אם אחרת ורב הונא האי לא תצא כצאת העבדים מאי דריש ביה ההוא מיבעי ליה שאינה יוצאה בראשי אברים,19,19,1672,1672.0,2151,2151.0,0.0,0.0,12,אם אחרת ורב_הונא_האי לא תצא כצאת העבדים מאי_דריש_ביה_ההוא_מיבעי_ליה שאינה יוצאה בראשי אברים,3080001728,19,19
ref-mek.7.3.1.448-ref-mek.7.3.1.465,ref-b.3.7.1.15b.14.2-ref-b.3.7.1.15b.14.14,294966,295073,ref-mek.7.3.1.448,ref-mek.7.3.1.465,4433539,4433609,ref-b.3.7.1.15b.14.2,ref-b.3.7.1.15b.14.14,בשנים וביובל כדרך שהעברים יוצאין תלמוד לומר כי ימכר לך אחיך העברי וגו' מגיד שהיא יוצאה בשנים וביובל ,האי ויצא בשנת היבל מאי עביד ליה מיבעי ליה לכדתניא ויצא בשנת היובל ,18,13,1669,1669.0,2153,2153.0,0.64,0.9411764705882352,0,,3080001729,18,13
ref-mek.7.3.1.459-ref-mek.7.3.1.488,ref-b.3.7.1.18a.5.10-ref-b.3.7.1.18a.5.30,295030,295196,ref-mek.7.3.1.459,ref-mek.7.3.1.488,4443356,4443485,ref-b.3.7.1.18a.5.10,ref-b.3.7.1.18a.5.30,העברי וגו' מגיד שהיא יוצאה בשנים וביובל אין לי אלא עבריה שאינה יוצאה בראשי איברים וכו' ועוד קל וחומר ומה אם עבריה שיוצאת בסימנין לא אם אמרת עבריה שאינה נמכרת ,בעברי יש בעברי שהוא יוצא בשנים וביובל ובמיתת האדון מה שאין כן בעבריה ויש בעבריה שהרי עבריה יוצאה בסימנין ואינה נמכרת ,30,21,1694,1692.0,2154,2153.0,0.5316455696202531,0.6818181818181819,5,בשנים וביובל עבריה בסימנין נמכרת,3080001730,30,21
ref-mek.7.3.1.481-ref-mek.7.3.1.489,ref-b.3.7.1.18a.7.24-ref-b.3.7.1.18a.8.10,295150,295205,ref-mek.7.3.1.481,ref-mek.7.3.1.489,4443753,4443836,ref-b.3.7.1.18a.7.24,ref-b.3.7.1.18a.8.10,שיוצאת בסימנין לא אם אמרת עבריה שאינה נמכרת בגניבתה ,יוצאה אף בסימנין ואינה נמכרת ונשנית מכלל דעבד עברי נמכר ונשנה והתניא בגנבתו ,9,13,1696,1696.0,2155,2153.0,0.5921052631578947,0.75,2,בסימנין נמכרת,3080001731,9,13
ref-mek.7.3.2.64-ref-mek.7.3.2.70,ref-b.3.7.1.18a.15.52-ref-b.3.7.1.18b.1.19,295534,295568,ref-mek.7.3.2.64,ref-mek.7.3.2.70,4444904,4445047,ref-b.3.7.1.18a.15.52,ref-b.3.7.1.18b.1.19,אחר שפחות ובפלוגתא דהני תנאי דתניא בבגדו בה כיון שפירש טליתו עליה שוב אין רשאי למוכרה דברי רבי עקיבא רבי אליעזר אומר בבגדו בה כיון שבגד בה,אחר שפחות ובפלוגתא דהני תנאי דתניא בבגדו בה כיון שפירש טליתו עליה שוב אין רשאי למוכרה דברי רבי עקיבא רבי אליעזר אומר בבגדו בה כיון שבגד בה,27,27,1698,1698.0,2157,2157.0,0.0,0.0,19,אחר שפחות ובפלוגתא_דהני_תנאי_דתניא בבגדו בה כיון שפירש טליתו עליה שוב אין רשאי למוכרה דברי_רבי_עקיבא_רבי_אליעזר_אומר בבגדו בה כיון שבגד בה,3080001732,27,27
ref-mek.7.3.2.50-ref-mek.7.3.2.64,ref-b.3.7.1.20a.2.5-ref-b.3.7.1.20a.2.16,295470,295538,ref-mek.7.3.2.50,ref-mek.7.3.2.64,4449825,4449898,ref-b.3.7.1.20a.2.5,ref-b.3.7.1.20a.2.16,מוכר הוא אם רצה ליעד מיעד לעם נכרי הרי זה אזהרה לבית דין שלא ימכר ,מוכרה לפסולין לא ימכרנה לקרובים מה למוכרה לפסולין שאם רצה לייעד מייעד ,15,12,1700,1700.0,2156,2156.0,0.7285714285714285,0.7142857142857143,1,רצה,3080001733,15,12
ref-mek.7.3.2.202-ref-mek.7.3.2.206,ref-b.3.3.2.15b.10.16-ref-b.3.3.2.15b.10.20,296244,296270,ref-mek.7.3.2.202,ref-mek.7.3.2.206,3638594,3638619,ref-b.3.3.2.15b.10.16,ref-b.3.3.2.15b.10.20,שארה כסותה ועונתה לא יגרע ,שארה כסותה וענתה לא יגרע ,5,5,1302,1302.0,2159,2159.0,0.0384615384615384,0.0,4,שארה כסותה לא יגרע,3080001734,5,5
ref-mek.7.3.2.210-ref-mek.7.3.2.214,ref-b.3.3.2.15b.10.16-ref-b.3.3.2.15b.10.20,296283,296309,ref-mek.7.3.2.210,ref-mek.7.3.2.214,3638594,3638619,ref-b.3.3.2.15b.10.16,ref-b.3.3.2.15b.10.20,שארה כסותה ועונתה לא יגרע ,שארה כסותה וענתה לא יגרע ,5,5,1303,1302.0,2160,2160.0,0.0384615384615384,0.0,4,שארה כסותה לא יגרע,3080001735,5,5
ref-mek.7.3.2.267-ref-mek.7.3.2.277,ref-b.3.2.4.43a.15.22-ref-b.3.2.4.43a.15.29,296567,296627,ref-mek.7.3.2.267,ref-mek.7.3.2.277,3381433,3381486,ref-b.3.2.4.43a.15.22,ref-b.3.2.4.43a.15.29,לבניך ולבני בניך אימתי אתה זכאי לראות בני בניך בזמן שאתה ,אותם לבניכם אחריכם אותם לבניכם ולא בנותיכם לבניכם ,11,3,1263,1263.0,2164,2161.0,0.7368421052631579,1.0,0,,3080001736,11,8
ref-mek.7.3.2.267-ref-mek.7.3.2.277,ref-b.3.2.4.43b.1.30-ref-b.3.2.4.43b.1.37,296567,296627,ref-mek.7.3.2.267,ref-mek.7.3.2.277,3381827,3381880,ref-b.3.2.4.43b.1.30,ref-b.3.2.4.43b.1.37,לבניך ולבני בניך אימתי אתה זכאי לראות בני בניך בזמן שאתה ,אותם לבניכם אחריכם אותם לבניכם ולא בנותיכם לבניכם ,11,3,1264,1264.0,2165,2161.0,0.7368421052631579,1.0,0,,3080001737,11,8
ref-mek.7.3.2.257-ref-mek.7.3.2.269,ref-b.3.5.7.34b.11.4-ref-b.3.5.7.34b.11.15,296518,296585,ref-mek.7.3.2.257,ref-mek.7.3.2.269,4013938,4013998,ref-b.3.5.7.34b.11.4,ref-b.3.5.7.34b.11.15,אדם להשיא את בנו קטן במקום אחר מהו אומר והודעתם לבניך ולבני בניך ,נבנתה מאי נבנתה אילימא נבנתה ממש אפשר אדם בונה בית לבנו קטן ,13,12,1479,1479.0,2161,2161.0,0.7076923076923077,0.7647058823529411,2,אדם קטן,3080001738,13,12
ref-mek.7.3.2.267-ref-mek.7.3.2.277,ref-b.3.7.1.16b.14.10-ref-b.3.7.1.16b.14.17,296567,296627,ref-mek.7.3.2.267,ref-mek.7.3.2.277,4437245,4437297,ref-b.3.7.1.16b.14.10,ref-b.3.7.1.16b.14.17,לבניך ולבני בניך אימתי אתה זכאי לראות בני בניך בזמן שאתה ,אתם לבניכם אחריכם אותם לבניכם ולא בנותיכם לבניכם ,11,3,1677,1677.0,2166,2161.0,0.7368421052631579,1.0,0,,3080001739,11,8
ref-mek.7.3.2.267-ref-mek.7.3.2.275,ref-b.3.7.1.30a.6.8-ref-b.3.7.1.30a.6.32,296567,296615,ref-mek.7.3.2.267,ref-mek.7.3.2.275,4487305,4487431,ref-b.3.7.1.30a.6.8,ref-b.3.7.1.30a.6.32,אתם את בניכם אין לי אלא בניכם בני בניכם מנין תלמוד לומר והודעתם לבניך ולבני בניך אם כן מה תלמוד לומר בניכם בניכם ולא בנותיכם,אתם את בניכם אין לי אלא בניכם בני בניכם מנין תלמוד לומר והודעתם לבניך ולבני בניך אם כן מה תלמוד לומר בניכם בניכם ולא בנותיכם,6,6,1727,1727.0,2162,2162.0,0.0,0.0,14,אתם את בניכם אין_לי_אלא בניכם בני בניכם מנין_תלמוד_לומר והודעתם_לבניך_ולבני_בניך אם_כן_מה_תלמוד_לומר בניכם בניכם ולא בנותיכם,3080001740,25,25
ref-mek.7.3.2.267-ref-mek.7.3.2.277,ref-b.3.7.1.36a.11.18-ref-b.3.7.1.36a.12.12,296567,296627,ref-mek.7.3.2.267,ref-mek.7.3.2.277,4513677,4513835,ref-b.3.7.1.36a.11.18,ref-b.3.7.1.36a.12.12,לבניך ולבני בניך אימתי אתה זכאי לראות בני בניך בזמן שאתה ,בזמן שאתם נוהגים מנהג בנים אתם קרוים בנים אין אתם נוהגים מנהג בנים אין אתם קרוים בנים דברי רבי יהודה רבי מאיר אומר בין כך ובין כך אתם קרוים בנים שנאמר בנים ,11,13,1752,1752.0,2167,2161.0,0.7692307692307693,0.8888888888888888,1,בזמן,3080001741,11,32
ref-mek.7.3.2.336-ref-mek.7.3.2.345,ref-b.2.1.1.8b.7.7-ref-b.2.1.1.8b.7.29,296920,296979,ref-mek.7.3.2.336,ref-mek.7.3.2.345,374711,374859,ref-b.2.1.1.8b.7.7,ref-b.2.1.1.8b.7.29,בימות החמה וחד בימות הגשמים וצריכא דאי אשמעינן בימות החמה וחד בימות הגשמים וצריכא דאי אשמעינן בימות החמה דעבידי אינשי לקרורי נפשיהו אבל בימות הגשמים אימא לא ואי אשמעינן בימות הגשמים,בימות החמה וחד בימות הגשמים וצריכא דאי אשמעינן בימות החמה וחד בימות הגשמים וצריכא דאי אשמעינן בימות החמה דעבידי אינשי לקרורי נפשיהו אבל בימות הגשמים אימא לא ואי אשמעינן בימות הגשמים,31,31,218,218.0,2173,2173.0,0.0,0.0,24,בימות החמה וחד בימות הגשמים וצריכא_דאי_אשמעינן בימות החמה וחד בימות הגשמים וצריכא_דאי_אשמעינן בימות החמה דעבידי אינשי לקרורי נפשיהו אבל בימות הגשמים אימא_לא_ואי_אשמעינן בימות הגשמים,3080001742,31,31
ref-mek.7.3.2.334-ref-mek.7.3.2.342,ref-b.2.1.3.43b.4.5-ref-b.2.1.3.43b.4.17,296913,296958,ref-mek.7.3.2.334,ref-mek.7.3.2.342,498547,498630,ref-b.2.1.3.43b.4.5,ref-b.2.1.3.43b.4.17,יתן של ימות החמה בימות הגשמים ולא של ימות ,קתני בימות החמה ובימות הגשמים בחמה מפני החמה ובגשמים מפני הגשמים קתני ביומי ,9,8,244,244.0,2170,2168.0,0.618421052631579,0.7,2,בימות הגשמים,3080001743,9,13
