baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-t,dam-lev,jac,id
ref-t.3.6.7.4.52-ref-t.3.6.7.5.11,ref-y.3.6.6.2.4.7-ref-y.3.6.6.2.4.22,705098,705183,ref-t.3.6.7.4.52,ref-t.3.6.7.5.11,2682434,2682494,ref-y.3.6.6.2.4.7,ref-y.3.6.6.2.4.22,לא היא ניסית בין היא בין אביה אם יש בה דעת היא לא אביה אי זו,לא היא ניסית בין היא בין אביה אם יש בה דעת היא לא אביה אי זו,14,16,7490,7490.0,6107,6107.0,0.0,0.0,2070004331
ref-t.3.6.7.4.28-ref-t.3.6.7.5.48,ref-y.3.6.9.1.3.45-ref-y.3.6.9.1.4.36,704972,705370,ref-t.3.6.7.4.28,ref-t.3.6.7.5.48,2709096,2709640,ref-y.3.6.9.1.3.45,ref-y.3.6.9.1.4.36,החמירה תורה בגרושה או באלמנה החמירה התורה בגרושה יותר מן האלמנה ומה אם גרושה חמורה לכל לא נאסרה,החמירה תורה בגרושה או באלמנה החמירה התורה בגרושה יותר מן האלמנה ומה אם גרושה חמורה לכל לא נאסרה,22,18,7551,7551.0,6104,6104.0,0.0,0.0,2070004332
ref-t.3.6.7.8.2-ref-t.3.6.7.8.16,ref-y.3.6.9.7.2.2-ref-y.3.6.9.7.2.16,705640,705716,ref-t.3.6.7.8.2,ref-t.3.6.7.8.16,2715087,2715166,ref-y.3.6.9.7.2.2,ref-y.3.6.9.7.2.16,שיש בו מחט או תלוי מגופו פסול שלא מגופו כשר אם החזירו מלמטה אפי' בגופו ,שיש בו מחק או תלות מגופו פסול שלא מגופו בשר ואם תחזירו מלמטה אפילו מגופו ,15,15,7562,7561.0,6110,6110.0,0.1095890410958904,0.4285714285714286,2070004333
ref-t.3.6.7.10.20-ref-t.3.6.7.10.29,ref-y.3.6.9.6.1.304-ref-y.3.6.9.6.1.313,705940,705988,ref-t.3.6.7.10.20,ref-t.3.6.7.10.29,2714369,2714418,ref-y.3.6.9.6.1.304,ref-y.3.6.9.6.1.313,הרחיק את העדים מן הכתב מלא שתי שיטין פסול פחות ,הרחיק את העדים מן הכתב מקום שני שיטין פסול פחות ,10,10,7555,7555.0,6111,6111.0,0.08333333333333333,0.33333333333333337,2070004334
ref-t.3.6.7.10.22-ref-t.3.6.7.11.23,ref-y.3.6.9.6.1.376-ref-y.3.6.9.6.1.397,705949,706110,ref-t.3.6.7.10.22,ref-t.3.6.7.11.23,2714713,2714821,ref-y.3.6.9.6.1.376,ref-y.3.6.9.6.1.397,כשר כמה יהו העדים רחוקין מן הכתב כדי שיהו ניקרין עמו דברי רבי רבי שמעון בן אלעזר אומר מלא שיטה רבי דוסתי,כשר כמה יהו העדים רחוקין מן הכתב כדי שיהו ניקרין עמו דברי רבי רבי שמעון בן אלעזר אומר מלא שיטה רבי דוסתי,34,22,7559,7559.0,6112,6112.0,0.0,0.0,2070004335
ref-t.3.6.7.10.32-ref-t.3.6.7.11.29,ref-y.4.3.10.1.5.37-ref-y.4.3.10.1.5.62,705998,706136,ref-t.3.6.7.10.32,ref-t.3.6.7.11.29,3127132,3127257,ref-y.4.3.10.1.5.37,ref-y.4.3.10.1.5.62,כמה הרחיק את העדים מן הכתב ויהא כשר כדי שיהו ניקרין עמו דברי ר' ר' שמעון בן לעזר או' מלא שיטה אחת ר' דוסתיי בי ר' יניי אומ' מלא חתימת ,כמה יהו העדים רחוקים מן חכתב כדי שיהו מקרים עמו דברי רבי רבי שמעון בן אלעזר אומר מלא שיטה רבי דוסתא בן יהודה אומר מלא חתימת ,30,26,8960,8960.0,6114,6111.0,0.3582089552238806,0.46153846153846156,2070004336
ref-t.3.6.7.11.33-ref-t.3.6.7.11.43,ref-y.3.6.1.4.2.2-ref-y.3.6.1.4.2.14,706149,706218,ref-t.3.6.7.11.33,ref-t.3.6.7.11.43,2619331,2619417,ref-y.3.6.1.4.2.2,ref-y.3.6.1.4.2.14,שחתמו עליו חמשה עדים ונמצאו שלשה הראשונים פסולין תתקיים עדות בשאר ,שחותמו בארבעה עדים ונמצאו שנים הראשוני' קרובי' או פסולים כשר ותתקיים העדות בשאר ,11,13,7304,7303.0,6115,6115.0,0.375,0.5714285714285714,2070004337
ref-t.3.6.7.11.55-ref-t.3.6.7.11.64,ref-y.3.6.2.3.4.20-ref-y.3.6.2.3.4.40,706284,706331,ref-t.3.6.7.11.55,ref-t.3.6.7.11.64,2628934,2629029,ref-y.3.6.2.3.4.20,ref-y.3.6.2.3.4.40,כשר נתקרע הרי זה פסול בשלא נתקרע כקרע בית דין אבל נקרע בקרע בית דין אי זהו קרע של,הנקרע הרי כשר נתקרע הרי זה פסול בשלא נתקרע כקרע בית דין אבל נקרע בקרע בית דין אי זהו קרע של,11,21,7330,7330.0,6116,6116.0,0.10989010989010989,0.09090909090909094,2070004338
ref-t.3.6.7.13.28-ref-t.3.7.1.1.13,ref-y.3.4.9.6.1.43-ref-y.3.7.1.1.1.13,706570,706659,ref-t.3.6.7.13.28,ref-t.3.7.1.1.13,2820658,2820730,ref-y.3.4.9.6.1.43,ref-y.3.7.1.1.1.13,שמן בגיטין האשה נקנית בשלשה דרכים וקונה את עצמה בשני דרכים נקנית בכסף בשטר ובביאה ,שמייא האשה נקנית בשלש דרכים כו' כיני מתנית או בכסף או בשטר או בביאה ,15,14,8015,8015.0,6118,6118.0,0.4268292682926829,0.6666666666666667,2070004339
ref-t.3.7.1.1.1-ref-t.3.7.1.1.13,ref-y.3.7.1.1.8.79-ref-y.3.7.1.1.8.88,706582,706659,ref-t.3.7.1.1.1,ref-t.3.7.1.1.13,2822881,2822934,ref-y.3.7.1.1.8.79,ref-y.3.7.1.1.8.88,האשה נקנית בשלשה דרכים וקונה את עצמה בשני דרכים נקנית בכסף בשטר ובביאה ,שהאשה נקנית בשלשה דרכים או בכסף או בשטר או בביאה ,13,10,8016,8016.0,6119,6118.0,0.4647887323943662,0.6153846153846154,2070004340
ref-t.3.7.1.2.9-ref-t.3.7.1.2.21,ref-y.3.7.1.1.16.39-ref-y.3.7.1.1.16.49,706893,706957,ref-t.3.7.1.2.9,ref-t.3.7.1.2.21,2825318,2825376,ref-y.3.7.1.1.16.39,ref-y.3.7.1.1.16.49,אלא אפי' כתב על חרש ונתן לה על נייר פסול ונתן לה הרי זו מקודשת ,אלא אפילו כתבו על החרם או על נייר ונתנו לה הרי זו מקודשת ,15,13,8019,8019.0,6120,6120.0,0.30158730158730157,0.41666666666666663,2070004341
ref-t.3.7.1.4.25-ref-t.3.7.1.4.31,ref-y.3.1.6.5.3.20-ref-y.3.1.6.5.3.26,707133,707170,ref-t.3.7.1.4.25,ref-t.3.7.1.4.31,2126650,2126688,ref-y.3.1.6.5.3.20,ref-y.3.1.6.5.3.26,פנוי הבא על הפנויה שלא לשום אישות ,הפנוי הבא על הפנויה שלא לשום אישות ,7,7,5711,5711.0,6121,6121.0,0.02857142857142857,0.0,2070004342
ref-t.3.7.1.4.25-ref-t.3.7.1.4.31,ref-y.3.1.13.1.2.29-ref-y.3.1.13.1.2.35,707133,707170,ref-t.3.7.1.4.25,ref-t.3.7.1.4.31,2207070,2207109,ref-y.3.1.13.1.2.29,ref-y.3.1.13.1.2.35,פנוי הבא על הפנויה שלא לשום אישות ,הפנוי הבא על הפנויה שלא לשום אישות ,7,7,5900,5900.0,6122,6121.0,0.02857142857142857,0.0,2070004343
ref-t.3.7.1.5.36-ref-t.3.7.1.5.45,ref-y.3.7.1.3.5.42-ref-y.3.7.1.3.5.51,707881,707924,ref-t.3.7.1.5.36,ref-t.3.7.1.5.45,2849174,2849217,ref-y.3.7.1.3.5.42,ref-y.3.7.1.3.5.51,אי זו היא חזקת עבדים נעל לו סנדלו והתיר לו ,אי זו היא חזקת עבדים נעל לו מנעלו והתיר לו ,10,10,8056,8056.0,6123,6123.0,0.046511627906976744,0.2857142857142857,2070004344
ref-t.3.7.1.8.14-ref-t.3.7.1.8.53,ref-y.1.5.10.4.5.61-ref-y.1.5.10.4.5.107,708521,708750,ref-t.3.7.1.8.14,ref-t.3.7.1.8.53,527701,527956,ref-y.1.5.10.4.5.61,ref-y.1.5.10.4.5.107,אימתי אמרו מטלטלין נקנין במשיכה ברשות הרבים או בחצר שאינה של שניהם ברשות הלוקח כיון שקיבל עליו קנה ברשות המוכר כיון שהגביה או עד שיוציאו מרשות הבעלים ברשות זה המופקדין אצלו עד שיקבל עליו או עד שישכור לו את מקומן ,אימתי אמרו המטלטלין נקנין במשיכה ברשות הרכים או בחצר שאינה של שניהן ברשות הלוקח כיון שקיבל עליו ברשות המוכר לא קנה עד שיגביה או עד שימשוך ויוצא את כל מרשות הבעלים ברשות זה שהיו מופקדין אצלו לא קנה עד שיזכינו בהן או עד שישביר לו את מקומן ,40,47,1295,1295.0,6124,6124.0,0.21940928270042195,0.4444444444444444,2070004345
ref-t.3.7.1.8.14-ref-t.3.7.1.8.53,ref-y.3.6.8.1.2.214-ref-y.3.6.8.1.2.264,708521,708750,ref-t.3.7.1.8.14,ref-t.3.7.1.8.53,2698788,2699059,ref-y.3.6.8.1.2.214,ref-y.3.6.8.1.2.264,אימתי אמרו מטלטלין נקנין במשיכה ברשות הרבים או בחצר שאינה של שניהם ברשות הלוקח כיון שקיבל עליו קנה ברשות המוכר כיון שהגביה או עד שיוציאו מרשות הבעלים ברשות זה המופקדין אצלו עד שיקבל עליו או עד שישכור לו את מקומן ,אימתי אמרו המטלטלין נקנין במשיכה ברשות הרבים או בחצר שאינה של שניהן אבל ברשות הלוקח כיון שקיבל עליו ברשו' המובר זכה לא קנה אלא עד שעה שיגביה או עד שעה שימשוך ויוצא חוץ מרשו' הבעלי' ברשות זה שהיו מופקדין אצלו לא קנה עד שיזכוהו בהן או עד שישכיר לו את מקומו ,40,51,7532,7532.0,6125,6124.0,0.27450980392156865,0.5476190476190477,2070004346
ref-t.3.7.1.8.14-ref-t.3.7.1.8.53,ref-y.3.7.1.4.7.22-ref-y.3.7.1.4.7.72,708521,708750,ref-t.3.7.1.8.14,ref-t.3.7.1.8.53,2856147,2856415,ref-y.3.7.1.4.7.22,ref-y.3.7.1.4.7.72,אימתי אמרו מטלטלין נקנין במשיכה ברשות הרבים או בחצר שאינה של שניהם ברשות הלוקח כיון שקיבל עליו קנה ברשות המוכר כיון שהגביה או עד שיוציאו מרשות הבעלים ברשות זה המופקדין אצלו עד שיקבל עליו או עד שישכור לו את מקומן ,אימתי אמרו המטלטלין ניקנין במשיכה ברשות הרבים או בחצר שאינה של שניהן אבל ברשות הלוקח כיון שקיבל עליו זכה ברשות המוכר לא קנה עד שעה שיגביה או עד שעה שמשוך ויוצא חוץ רשות הבעלים כרשות זה שהן מופקדין אצלו לא קנה עד שיזכה הוא בהן או עד שישכור לו את מקומו ,40,51,8067,8067.0,6126,6124.0,0.2350597609561753,0.43243243243243246,2070004347
ref-t.3.7.1.8.32-ref-t.3.7.1.8.40,ref-y.4.6.8.1.1.68-ref-y.4.6.8.1.1.89,708628,708684,ref-t.3.7.1.8.32,ref-t.3.7.1.8.40,3399494,3399623,ref-y.4.6.8.1.1.68,ref-y.4.6.8.1.1.89,ברשות הבעלי' פטור הגביהו או הוציאו מרשות הבעלים ומת חייב הגביהו ברשות הבעלים כמי שיצא כל רשות הבעלים היו מושכו ויוצא עד,ברשות הבעלי' פטור הגביהו או הוציאו מרשות הבעלים ומת חייב הגביהו ברשות הבעלים כמי שיצא כל רשות הבעלים היו מושכו ויוצא עד,9,8,9749,9749.0,6127,6127.0,0.0,0.0,2070004348
ref-t.3.7.1.9.16-ref-t.3.7.1.9.41,ref-y.3.7.1.6.4.2-ref-y.3.7.1.6.5.5,708859,709006,ref-t.3.7.1.9.16,ref-t.3.7.1.9.41,2868045,2868223,ref-y.3.7.1.6.4.2,ref-y.3.7.1.6.5.5,רשות גבוה בכסף כיצד גזבר שנתן מעות הקדש במטלטלין קנה הקדש בכל מקום שהוא אבל בהדיוט לא קנה עד שעה שימשוך אמירתו לגבוה במסירתו להדיוט כיצד ,רשות הגבוה בכסף ורשות ההדיוט בחזקה כיצד גיזבר שנתן מעות הקדש במטלטלין קנה הקדש בכל מקום שהוא שנאמר ליי' הארץ ומלואה תבל ויושבי בה אמירתי לגבוה כמסירתי להדיוט כיצד ,26,29,8087,8087.0,6129,6129.0,0.31901840490797545,0.40740740740740744,2070004349
ref-t.3.7.1.9.31-ref-t.3.7.1.9.47,ref-y.3.7.1.6.5.61-ref-y.3.7.1.6.5.81,708941,709034,ref-t.3.7.1.9.31,ref-t.3.7.1.9.47,2868498,2868603,ref-y.3.7.1.6.5.61,ref-y.3.7.1.6.5.81,בהדיוט לא קנה עד שעה שימשוך אמירתו לגבוה במסירתו להדיוט כיצד שור זה הקדש ובית זה הקדש ,שור זה עולה ובית זה קרבן קנה הקדש בכל מקו' שהוא דכתיב ליי' הארץ ומלואה וגו' ובהדיוט לא קנה עד שעה ,17,21,8093,8093.0,6130,6129.0,0.7448979591836735,0.7083333333333333,2070004350
ref-t.3.7.1.10.4-ref-t.3.7.1.10.34,ref-y.1.1.3.3.7.29-ref-y.1.1.3.3.7.64,709122,709282,ref-t.3.7.1.10.4,ref-t.3.7.1.10.34,70448,70638,ref-y.1.1.3.3.7.29,ref-y.1.1.3.3.7.64,סוכה לולב שופר ותפילין ואי זו היא מצות עשה שאין הזמן גרמא כגון אבידה ושילוח הקן מעקה וציצית ר' שמעון פוטר את הנשים ממצות ציצית שהוא,כגון סוכה לולב שופר ותפילין ואי זו היא מצות עשה שאין הזמן גרמא כגון אבידה ושילוח הקן מעקה וציצית ר' שמעון פוטר את הנשים ממצות ציצית שהוא מצות עשה שהזמן גרמא שהרי כסות לילה פטו' מן,31,36,129,129.0,6131,6131.0,0.2681564245810056,0.2142857142857143,2070004351
ref-t.3.7.1.10.8-ref-t.3.7.1.10.34,ref-y.3.7.1.7.15.8-ref-y.3.7.1.7.15.32,709143,709282,ref-t.3.7.1.10.8,ref-t.3.7.1.10.34,2877101,2877241,ref-y.3.7.1.7.15.8,ref-y.3.7.1.7.15.32,כגון סוכה לולב ותפלין אי זו היא מצות עשה שלא הזמן גרמא כגון אבידה ושלוח הקן מעקה וציצית ר' שמעון פוטר את הנשים מן הציצית מפני שהיא ,"כגון סוכה ושופר ולולב ותפילין אי זו היא מצו' עשה שלא הזמן גרמא בגון אבידה ושילוח הקן ומעקה וציצית ר""ש פוטר הנשי' מן הציצית שהוא ",27,25,8111,8111.0,6133,6131.0,0.21374045801526717,0.48275862068965514,2070004352
ref-t.3.7.1.11.8-ref-t.3.7.1.11.12,ref-y.3.7.1.7.4.22-ref-y.3.7.1.7.4.28,709332,709363,ref-t.3.7.1.11.8,ref-t.3.7.1.11.12,2871671,2871718,ref-y.3.7.1.7.4.22,ref-y.3.7.1.7.4.28,מאכיל ומשקה מלביש ומכסה מוציא ,מאכיל ומשקה מלביש ומכסה ומנעיל מכנים ומוציא ,5,7,8105,8105.0,6134,6134.0,0.3181818181818182,0.5,2070004353
ref-t.3.7.1.11.23-ref-t.3.7.1.11.37,ref-y.1.2.1.1.28.5-ref-y.1.2.1.1.28.17,709423,709501,ref-t.3.7.1.11.23,ref-t.3.7.1.11.37,211668,211740,ref-y.1.2.1.1.28.5,ref-y.1.2.1.1.28.17,אלא שהאיש ספיקה בו לעשות והאשה אין ספק בידה לעשות מפני שיש רשות אחרים עליה ,אלא שהאיש ספיקה בידו והאשה אין ספיקה בידה מפני שיש רשות לאחרים עליה ,15,13,439,439.0,6135,6135.0,0.2,0.09999999999999998,2070004354
ref-t.3.7.1.11.37-ref-t.3.7.1.11.56,ref-y.3.7.1.7.1.3-ref-y.3.7.1.7.1.26,709497,709606,ref-t.3.7.1.11.37,ref-t.3.7.1.11.56,2868622,2868752,ref-y.3.7.1.7.1.3,ref-y.3.7.1.7.1.26,על הבן בו' מצות שהאב חייב לעשות לבנו למוהלו לפדותו ללמדו תורה וללמדו אומנות להשיאו אשה רבי עקיבה אומר אף ללמדו לשוט,מצות האב על הבן בו' מצות שהאב חייב לעשות לבנו למוהלו לפדותו ללמדו תורה וללמדו אומנות להשיאו אשה רבי עקיבה אומר אף ללמדו לשוט,20,24,8094,8094.0,6138,6138.0,0.07258064516129033,0.050000000000000044,2070004355
ref-t.3.7.1.11.44-ref-t.3.7.1.11.66,ref-y.3.7.1.7.1.41-ref-y.3.7.1.7.1.59,709525,709653,ref-t.3.7.1.11.44,ref-t.3.7.1.11.66,2868831,2868938,ref-y.3.7.1.7.1.41,ref-y.3.7.1.7.1.59,בבניך תפדה ללמדו תורה ולמדתם אותם את בניכם ללמדו אומנות תני רבי ישמעאל ובחרת בחיים זו אומנות להשיאו אשה,בבניך תפדה ללמדו תורה ולמדתם אותם את בניכם ללמדו אומנות תני רבי ישמעאל ובחרת בחיים זו אומנות להשיאו אשה,9,19,8098,8098.0,6140,6140.0,0.0,0.0,2070004356
ref-t.3.7.1.11.23-ref-t.3.7.1.11.37,ref-y.3.7.1.7.4.76-ref-y.3.7.1.7.4.96,709423,709501,ref-t.3.7.1.11.23,ref-t.3.7.1.11.37,2871944,2872064,ref-y.3.7.1.7.4.76,ref-y.3.7.1.7.4.96,אלא שהאיש ספיקה בידו האשה אינה ספיקה בידה מפני שישי רשות לאחרים עליה נתאלמנה או נתגרשה כמי שהיא ספיקה בידה לעשות,אלא שהאיש ספיקה בידו האשה אינה ספיקה בידה מפני שישי רשות לאחרים עליה נתאלמנה או נתגרשה כמי שהיא ספיקה בידה לעשות,15,13,8106,8106.0,6136,6136.0,0.0,0.0,2070004357
ref-t.3.7.1.11.193-ref-t.3.7.1.11.198,ref-y.4.8.2.4.5.22-ref-y.4.8.2.4.5.27,710312,710353,ref-t.3.7.1.11.193,ref-t.3.7.1.11.198,3446370,3446400,ref-y.4.8.2.4.5.22,ref-y.4.8.2.4.5.27,נכנסין לתוכו ועוברין ושבין נכנסין לתוכו ,כונס לתוכן יין כנס הגוי לתוכן ,6,6,9851,9848.0,6142,6142.0,0.525,1.0,2070004358
ref-t.3.7.1.13.1-ref-t.3.7.1.13.18,ref-y.3.7.1.9.1.3-ref-y.3.7.1.9.1.16,710635,710736,ref-t.3.7.1.13.1,ref-t.3.7.1.13.18,2882050,2882117,ref-y.3.7.1.9.1.3,ref-y.3.7.1.9.1.16,העושה מצוה אחת מטיבין לו ומאריכין לו ימיו ושנותיו ונוחל את האדמה וכל העובר עבירה אחת מריעין לו ,העושה מצוה אחת מטיבין לו כו' הא כל היושב ולא עבר עביר' נותנין לו ,18,14,8120,8120.0,6143,6143.0,0.45263157894736844,0.7222222222222222,2070004359
ref-t.3.7.1.13.1-ref-t.3.7.1.13.25,ref-y.3.7.1.9.1.28-ref-y.3.7.1.9.1.55,710635,710773,ref-t.3.7.1.13.1,ref-t.3.7.1.13.25,2882174,2882318,ref-y.3.7.1.9.1.28,ref-y.3.7.1.9.1.55,עשה מצוה אחת מטיבין לו ומאריכין את ימיו ונוחל את הארץ והעובר עבירה אחת אין מטיבין לו ואין מאריכין ימיו ואינו נוחל את הארץ תמן תנינן הא כל,עשה מצוה אחת מטיבין לו ומאריכין את ימיו ונוחל את הארץ והעובר עבירה אחת אין מטיבין לו ואין מאריכין ימיו ואינו נוחל את הארץ תמן תנינן הא כל,25,24,8121,8121.0,6144,6144.0,0.0,0.0,2070004360
ref-t.3.7.1.14b.4-ref-t.3.7.1.14b.11,ref-y.1.2.1.1.51.7-ref-y.1.2.1.1.51.15,711381,711420,ref-t.3.7.1.14b.4,ref-t.3.7.1.14b.11,221239,221284,ref-y.1.2.1.1.51.7,ref-y.1.2.1.1.51.15,היה אדם צדיק כל ימיו ובאחרונה מרד איבד ,שהיה אדם צדיק גמור בל ימיו ובאחרונ' מרד איבד ,8,9,450,450.0,6146,6146.0,0.17777777777777778,0.4,2070004361
ref-t.3.7.1.14b.20-ref-t.3.7.1.16.10,ref-y.1.2.1.1.51.38-ref-y.1.2.1.1.51.52,711461,711518,ref-t.3.7.1.14b.20,ref-t.3.7.1.16.10,221392,221465,ref-y.1.2.1.1.51.38,ref-y.1.2.1.1.51.52,שהיה אדם רשע גמור כל ימיו ובסוף עשה תשובה הקבה מקבלו מה טעם ובשוב רשע,שהיה אדם רשע גמור כל ימיו ובסוף עשה תשובה הקבה מקבלו מה טעם ובשוב רשע,11,15,452,451.0,6147,6147.0,0.0,0.0,2070004362
ref-t.3.7.1.17.11-ref-t.3.7.2.1.2,ref-y.1.2.1.1.55.89-ref-y.1.2.1.1.55.101,711625,711664,ref-t.3.7.1.17.11,ref-t.3.7.2.1.2,223530,223594,ref-y.1.2.1.1.55.89,ref-y.1.2.1.1.55.101,והחוט המשולש לא במהרה ינתק כשם שאין ,והחוט המשולש לא לעולם ינתק אין כתיב כאן אלא לא במהרה ינתק אין ,7,13,457,457.0,6149,6149.0,0.5483870967741935,0.6,2070004363
ref-t.3.7.2.1.1-ref-t.3.7.2.1.12,ref-y.3.1.13.2.7.289-ref-y.3.1.13.2.7.301,711655,711715,ref-t.3.7.2.1.1,ref-t.3.7.2.1.12,2214056,2214116,ref-y.3.1.13.2.7.289,ref-y.3.1.13.2.7.301,כשם שאין האיש מקדש לבנו בו ובשלוחו כך אין האשה מקדשת בה ,כך אינו מימר בו כשם שאינו מימר בו כך אינו מימר בכל הקדשים ,12,13,5922,5922.0,6153,6149.0,0.7068965517241379,0.7272727272727273,2070004364
ref-t.3.7.2.1.3-ref-t.3.7.2.1.12,ref-y.3.6.6.2.2.68-ref-y.3.6.6.2.2.74,711665,711715,ref-t.3.7.2.1.3,ref-t.3.7.2.1.12,2681636,2681675,ref-y.3.6.6.2.2.68,ref-y.3.6.6.2.2.74,האיש מקדש לבנו בו ובשלוחו כך אין האשה מקדשת בה ,האיש מקדש בו ובשלוחו והאשה מתקדשת בה ,10,7,7488,7488.0,6154,6149.0,0.2765957446808511,0.5714285714285714,2070004365
ref-t.3.7.1.17.11-ref-t.3.7.2.1.2,ref-y.3.7.1.9.4.8-ref-y.3.7.1.9.4.20,711625,711664,ref-t.3.7.1.17.11,ref-t.3.7.2.1.2,2884691,2884753,ref-y.3.7.1.9.4.8,ref-y.3.7.1.9.4.20,והחוט המשולש לא במהרה ינתק כשם שאין ,והחוט המשולש לא לעולם ינתק אין כתיב כאן אלא לא מהרה ינתק אין ,7,13,8126,8126.0,6150,6149.0,0.5409836065573771,0.7272727272727273,2070004366
ref-t.3.7.2.1.3-ref-t.3.7.2.2.2,ref-y.3.7.1.9.4.70-ref-y.3.7.1.9.4.87,711665,711737,ref-t.3.7.2.1.3,ref-t.3.7.2.2.2,2884987,2885090,ref-y.3.7.1.9.4.70,ref-y.3.7.1.9.4.87,האיש מקדש לבנו בו ובשלוחו כך אין האשה מקדשת בה ובשלוחה האומ' לאשה ,האיש מקדש בו ובשלוחו והאשה מתקדשת בה ובשלוחה האיש מקדש את בתו כשהיא נערה בו ובשלוחו האומר לאשה ,13,18,8127,8127.0,6156,6149.0,0.49473684210526314,0.7272727272727273,2070004367
ref-t.3.7.2.1.3-ref-t.3.7.2.1.12,ref-y.3.7.2.1.4.70-ref-y.3.7.2.1.4.76,711665,711715,ref-t.3.7.2.1.3,ref-t.3.7.2.1.12,2888967,2889006,ref-y.3.7.2.1.4.70,ref-y.3.7.2.1.4.76,האיש מקדש לבנו בו ובשלוחו כך אין האשה מקדשת בה ,האיש מקדש בו ובשלוחו והאשה מתקדשת בה ,10,7,8150,8150.0,6155,6149.0,0.2765957446808511,0.5714285714285714,2070004368
ref-t.3.7.1.17.11-ref-t.3.7.2.1.2,ref-y.4.4.10.1.5.96-ref-y.4.4.10.1.5.108,711625,711664,ref-t.3.7.1.17.11,ref-t.3.7.2.1.2,3272015,3272079,ref-y.4.4.10.1.5.96,ref-y.4.4.10.1.5.108,והחוט המשולש לא במהרה ינתק כשם שאין ,והחוט המשולש לא לעולם ינתק אין כתיב כאן אלא לא במהרה ינתק אין ,7,13,9393,9393.0,6151,6149.0,0.5483870967741935,0.6,2070004369
ref-t.3.7.1.17.11-ref-t.3.7.2.1.2,ref-y.4.6.1.6.9.68-ref-y.4.6.1.6.9.81,711625,711664,ref-t.3.7.1.17.11,ref-t.3.7.2.1.2,3345852,3345925,ref-y.4.6.1.6.9.68,ref-y.4.6.1.6.9.81,והחוט המשולש לא במהרה ינתק כשם שאין ,והחוט המשולש לא במהרה ינתק לעולם אין כתיב כאן אלא לא במהרה ינתק ואין ,7,14,9614,9614.0,6152,6149.0,0.5217391304347826,0.6,2070004370
ref-t.3.7.2.3.4-ref-t.3.7.2.3.21,ref-y.3.7.2.1.18.101-ref-y.3.7.2.1.18.129,712026,712114,ref-t.3.7.2.3.4,ref-t.3.7.2.3.21,2895525,2895676,ref-y.3.7.2.1.18.101,ref-y.3.7.2.1.18.129,זה ובמה שבתוכו שוה פרוטה מתקדשת ואם לאו אינה מתקדשת זכה בו ובמה שכתוכו אם יש במה שבתוכו שוה פרוטה מתקדשת ואם לאו מתקדשת לא זכת אלא במה שבתוכו,זה ובמה שבתוכו שוה פרוטה מתקדשת ואם לאו אינה מתקדשת זכה בו ובמה שכתוכו אם יש במה שבתוכו שוה פרוטה מתקדשת ואם לאו מתקדשת לא זכת אלא במה שבתוכו,18,17,8166,8166.0,6157,6157.0,0.0,0.0,2070004371
ref-t.3.7.2.3.36-ref-t.3.7.2.3.41,ref-y.3.7.2.1.18.125-ref-y.3.7.2.1.18.130,712185,712215,ref-t.3.7.2.3.36,ref-t.3.7.2.3.41,2895653,2895681,ref-y.3.7.2.1.18.125,ref-y.3.7.2.1.18.130,ולא זכת אלא במה שבתוכו בלבד ,לא זכת אלא במה שבתוכו בלבד ,6,6,8168,8166.0,6159,6159.0,0.03571428571428571,0.0,2070004372
ref-t.3.7.2.4.37-ref-t.3.7.2.4.52,ref-y.2.10.2.3.1.4-ref-y.2.10.2.3.1.31,712394,712460,ref-t.3.7.2.4.37,ref-t.3.7.2.4.52,1889047,1889181,ref-y.2.10.2.3.1.4,ref-y.2.10.2.3.1.31,בן עיר ונעשה בן כרך על מנת שאני בן כרך והיה בן כרך ונעשה בן עיר ,בן כרך שהלך לעיר שזמנו מאוחר בן עיר שהלך לכרך ואין זמנו מוקדם אמר רבי יודן לית כאן בן עיר שהלך לכרך ותניי דבית רבי כן בן כרך ,16,28,4943,4942.0,6162,6160.0,0.664,0.8421052631578947,2070004373
ref-t.3.7.2.4.34-ref-t.3.7.2.4.52,ref-y.3.7.1.9.4.189-ref-y.3.7.1.9.4.198,712381,712460,ref-t.3.7.2.4.34,ref-t.3.7.2.4.52,2885580,2885621,ref-y.3.7.1.9.4.189,ref-y.3.7.1.9.4.198,בן עיר והיה בן עיר ונעשה בן כרך על מנת שאני בן כרך והיה בן כרך ונעשה בן עיר ,בן עיר ונמצא בן ברך בן כרך ונמצא בן עיר ,19,10,8133,8133.0,6161,6160.0,0.5394736842105263,0.625,2070004374
ref-t.3.7.2.4.34-ref-t.3.7.2.4.52,ref-y.3.7.2.2.3.19-ref-y.3.7.2.2.3.30,712381,712460,ref-t.3.7.2.4.34,ref-t.3.7.2.4.52,2895897,2895948,ref-y.3.7.2.2.3.19,ref-y.3.7.2.2.3.30,בן כרך ונמצא בן עיר בן עיר ונמצא בן כרך יכולה היא,בן כרך ונמצא בן עיר בן עיר ונמצא בן כרך יכולה היא,16,12,8169,8169.0,6160,6160.0,0.0,0.0,2070004375
