baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-sifre-d,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifre-d.149.2.11-ref-sifre-d.149.2.32,ref-b.4.4.5.41b.2.23-ref-b.4.4.5.41b.4.20,179181,179304,ref-sifre-d.149.2.11,ref-sifre-d.149.2.32,6093293,6093541,ref-b.4.4.5.41b.2.23,ref-b.4.4.5.41b.4.20,"תרי נמי עדותן קיימת אר ששת ארישא קאי והכי קאמר בחקירות אפילו שנים אומרים ידענו ואחד אומר איני יודע עדותן בטילה כמאן כר""ע דמקיש שלשה לשנים אמר רבא והא עדותן קיימת קתני אלא אמר רבא ה""ק אפילו בחקירות שנים אומרים ידענו ואחד אומר איני יודע עדותן קיימת אר ששת ארישא קאי והכי קאמר בחקירות אפילו שנים אומרים ידענו ואחד אומר איני יודע עדותן בטילה","תרי נמי עדותן קיימת אר ששת ארישא קאי והכי קאמר בחקירות אפילו שנים אומרים ידענו ואחד אומר איני יודע עדותן בטילה כמאן כר""ע דמקיש שלשה לשנים אמר רבא והא עדותן קיימת קתני אלא אמר רבא ה""ק אפילו בחקירות",49,29,2647,2647.0,1893,1893.0,0.4183976261127596,0.0,29,"תרי נמי עדותן קיימת אר ששת ארישא קאי_והכי_קאמר בחקירות אפילו שנים אומרים ידענו ואחד אומר_איני_יודע עדותן בטילה כמאן כר""ע דמקיש שלשה לשנים אמר_רבא_והא עדותן קיימת קתני_אלא_אמר_רבא ה""ק אפילו בחקירות",6080001476,49,29
ref-sifre-d.149.2.9-ref-sifre-d.149.2.32,ref-b.4.4.5.41b.6.4-ref-b.4.4.5.41b.6.27,179173,179304,ref-sifre-d.149.2.9,ref-sifre-d.149.2.32,6093729,6093860,ref-b.4.4.5.41b.6.4,ref-b.4.4.5.41b.6.27,מה צורך בחקירות אלא שבחקירות אמר אחד איני יודע עדותם בטלה בדיקות אמר אחד איני יודע ואפילו שנים אומרים אין אנו יודעים עדותם קיימת ,מה בין חקירות לבדיקות חקירות אחד אומר איני יודע עדותן בטילה בדיקות אמר אחד איני יודע ואפי' שנים אומרים אין אנו יודעים עדותן קיימת ,22,22,2652,2652.0,1891,1890.0,0.2076923076923077,0.5238095238095238,10,מה אחד בדיקות אמר אחד איני יודע שנים אומרים קיימת,6080001477,22,22
ref-sifre-d.149.2.12-ref-sifre-d.149.2.21,ref-b.4.4.5.41b.7.1-ref-b.4.4.5.41b.7.19,179190,179243,ref-sifre-d.149.2.12,ref-sifre-d.149.2.21,6093925,6094021,ref-b.4.4.5.41b.7.1,ref-b.4.4.5.41b.7.19,אלא שבחקירות אמר אחד איני יודע עדותם בטלה בדיקות אמר ,אל הכי השתא בחקירות אמר אחד איני יודע עדותן בטילה דהויא לה עדות שאי אתה יכול להזימה בדיקות אמר ,10,12,2655,2655.0,1895,1890.0,0.4842105263157895,0.6666666666666667,4,אמר אחד בדיקות אמר,6080001478,10,12
ref-sifre-d.149.3.2-ref-sifre-d.149.3.9,ref-b.3.5.7.38a.12.8-ref-b.3.5.7.38a.12.17,179373,179423,ref-sifre-d.149.3.2,ref-sifre-d.149.3.9,4029172,4029235,ref-b.3.5.7.38a.12.8,ref-b.3.5.7.38a.12.17,אין לי אלא ישראל גרים נשים ועבדים מנין תלמוד לומר ,אין לי אלא בני ישראל גרים נשים ועבדים משוחררים מנין תלמוד לומר ,6,8,1707,1707.0,1901,1901.0,0.2063492063492063,0.25,6,אין_לי_אלא ישראל גרים נשים ועבדים מנין_תלמוד_לומר,6080001479,6,8
ref-sifre-d.149.4.17-ref-sifre-d.149.4.37,ref-b.3.1.2.24a.6.16-ref-b.3.1.2.24a.6.37,179575,179681,ref-sifre-d.149.4.17,ref-sifre-d.149.4.37,2915347,2915449,ref-b.3.1.2.24a.6.16,ref-b.3.1.2.24a.6.37,נאמר כאן שעריך ונאמר להלן שעריך מה שעריך האמור להלן שער שנמצאו בו ולא שער שנדונו בו אף שעריך האמור כאן ,נאמר כאן יקום על שם אחיו ונאמר להלן על שם אחיהם יקראו בנחלתם מה שם האמור להלן נחלה אף שם האמור כאן ,1,1,1148,1136.0,1908,1902.0,0.6116504854368932,0.6666666666666667,10,נאמר כאן ונאמר להלן מה האמור להלן אף האמור כאן,6080001480,17,19
ref-sifre-d.149.4.13-ref-sifre-d.149.4.37,ref-b.3.1.9.86a.5.11-ref-b.3.1.9.86a.5.22,179552,179681,ref-sifre-d.149.4.13,ref-sifre-d.149.4.37,3126427,3126491,ref-b.3.1.9.86a.5.11,ref-b.3.1.9.86a.5.22,בשעריך ושבעו מה שעריך האמור להלן מעשר עני אף שעריך האמור כאן,בשעריך ושבעו מה שעריך האמור להלן מעשר עני אף שעריך האמור כאן,12,12,1272,1272.0,1906,1906.0,0.0,0.0,12,בשעריך ושבעו מה שעריך האמור להלן מעשר עני אף שעריך האמור כאן,6080001481,12,12
ref-sifre-d.149.3.25-ref-sifre-d.149.4.36,ref-b.3.2.4.45b.6.7-ref-b.3.2.4.45b.8.17,179487,179677,ref-sifre-d.149.3.25,ref-sifre-d.149.4.36,3387021,3387265,ref-b.3.2.4.45b.6.7,ref-b.3.2.4.45b.8.17,זה שער שעבד בו אתה אומר שער שעבד בו או אינו אלא שער שנידון בו נאמר שעריך למטה ונאמר שעריך למעלה מה שעריך האמור למעלה שער שעבד בו אף שעריך האמור למטה שער שעבד בו דבר אחר שעריך ולא שערי גוים האי שעריך הא אפיקתיה אם כן לימא קרא שער מאי שעריך,זה שער שעבד בו אתה אומר שער שעבד בו או אינו אלא שער שנידון בו נאמר שעריך למטה ונאמר שעריך למעלה מה שעריך האמור למעלה שער שעבד בו אף שעריך האמור למטה שער שעבד בו דבר אחר שעריך ולא שערי גוים האי שעריך הא אפיקתיה אם כן לימא קרא שער מאי שעריך,47,47,1374,1374.0,1902,1902.0,0.0,0.0,47,זה שער שעבד בו אתה אומר שער שעבד בו או_אינו_אלא שער שנידון בו נאמר שעריך למטה ונאמר שעריך למעלה מה שעריך האמור למעלה שער שעבד בו אף שעריך האמור למטה שער שעבד בו דבר אחר שעריך ולא שערי גוים האי שעריך הא אפיקתיה אם_כן_לימא_קרא שער מאי שעריך,6080001482,47,47
ref-sifre-d.149.4.13-ref-sifre-d.149.4.24,ref-b.3.4.4.21a.12.8-ref-b.3.4.4.21a.12.16,179552,179616,ref-sifre-d.149.4.13,ref-sifre-d.149.4.24,3809891,3809942,ref-b.3.4.4.21a.12.8,ref-b.3.4.4.21a.12.16,שעריך שעריך לגזרה שוה נאמר כאן שעריך ונאמר להלן שעריך מה שעריך ,ושערי כשערו וכו' משום דאמר פי כפיו ושערי כשערו ,12,9,1478,1478.0,1905,1902.0,0.5714285714285714,1.0,0,,6080001483,12,9
ref-sifre-d.149.4.17-ref-sifre-d.149.4.26,ref-b.3.5.1.3b.22.12-ref-b.3.5.1.3b.22.35,179575,179628,ref-sifre-d.149.4.17,ref-sifre-d.149.4.26,3908503,3908604,ref-b.3.5.1.3b.22.12,ref-b.3.5.1.3b.22.35,נאמר כאן שעריך ונאמר להלן שעריך מה שעריך האמור להלן ,נאמר כאן כי מצא בה ערות דבר ונאמר להלן על פי שני עדים או על פי שלשה עדים יקום דבר מה דבר האמור להלן ,1,1,1520,1515.0,1907,1902.0,0.59,0.6666666666666667,7,נאמר כאן ונאמר להלן מה האמור להלן,6080001484,10,15
ref-sifre-d.149.7.2-ref-sifre-d.149.7.17,ref-b.4.8.4.53b.18.27-ref-b.4.8.4.54a.1.9,179799,179891,ref-sifre-d.149.7.2,ref-sifre-d.149.7.17,6695059,6695126,ref-b.4.8.4.53b.18.27,ref-b.4.8.4.54a.1.9,באבנים יכול באבנים מרובות תלמוד לומר באבן אי באבן יכול באבן אחת תלמוד לומר באבנים אמור ,אבן אחת מזבח אבנים הרבה אמר חזקיה מאי קרא בשומו כל אבני מזבח כאבני ,16,14,3243,3242.0,1910,1910.0,0.6666666666666666,0.6923076923076923,1,אחת,6080001485,16,14
ref-sifre-d.152.1.1-ref-sifre-d.152.2.2,ref-b.4.4.10.86b.20.3-ref-b.4.4.10.87a.1.6,180387,180434,ref-sifre-d.152.1.1,ref-sifre-d.152.2.2,6266552,6266600,ref-b.4.4.10.86b.20.3,ref-b.4.4.10.87a.1.6,"כי יפלא מלמד ש במופלא שבב""ד הכתוב מדבר ממך זו ","כי יפלא ממך דבר במופלא שבב""ד הכתוב מדבר ממך זה ",10,10,2892,2892.0,1911,1911.0,0.1276595744680851,0.2222222222222222,7,"כי יפלא במופלא שבב""ד הכתוב מדבר ממך",6080001486,10,10
ref-sifre-d.152.1.1-ref-sifre-d.152.2.2,ref-b.4.4.10.87a.11.1-ref-b.4.4.10.87a.11.8,180387,180434,ref-sifre-d.152.1.1,ref-sifre-d.152.2.2,6267826,6267866,ref-b.4.4.10.87a.11.1,ref-b.4.4.10.87a.11.8,"כי יפלא מלמד ש במופלא שבב""ד הכתוב מדבר ממך זו ","כי יפלא במופלא שבב""ד הכתוב מדבר ממך זה ",10,8,2898,2898.0,1912,1911.0,0.1739130434782608,0.2222222222222222,7,"כי יפלא במופלא שבב""ד הכתוב מדבר ממך",6080001487,10,8
ref-sifre-d.152.3.1-ref-sifre-d.152.13.1,ref-b.4.4.10.87a.1.19-ref-b.4.4.10.87a.4.3,180439,180763,ref-sifre-d.152.3.1,ref-sifre-d.152.13.1,6266654,6266943,ref-b.4.4.10.87a.1.19,ref-b.4.4.10.87a.4.3,דבר זו הלכה למשפט זה הדין בין דם לדם בין דם נידה לדם זיבה לדם יולדת בין דין לדין בין דיני ממונות לדיני נפשות לדיני מכות בין נגע לנגע בין נגעי אדם לנגעי בתים לנגעי בגדים דברי אלו ערכין וחרמים והקדשות ריבות זו השקאת סוטה ועריפת העגלה וטהרת מצורע בשעריך זה לקט שכחה ופאה וקמת מיד וקמת בבית מבית דין ועלית ,"דבר זו הלכה למשפט זה הדין בין דם לדם בין דם נדה דם לידה דם זיבה בין דין לדין בין דיני נפשות דיני ממונות דיני מכות בין נגע לנגע בין נגעי אדם נגעי בתים נגעי בגדים דברי אלו החרמים והערכין וההקדשות ריבות זו השקאת סוטה ועריפת עגלה וטהרת מצורע בשעריך זו לקט שכחה ופאה וקמת מב""ד ועלית ",61,55,2893,2893.0,1913,1913.0,0.1788079470198675,0.1891891891891891,39,דבר זו הלכה למשפט זה הדין בין דם לדם בין דם זיבה בין דין לדין בין דיני נפשות מכות בין נגע לנגע בין נגעי אדם בתים בגדים דברי אלו ריבות זו השקאת סוטה ועריפת וטהרת מצורע בשעריך וקמת ועלית,6080001488,61,55
ref-sifre-d.152.5.1-ref-sifre-d.152.5.9,ref-b.4.4.10.87b.4.1-ref-b.4.4.10.87b.4.11,180467,180505,ref-sifre-d.152.5.1,ref-sifre-d.152.5.9,6268365,6268406,ref-b.4.4.10.87b.4.1,ref-b.4.4.10.87b.4.11,בין דם לדם בין דם נדה דם לידה דם זיבה דם,בין דם לדם בין דם נדה דם לידה דם זיבה דם,11,11,2899,2899.0,1914,1914.0,0.0,0.0,11,בין דם לדם בין דם נדה דם לידה דם זיבה דם,6080001489,11,11
ref-sifre-d.152.5.2-ref-sifre-d.152.6.10,ref-b.4.4.10.87b.8.14-ref-b.4.4.10.87b.9.10,180471,180565,ref-sifre-d.152.5.2,ref-sifre-d.152.6.10,6268841,6268895,ref-b.4.4.10.87b.8.14,ref-b.4.4.10.87b.9.10,הדם בין דין לדין בין דיני ממונות דיני נפשות דיני מכות,הדם בין דין לדין בין דיני ממונות דיני נפשות דיני מכות,11,11,2901,2901.0,1916,1916.0,0.0,0.0,11,הדם בין דין לדין בין דיני ממונות דיני נפשות דיני מכות,6080001490,11,11
ref-sifre-d.152.7.1-ref-sifre-d.152.7.10,ref-b.4.4.10.87b.13.1-ref-b.4.4.10.87b.13.10,180566,180617,ref-sifre-d.152.7.1,ref-sifre-d.152.7.10,6269282,6269329,ref-b.4.4.10.87b.13.1,ref-b.4.4.10.87b.13.10,בין נגע לנגע בין נגעי אדם לנגעי בתים לנגעי בגדים ,בין נגע לנגע בין נגעי אדם נגעי בתים נגעי בגדים ,10,10,2903,2903.0,1918,1913.0,0.0408163265306122,0.0,8,בין נגע לנגע בין נגעי אדם בתים בגדים,6080001491,10,10
ref-sifre-d.152.9.1-ref-sifre-d.152.9.8,ref-b.4.4.10.88a.7.1-ref-b.4.4.10.88a.7.8,180650,180697,ref-sifre-d.152.9.1,ref-sifre-d.152.9.8,6270491,6270538,ref-b.4.4.10.88a.7.1,ref-b.4.4.10.88a.7.8,ריבות זו השקאת סוטה ועריפת העגלה וטהרת מצורע ,ריבות זה השקאת סוטה ועריפת העגלה וטהרת מצורע ,8,8,2906,2906.0,1921,1913.0,0.0222222222222222,0.0,7,ריבות השקאת סוטה ועריפת העגלה וטהרת מצורע,6080001492,8,8
ref-sifre-d.152.9.3-ref-sifre-d.152.9.8,ref-b.5.2.3.18b.8.12-ref-b.5.2.3.18b.8.17,180659,180697,ref-sifre-d.152.9.3,ref-sifre-d.152.9.8,7192588,7192626,ref-b.5.2.3.18b.8.12,ref-b.5.2.3.18b.8.17,השקאת סוטה ועריפת העגלה וטהרת מצורע ,והשקאת סוטה ועריפת עגלה וטהרת מצורע ,6,6,3486,3486.0,1922,1913.0,0.0555555555555555,0.0,4,סוטה ועריפת וטהרת מצורע,6080001493,6,6
ref-sifre-d.152.9.3-ref-sifre-d.152.9.8,ref-b.5.3.10.133a.1.3-ref-b.5.3.10.133a.1.9,180659,180697,ref-sifre-d.152.9.3,ref-sifre-d.152.9.8,7889121,7889165,ref-b.5.3.10.133a.1.3,ref-b.5.3.10.133a.1.9,השקאת סוטה ועריפת העגלה וטהרת מצורע ,והשקאת סוטה ועריפת עגלה ערופה וטהרת מצורע ,6,7,3744,3744.0,1923,1913.0,0.1904761904761904,0.1428571428571429,4,סוטה ועריפת וטהרת מצורע,6080001494,6,7
ref-sifre-d.152.7.1-ref-sifre-d.152.7.10,ref-b.6.7.2.19a.9.2-ref-b.6.7.2.19a.9.8,180566,180617,ref-sifre-d.152.7.1,ref-sifre-d.152.7.10,8562658,8562696,ref-b.6.7.2.19a.9.2,ref-b.6.7.2.19a.9.8,בין נגעי אדם לנגעי בתים ולנגעי בגדים,בין נגעי אדם לנגעי בתים ולנגעי בגדים,7,7,4015,4015.0,1919,1919.0,0.0,0.0,7,בין נגעי אדם לנגעי בתים ולנגעי בגדים,6080001495,7,7
ref-sifre-d.152.14.11-ref-sifre-d.152.14.21,ref-b.4.4.10.88a.18.2-ref-b.4.4.10.88a.18.11,180909,180957,ref-sifre-d.152.14.11,ref-sifre-d.152.14.21,6271884,6271933,ref-b.4.4.10.88a.18.2,ref-b.4.4.10.88a.18.11,כך דרשתי וכך דרשו חברי  כך למדתי וכך למדו חברי ,כך דרשתי וכך דרשו חבירי כך למדתי וכך למדו חבירי ,10,10,2908,2908.0,1926,1926.0,0.0625,0.0,8,כך דרשתי וכך דרשו כך למדתי וכך למדו,6080001496,10,10
ref-sifre-d.152.14.34-ref-sifre-d.152.14.43,ref-b.4.4.10.88a.18.2-ref-b.4.4.10.88a.18.11,181019,181066,ref-sifre-d.152.14.34,ref-sifre-d.152.14.43,6271884,6271933,ref-b.4.4.10.88a.18.2,ref-b.4.4.10.88a.18.11,כך דרשתי וכך דרשו חברי כך למדתי וכך למדו חברי ,כך דרשתי וכך דרשו חבירי כך למדתי וכך למדו חבירי ,10,10,2909,2908.0,1928,1928.0,0.0416666666666666,0.0,8,כך דרשתי וכך דרשו כך למדתי וכך למדו,6080001497,10,10
ref-sifre-d.152.13.11-ref-sifre-d.152.14.57,ref-b.4.4.10.88b.4.8-ref-b.4.4.10.88b.5.23,180807,181138,ref-sifre-d.152.13.11,ref-sifre-d.152.14.57,6272610,6272883,ref-b.4.4.10.88b.4.8,ref-b.4.4.10.88b.5.23,אמרו להן ואם לאו באין לזה שסמוך לעירן אם שמעו אמרו להם ואם לאו באין לזה שעל פתח הר הבית אם שמעו אמרו להם ואם לאו באין לזה שעל פתח העזרה ואומר כך דרשתי וכך דרשו חבירי כך למדתי וכך למדו חבירי אם שמעו אמרו להם ואם לאו אלו ואלו באין ללשכת הגזית ששם,אם שמעו אמרו להן ואם לאו באין לזה שסמוך לעירן אם שמעו אמרו להם ואם לאו באין לזה שעל פתח הר הבית אם שמעו אמרו להם ואם לאו באין לזה שעל פתח העזרה ואומר כך דרשתי וכך דרשו חבירי כך למדתי וכך למדו חבירי אם שמעו אמרו להן ואם לאו באין לזה שסמוך לעירן אם שמעו אמרו להם ואם לאו באין לזה שעל פתח הר הבית אם שמעו אמרו להם ואם לאו באין לזה שעל פתח העזרה ואומר כך דרשתי וכך דרשו חבירי כך למדתי וכך למדו חבירי אם שמעו אמרו להם ואם לאו אלו ואלו באין ללשכת הגזית ששם,46,86,2914,2914.0,1924,1924.0,0.4577777777777778,0.0,46,אמרו להן ואם_לאו_באין לזה שסמוך לעירן אם שמעו אמרו להם ואם_לאו_באין לזה שעל פתח הר הבית אם שמעו אמרו להם ואם_לאו_באין לזה שעל פתח העזרה ואומר כך דרשתי וכך דרשו חבירי כך למדתי וכך למדו חבירי אם שמעו אמרו להם ואם_לאו_אלו ואלו באין ללשכת הגזית ששם,6080001498,46,86
ref-sifre-d.152.15.1-ref-sifre-d.152.15.13,ref-b.3.7.3.69a.15.29-ref-b.3.7.4.69b.1.11,181199,181279,ref-sifre-d.152.15.1,ref-sifre-d.152.15.13,4625880,4626059,ref-b.3.7.3.69a.15.29,ref-b.3.7.4.69b.1.11,מלמד שבית המקדש גבוה מכל ארץ ישראל וארץ ישראל גבוהה מכל הארצות בשלמא בית המקדש גבוה מכל ארץ ישראל היינו דכתיב דברי ריבת בשעריך וקמת ועלית אלא ארץ ישראל גבוהה מכל ארצות,מלמד שבית המקדש גבוה מכל ארץ ישראל וארץ ישראל גבוהה מכל הארצות בשלמא בית המקדש גבוה מכל ארץ ישראל היינו דכתיב דברי ריבת בשעריך וקמת ועלית אלא ארץ ישראל גבוהה מכל ארצות,30,30,2066,2066.0,1931,1931.0,0.0,0.0,30,מלמד שבית המקדש גבוה מכל ארץ ישראל_וארץ_ישראל גבוהה מכל הארצות בשלמא בית המקדש גבוה מכל ארץ ישראל היינו דכתיב דברי ריבת בשעריך וקמת ועלית אלא ארץ ישראל גבוהה מכל ארצות,6080001499,30,30
ref-sifre-d.152.15.1-ref-sifre-d.152.15.8,ref-b.4.4.10.87a.4.1-ref-b.4.4.10.87a.4.12,181199,181246,ref-sifre-d.152.15.1,ref-sifre-d.152.15.8,6266926,6266994,ref-b.4.4.10.87a.4.1,ref-b.4.4.10.87a.4.12,וקמת ועלית מלמד שארץ ישראל גבוה מכל הארצות ,"וקמת מב""ד ועלית מלמד שבית המקדש גבוה מא""י ואי גבוה מכל הארצות ",8,12,2896,2893.0,1930,1929.0,0.4032258064516129,0.5,6,וקמת ועלית מלמד גבוה מכל הארצות,6080001500,8,12
ref-sifre-d.152.14.62-ref-sifre-d.152.15.12,ref-b.5.1.5.54b.4.1-ref-b.5.1.5.54b.4.17,181161,181269,ref-sifre-d.152.14.62,ref-sifre-d.152.15.12,6963649,6963741,ref-b.5.1.5.54b.4.1,ref-b.5.1.5.54b.4.17,שנאמר אל המקום אשר יבחר ה' א להיך בו וקמת ועלית מלמד שארץ ישראל גבוה מכל הארצות ובית המקדש גבוה מכל ,אמרי כתיב וקמת ועלית אל המקום מלמד שבית המקדש גבוה מכל ארץ ישראל וארץ ישראל גבוהה מכל ,15,15,3377,3372.0,1929,1929.0,0.63,0.6842105263157895,6,וקמת ועלית מלמד המקדש גבוה מכל,6080001501,15,15
ref-sifre-d.153.3.17-ref-sifre-d.153.4.4,ref-b.2.8.2.25b.3.4-ref-b.2.8.2.25b.3.11,181433,181469,ref-sifre-d.153.3.17,ref-sifre-d.153.4.4,2321630,2321675,ref-b.2.8.2.25b.3.4,ref-b.2.8.2.25b.3.11,כהנים ולוים כשר אשר יהיה בימים ההם ,הכהנים הלוים ואל השפט אשר יהיה בימים ההם ,7,8,789,788.0,1933,1933.0,0.2195121951219512,0.5,4,אשר יהיה בימים ההם,6080001502,7,8
ref-sifre-d.153.3.17-ref-sifre-d.153.4.4,ref-b.4.4.3.28b.26.18-ref-b.4.4.3.28b.26.25,181433,181469,ref-sifre-d.153.3.17,ref-sifre-d.153.4.4,6040444,6040490,ref-b.4.4.3.28b.26.18,ref-b.4.4.3.28b.26.25,כהנים ולוים כשר אשר יהיה בימים ההם ,הכהנים הלוים ואל השופט אשר יהיה בימים ההם ,7,8,2602,2601.0,1934,1933.0,0.238095238095238,0.5,4,אשר יהיה בימים ההם,6080001503,7,8
ref-sifre-d.153.3.17-ref-sifre-d.153.4.6,ref-b.4.4.7.52b.3.13-ref-b.4.4.7.52b.3.23,181433,181476,ref-sifre-d.153.3.17,ref-sifre-d.153.4.6,6139524,6139584,ref-b.4.4.7.52b.3.13,ref-b.4.4.7.52b.3.23,"כהנים ולוים כשר אשר יהיה בימים ההם ר""ה כה ",הכהנים הלוים ואל השופט אשר יהיה בימים ההם בזמן שיש כהן ,9,11,2721,2719.0,1935,1933.0,0.3454545454545454,0.6666666666666667,4,אשר יהיה בימים ההם,6080001504,9,11
ref-sifre-d.153.4.36-ref-sifre-d.153.4.52,ref-b.2.8.2.25b.3.22-ref-b.2.8.2.25b.3.40,181627,181713,ref-sifre-d.153.4.36,ref-sifre-d.153.4.52,2321725,2321823,ref-b.2.8.2.25b.3.22,ref-b.2.8.2.25b.3.40,בימיו הא אין לך לילך אלא אצל שופט שבימיו ואומר אל תאמר מה היה שהימים הראשונים היו טובים מאלה,בימיו הא אין לך לילך אלא אצל שופט שבימיו ואומר אל תאמר מה היה שהימים הראשונים היו טובים מאלה,19,19,791,791.0,1938,1938.0,0.0,0.0,19,בימיו הא אין לך לילך אלא אצל שופט שבימיו ואומר אל תאמר מה היה שהימים הראשונים היו טובים מאלה,6080001505,19,19
ref-sifre-d.153.4.16-ref-sifre-d.153.4.40,ref-b.4.4.3.28b.26.20-ref-b.4.4.3.28b.26.41,181520,181650,ref-sifre-d.153.4.16,ref-sifre-d.153.4.40,6040459,6040570,ref-b.4.4.3.28b.26.20,ref-b.4.4.3.28b.26.41,שאדם הולך אצל שופט שלא היה בימיו אלא זה שהיה קרוב ונתרחק,ואל השופט אשר יהיה בימים ההם וכי תעלה על דעתך שאדם הולך אצל שופט שלא היה בימיו אלא זה שהיה קרוב ונתרחק,12,19,2605,2605.0,1936,1936.0,0.4509803921568627,0.2142857142857143,12,שאדם הולך אצל שופט שלא היה בימיו אלא זה שהיה קרוב ונתרחק,6080001506,12,19
ref-sifre-d.154.1.1-ref-sifre-d.154.1.10,ref-b.4.8.1.8b.18.2-ref-b.4.8.1.8b.18.11,181786,181833,ref-sifre-d.154.1.1,ref-sifre-d.154.1.10,6532887,6532934,ref-b.4.8.1.8b.18.2,ref-b.4.8.1.8b.18.11,ועשית על פי הדבר אשר יגידו לך מן המקום ההוא ,ועשית על פי הדבר אשר יגידו לך מן המקום ההוא ,10,10,3197,3197.0,1940,1940.0,0.0,0.0,10,ועשית על פי הדבר אשר יגידו לך מן המקום ההוא,6080001507,10,10
ref-sifre-d.154.4.1-ref-sifre-d.154.5.2,ref-b.4.10.1.4a.11.16-ref-b.4.10.1.4a.11.25,182059,182116,ref-sifre-d.154.4.1,ref-sifre-d.154.5.2,6763683,6763728,ref-b.4.10.1.4a.11.16,ref-b.4.10.1.4a.11.25,דבר לא תסור מן הדבר אשר יגידו לך ימין ושמאל,דבר לא תסור מן הדבר אשר יגידו לך ימין ושמאל,10,10,3256,3256.0,1941,1941.0,0.0,0.0,10,דבר לא תסור מן הדבר אשר יגידו לך ימין ושמאל,6080001508,10,10
ref-sifre-d.156.3.1-ref-sifre-d.156.3.6,ref-b.3.7.1.26a.10.18-ref-b.3.7.1.26a.10.24,182725,182760,ref-sifre-d.156.3.1,ref-sifre-d.156.3.6,4475508,4475549,ref-b.3.7.1.26a.10.18,ref-b.3.7.1.26a.10.24,וירשתה וישבתה בה בשכר שתירש תשב ,וירשתם אתה וישבתם בה במה ירשתם בישיבה ,6,7,1963,1961.0,1943,1943.0,0.4210526315789473,1.0,1,בה,6080001509,6,7
ref-sifre-d.156.4.1-ref-sifre-d.156.4.6,ref-b.4.4.2.20b.9.11-ref-b.4.4.2.20b.9.16,182761,182791,ref-sifre-d.156.4.1,ref-sifre-d.156.4.6,6002493,6002525,ref-b.4.4.2.20b.9.11,ref-b.4.4.2.20b.9.16,ואמרת אשימה עלי מלך ככל וגו' ,שנאמר ואמרת אשימה עלי מלך וגו' ,6,6,2554,2554.0,1944,1944.0,0.3225806451612903,0.2857142857142857,5,ואמרת אשימה עלי מלך וגו',6080001510,6,6
ref-sifre-d.156.4.15-ref-sifre-d.156.4.22,ref-b.2.5.3.38b.12.22-ref-b.2.5.3.38b.12.29,182831,182866,ref-sifre-d.156.4.15,ref-sifre-d.156.4.22,1791617,1791663,ref-b.2.5.3.38b.12.22,ref-b.2.5.3.38b.12.29,שנאמר כי לא אותך מאסו כי אותי מאסו ,אותו מגדולתו שנאמר כי אתה הדעת מאסת ואמאסך ,8,8,582,582.0,1945,1945.0,0.6744186046511628,0.75,2,שנאמר כי,6080001511,8,8
ref-sifre-d.156.6.17-ref-sifre-d.156.6.25,ref-b.4.4.2.20b.10.19-ref-b.4.4.2.20b.10.27,183111,183166,ref-sifre-d.156.6.17,ref-sifre-d.156.6.25,6002625,6002680,ref-b.4.4.2.20b.10.19,ref-b.4.4.2.20b.10.27,והיינו גם אנחנו ככל הגוים ושפטנו מלכנו ויצא לפנינו ,והיינו גם אנחנו ככל הגוים ושפטנו מלכנו ויצא לפנינו ,9,9,2555,2555.0,1946,1946.0,0.0,0.0,9,והיינו גם אנחנו ככל הגוים ושפטנו מלכנו ויצא לפנינו,6080001512,9,9
ref-sifre-d.157.5.2-ref-sifre-d.157.6.27,ref-b.3.1.4.48a.4.19-ref-b.3.1.4.48a.4.35,183289,183432,ref-sifre-d.157.5.2,ref-sifre-d.157.6.27,2995588,2995668,ref-b.3.1.4.48a.4.19,ref-b.3.1.4.48a.4.35,ולא אחרים תשים עליך מלך והלא כבר נאמר שום תשים עליך מלך ומה תלמוד לומר תשים עליך מלך שתהא אימתו עליך מכאן אמרו מלך אין רוכבים על סוסו ואין ,ולא עבד אשה אלא עבד שיש לו רשות לרבו עליו קרוי עבד ושאין רשות לרבו עליו אין ,25,15,1199,1199.0,1948,1947.0,0.6834532374100719,0.8695652173913043,2,ולא אין,6080001513,25,15
ref-sifre-d.157.5.2-ref-sifre-d.157.6.25,ref-b.3.5.1.7b.4.2-ref-b.3.5.1.7b.4.14,183289,183421,ref-sifre-d.157.5.2,ref-sifre-d.157.6.25,3921480,3921559,ref-b.3.5.1.7b.4.2,ref-b.3.5.1.7b.4.14,עליה וכו' ורמינהו כדרך שמאיימין עליה שלא תשתה כך מאיימין עליה שתשתה אומרים,עליה וכו' ורמינהו כדרך שמאיימין עליה שלא תשתה כך מאיימין עליה שתשתה אומרים,13,13,1549,1549.0,1947,1947.0,0.0,0.0,13,עליה וכו' ורמינהו כדרך שמאיימין עליה שלא תשתה כך מאיימין עליה שתשתה אומרים,6080001514,13,13
