baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-y,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-y.2.9.4.5.17.156-ref-y.2.9.4.5.17.161,ref-bible.0310.13.15.2-ref-bible.310.13.15.7,1827360,1827398,ref-y.2.9.4.5.17.156,ref-y.2.9.4.5.17.161,1421535,1421571,ref-bible.0310.13.15.2,ref-bible.0310.13.15.7,ההמה ראיתי ביהודה דורכים גיתות בשבת ,ההמה ראיתי ביהודה דרכים גתות בשבת ,6,6,2979,2978.0,1507,1507.0,0.0555555555555555,0.0,4,ההמה ראיתי ביהודה בשבת,7090001311,6,6
ref-y.2.9.4.5.17.194-ref-y.2.9.4.5.17.204,ref-bible.0203.6.18.28-ref-bible.203.6.19.7,1827565,1827616,ref-y.2.9.4.5.17.194,ref-y.2.9.4.5.17.204,528597,528641,ref-bible.0203.6.18.28,ref-bible.0203.6.19.7,בית שמש דכתיב בה ויך באנשי בית שמש כי ראו בארון ,בית השמשי ויך באנשי בית שמש כי ראו בארון ,11,9,1579,1579.0,1508,1508.0,0.1875,0.1428571428571429,8,בית ויך באנשי בית שמש כי ראו בארון,7090001312,11,9
ref-y.2.9.4.5.21.16-ref-y.2.9.4.5.21.20,ref-bible.0208.9.9.19-ref-bible.208.9.9.24,1828024,1828048,ref-y.2.9.4.5.21.16,ref-y.2.9.4.5.21.20,884294,884325,ref-bible.0208.9.9.19,ref-bible.0208.9.9.24,מעוף ועד בהמה נדדו הלכו ,מעוף השמים ועד בהמה נדדו הלכו ,5,6,2137,2137.0,1509,1509.0,0.2,0.1666666666666666,5,מעוף ועד בהמה נדדו הלכו,7090001313,5,6
ref-y.2.9.4.5.21.52-ref-y.2.9.4.5.21.59,ref-bible.0312.12.25.8-ref-bible.312.12.27.1,1828210,1828253,ref-y.2.9.4.5.21.52,ref-y.2.9.4.5.21.59,1483027,1483098,ref-bible.0312.12.25.8,ref-bible.0312.12.27.1,שבע מאות מיני דגים טהורים ושמונה מאות מיני ,ושמונה מאות חלוצי צבא מן בני שמעון גבורי חיל לצבא שבעת אלפים ומאה מן ,8,14,3086,3086.0,1510,1510.0,0.7101449275362319,0.7857142857142857,2,ושמונה מאות,7090001314,8,14
ref-y.2.9.4.5.23.82-ref-y.2.9.4.5.23.86,ref-bible.0301.62.10.8-ref-bible.301.62.10.12,1829025,1829053,ref-y.2.9.4.5.23.82,ref-y.2.9.4.5.23.86,1192900,1192928,ref-bible.0301.62.10.8,ref-bible.0301.62.10.12,במאזנים לעלות המה מהבל יחד ,במאזנים לעלות המה מהבל יחד ,5,5,2553,2551.0,1511,1511.0,0.0,0.0,5,במאזנים לעלות המה מהבל יחד,7090001315,5,5
ref-y.2.9.4.6.2.157-ref-y.2.9.4.6.2.164,ref-bible.0210.2.13.1-ref-bible.210.2.13.8,1829904,1829947,ref-y.2.9.4.6.2.157,ref-y.2.9.4.6.2.164,1081714,1081757,ref-bible.0210.2.13.1,ref-bible.0210.2.13.8,והשבתי כל משושה חגה חדשה ושבתה וכל מועדה ,והשבתי כל משושה חגה חדשה ושבתה וכל מועדה ,8,8,2317,2317.0,1512,1512.0,0.0,0.0,8,והשבתי כל משושה חגה חדשה ושבתה וכל מועדה,7090001316,8,8
ref-y.2.9.4.6.3.121-ref-y.2.9.4.6.3.128,ref-bible.0101.1.22.1-ref-bible.101.1.22.6,1830662,1830706,ref-y.2.9.4.6.3.121,ref-y.2.9.4.6.3.128,1427,1458,ref-bible.0101.1.22.1,ref-bible.0101.1.22.6,ויברך אותם אלהים ויאמר להם אלחים פרו ורבו ,ויברך אתם אלהים לאמר פרו ורבו ,8,6,11,11.0,1513,1513.0,0.3095238095238095,0.25,4,ויברך אלהים פרו ורבו,7090001317,8,6
ref-y.2.9.4.6.3.121-ref-y.2.9.4.6.3.128,ref-bible.0101.1.27.12-ref-bible.101.1.28.8,1830662,1830706,ref-y.2.9.4.6.3.121,ref-y.2.9.4.6.3.128,1880,1931,ref-bible.0101.1.27.12,ref-bible.0101.1.28.8,ויברך אותם אלהים ויאמר להם אלחים פרו ורבו ,ברא אתם ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ,8,10,18,15.0,1514,1513.0,0.2040816326530612,0.2222222222222222,6,ויברך אלהים ויאמר להם פרו ורבו,7090001318,8,10
ref-y.2.9.4.7.1.120-ref-y.2.9.4.7.1.140,ref-bible.0104.36.7.1-ref-bible.104.36.8.5,1832165,1832276,ref-y.2.9.4.7.1.120,ref-y.2.9.4.7.1.140,336775,336878,ref-bible.0104.36.7.1,ref-bible.0104.36.8.5,ולא תסוב נחלה מבני ישראל ממטה למטה אחר כי איש בנחלת אבותיו ידבקו בני ישראל וכתיב וכל בת יורשת נחלה ממטות ,ולא תסב נחלה לבני ישראל ממטה אל מטה כי איש בנחלת מטה אבתיו ידבקו בני ישראל וכל בת ירשת נחלה ממטות ,21,21,1106,1105.0,1516,1515.0,0.1904761904761904,0.1666666666666666,14,ולא נחלה ישראל ממטה כי איש בנחלת ידבקו בני ישראל וכל בת נחלה ממטות,7090001319,21,21
ref-y.2.9.4.7.1.120-ref-y.2.9.4.7.1.132,ref-bible.0104.36.9.1-ref-bible.104.36.9.10,1832165,1832233,ref-y.2.9.4.7.1.120,ref-y.2.9.4.7.1.132,336958,337007,ref-bible.0104.36.9.1,ref-bible.0104.36.9.10,ולא תסוב נחלה מבני ישראל ממטה למטה אחר כי איש בנחלת אבותיו ידבקו ,ולא תסב נחלה ממטה למטה אחר כי איש בנחלתו ידבקו ,13,10,1109,1108.0,1515,1515.0,0.2769230769230769,0.2727272727272727,8,ולא נחלה ממטה למטה אחר כי איש ידבקו,7090001320,13,10
ref-y.2.9.4.7.1.181-ref-y.2.9.4.7.1.186,ref-bible.0101.48.5.14-ref-bible.101.48.5.19,1832499,1832536,ref-y.2.9.4.7.1.181,ref-y.2.9.4.7.1.186,100448,100484,ref-bible.0101.48.5.14,ref-bible.0101.48.5.19,אפרים ומנשה בראובן ושמעון והיו לי ,אפרים ומנשה כראובן ושמעון יהיו לי ,6,6,198,198.0,1517,1517.0,0.0588235294117647,0.0,4,אפרים ומנשה ושמעון לי,7090001321,6,6
ref-y.2.9.4.7.1.190-ref-y.2.9.4.7.1.197,ref-bible.0101.35.11.9-ref-bible.101.35.11.16,1832557,1832601,ref-y.2.9.4.7.1.190,ref-y.2.9.4.7.1.197,69835,69879,ref-bible.0101.35.11.9,ref-bible.0101.35.11.16,גוי וקהל גוים יהיה ממך ומלכים מחלציך יצאו ,גוי וקהל גוים יהיה ממך ומלכים מחלציך יצאו ,8,8,158,158.0,1518,1518.0,0.0,0.0,8,גוי וקהל גוים יהיה ממך ומלכים מחלציך יצאו,7090001322,8,8
ref-y.2.9.4.7.3.3-ref-y.2.9.4.7.3.13,ref-bible.0207.40.25.5-ref-bible.207.40.26.7,1833251,1833298,ref-y.2.9.4.7.3.3,ref-y.2.9.4.7.3.13,830637,830679,ref-bible.0207.40.25.5,ref-bible.0207.40.26.7,אומרות שא נא עיניך בחוד וראה מה את בורר לך אל ,יאמר קדוש שאו מרום עיניכם וראו מי ברא אלה ,11,9,2070,2070.0,1521,1519.0,0.6086956521739131,0.7692307692307692,0,,7090001323,11,9
ref-y.2.9.4.7.3.1-ref-y.2.9.4.7.3.9,ref-bible.0220.5.5.5-ref-bible.0220.5.6.4,1833242,1833284,ref-y.2.9.4.7.3.1,ref-y.2.9.4.7.3.9,1135831,1135896,ref-bible.0220.5.5.5,ref-bible.0220.5.6.4,ויאמר אלי שא נא עיניך וראה מה היוצאת הזאת ואמר מה היא ויאמר,ויאמר אלי שא נא עיניך וראה מה היוצאת הזאת ואמר מה היא ויאמר,13,13,2419,2419.0,1519,1519.0,0.0,0.0,13,ויאמר אלי שא נא עיניך וראה מה היוצאת הזאת ואמר מה היא ויאמר,7090001324,13,13
ref-y.2.9.4.7.3.37-ref-y.2.9.4.7.3.49,ref-bible.0204.13.6.5-ref-bible.204.13.6.16,1833406,1833475,ref-y.2.9.4.7.3.37,ref-y.2.9.4.7.3.49,611872,611937,ref-bible.0204.13.6.5,ref-bible.0204.13.6.16,מלך הכאורות היו אומרות אל תתן עיניך בנוי והנאות היו אומרות תן עיניך ,המלך לראתו ויאמר אמנון אל המלך תבוא נא תמר אחתי ותלבב לעיני ,13,12,1699,1698.0,1522,1522.0,0.5882352941176471,0.9444444444444444,1,אל,7090001325,13,12
ref-y.2.9.4.7.3.54-ref-y.2.9.4.7.3.68,ref-bible.0304.3.11.1-ref-bible.304.3.11.15,1833498,1833583,ref-y.2.9.4.7.3.54,ref-y.2.9.4.7.3.68,1336390,1336473,ref-bible.0304.3.11.1,ref-bible.0304.3.11.15,צאינה וראינה בנות ציון במלך שלמה בעטרה שעיטרה לו אמו ביום חתונתו וביום שמחת לבו ,צאינה וראינה בנות ציון במלך שלמה בעטרה שעטרה לו אמו ביום חתנתו וביום שמחת לבו ,15,15,2857,2857.0,1523,1523.0,0.025,0.0,13,צאינה וראינה בנות ציון במלך שלמה בעטרה לו אמו ביום וביום שמחת לבו,7090001326,15,15
ref-y.2.10.1.1.3.215-ref-y.2.10.1.1.3.221,ref-bible.0201.19.35.1-ref-bible.201.19.35.7,1836740,1836778,ref-y.2.10.1.1.3.215,ref-y.2.10.1.1.3.221,451297,451334,ref-bible.0201.19.35.1,ref-bible.0201.19.35.7,וערי מבצר הצדים צר וחמת רקת וכינרת ,וערי מבצר הצדים צר וחמת רקת וכנרת ,7,7,1487,1487.0,1524,1524.0,0.0285714285714285,0.0,6,וערי מבצר הצדים צר וחמת רקת,7090001327,7,7
ref-y.2.10.1.1.4.16-ref-y.2.10.1.1.4.22,ref-bible.0103.25.29.1-ref-bible.103.25.29.7,1837118,1837149,ref-y.2.10.1.1.4.16,ref-y.2.10.1.1.4.22,244914,244945,ref-bible.0103.25.29.1,ref-bible.0103.25.29.7,ואיש כי ימכר בית מושב עיר חומה ,ואיש כי ימכר בית מושב עיר חומה ,2,2,863,863.0,1525,1525.0,0.0,0.0,7,ואיש כי ימכר בית מושב עיר חומה,7090001328,7,7
ref-y.2.10.1.1.5.19-ref-y.2.10.1.1.5.25,ref-bible.0203.6.19.1-ref-bible.203.6.19.7,1837546,1837579,ref-y.2.10.1.1.5.19,ref-y.2.10.1.1.5.25,528608,528641,ref-bible.0203.6.19.1,ref-bible.0203.6.19.7,ויך באנשי בית שמש כי ראו בארון ,ויך באנשי בית שמש כי ראו בארון ,7,7,1580,1579.0,1526,1526.0,0.0,0.0,7,ויך באנשי בית שמש כי ראו בארון,7090001329,7,7
ref-y.2.10.1.1.6.34-ref-y.2.10.1.1.6.39,ref-bible.0201.19.15.1-ref-bible.201.19.15.6,1837847,1837883,ref-y.2.10.1.1.6.34,ref-y.2.10.1.1.6.39,450180,450218,ref-bible.0201.19.15.1,ref-bible.0201.19.15.6,קטת ונהלל ושומרון ויראלה ובית לחם ,וקטת ונהלל ושמרון וידאלה ובית לחם ,6,6,1485,1485.0,1527,1527.0,0.088235294117647,0.2857142857142857,3,ונהלל ובית לחם,7090001330,6,6
ref-y.2.10.1.1.6.40-ref-y.2.10.1.1.6.55,ref-bible.0201.19.33.3-ref-bible.201.19.33.10,1837884,1837979,ref-y.2.10.1.1.6.40,ref-y.2.10.1.1.6.55,451122,451171,ref-bible.0201.19.33.3,ref-bible.0201.19.33.10,מחלף חלף מאילון איילין כצעננים אגנייא דקדש ואדמי דמין הנקב ציידתה ויבנאל כפר ימה עד לקום ,מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד לקום ,16,8,1486,1486.0,1528,1528.0,0.5056179775280899,0.4285714285714286,6,מחלף ואדמי הנקב ויבנאל עד לקום,7090001331,16,8
ref-y.2.10.1.1.7.44-ref-y.2.10.1.1.7.55,ref-bible.0312.8.12.1-ref-bible.312.8.12.12,1838299,1838361,ref-y.2.10.1.1.7.44,ref-y.2.10.1.1.7.55,1473389,1473449,ref-bible.0312.8.12.1,ref-bible.0312.8.12.12,ובני אלפעל עבר ומשעם ושמר הוא בנה את אונו ואת לוד ובנותיה ,ובני אלפעל עבר ומשעם ושמד הוא בנה את אונו ואת לד ובנתיה ,12,12,3073,3073.0,1529,1529.0,0.0517241379310344,0.1999999999999999,9,ובני אלפעל עבר ומשעם הוא בנה את אונו ואת,7090001332,12,12
ref-y.2.10.1.1.7.72-ref-y.2.10.1.1.7.77,ref-bible.0202.20.48.17-ref-bible.202.20.48.22,1838444,1838475,ref-y.2.10.1.1.7.72,ref-y.2.10.1.1.7.77,514939,514970,ref-bible.0202.20.48.17,ref-bible.0202.20.48.22,גם כל הערים הנמצאות שלחו באש ,גם כל הערים הנמצאות שלחו באש ,6,6,1556,1556.0,1530,1530.0,0.0,0.0,6,גם כל הערים הנמצאות שלחו באש,7090001333,6,6
ref-y.2.10.1.1.9.99-ref-y.2.10.1.1.9.109,ref-bible.0308.9.28.8-ref-bible.308.9.28.16,1839460,1839528,ref-y.2.10.1.1.9.99,ref-y.2.10.1.1.9.109,1371353,1371412,ref-bible.0308.9.28.8,ref-bible.0308.9.28.16,משפחה ומשפחה אילו הכפרים מדינה ומדינה אילו הכרכים עיר ועיר אילו ,משפחה ומשפחה מדינה ומדינה ועיר ועיר וימי הפורים האלה ,11,9,2907,2904.0,1531,1531.0,0.46875,0.4,5,משפחה ומשפחה מדינה ומדינה ועיר,7090001334,11,9
ref-y.2.10.1.1.11.36-ref-y.2.10.1.1.11.41,ref-bible.0308.9.28.8-ref-bible.308.9.28.13,1840097,1840138,ref-y.2.10.1.1.11.36,ref-y.2.10.1.1.11.41,1371353,1371392,ref-bible.0308.9.28.8,ref-bible.0308.9.28.13,משפחה ומשפחה ומדינה ומדינה ועיר ועיר ,משפחה ומשפחה מדינה ומדינה ועיר ועיר ,6,6,2906,2904.0,1532,1532.0,0.027027027027027,0.1999999999999999,5,משפחה ומשפחה ומדינה ועיר ועיר,7090001335,6,6
ref-y.2.10.1.3.3.63-ref-y.2.10.1.4.1.4,ref-bible.0312.24.17.5-ref-bible.312.24.18.6,1842068,1842128,ref-y.2.10.1.3.3.63,ref-y.2.10.1.4.1.4,1503654,1503710,ref-bible.0312.24.17.5,ref-bible.0312.24.18.6,ושנים עשר ושלשה עשר וארבעה עשר וחמשה עשר הלכה ו' תני עשרה ,שנים ועשרים לדליהו שלשה ועשרים למעזיהו ארבעה ועשרים ,12,8,3107,3107.0,1533,1533.0,0.6896551724137931,0.6666666666666667,0,,7090001336,12,8
ref-y.2.10.1.3.3.63-ref-y.2.10.1.4.1.4,ref-bible.0312.25.19.1-ref-bible.312.25.21.2,1842068,1842128,ref-y.2.10.1.3.3.63,ref-y.2.10.1.4.1.4,1505501,1505588,ref-bible.0312.25.19.1,ref-bible.0312.25.21.2,ושנים עשר ושלשה עשר וארבעה עשר וחמשה עשר הלכה ו' תני עשרה ,השנים עשר לחשביה בניו ואחיו שנים עשר לשלשה עשר שובאל בניו ואחיו שנים עשר לארבעה עשר ,12,16,3110,3110.0,1534,1533.0,0.5952380952380952,0.5555555555555556,2,עשר עשר,7090001337,12,16
ref-y.2.10.1.3.3.63-ref-y.2.10.1.4.1.4,ref-bible.0312.25.29.1-ref-bible.312.25.31.2,1842068,1842128,ref-y.2.10.1.3.3.63,ref-y.2.10.1.4.1.4,1505889,1505992,ref-bible.0312.25.29.1,ref-bible.0312.25.31.2,ושנים עשר ושלשה עשר וארבעה עשר וחמשה עשר הלכה ו' תני עשרה ,לשנים ועשרים לגדלתי בניו ואחיו שנים עשר לשלשה ועשרים למחזיאות בניו ואחיו שנים עשר לארבעה ועשרים ,12,16,3111,3111.0,1535,1533.0,0.6666666666666666,0.7,0,,7090001338,12,16
ref-y.2.10.1.4.5.108-ref-y.2.10.1.4.5.115,ref-bible.0101.1.22.1-ref-bible.101.1.22.6,1844377,1844421,ref-y.2.10.1.4.5.108,ref-y.2.10.1.4.5.115,1427,1458,ref-bible.0101.1.22.1,ref-bible.0101.1.22.6,ויברך אותם אלהים ויאמר להם אלהים פרו ורבו ,ויברך אתם אלהים לאמר פרו ורבו ,8,6,12,11.0,1536,1536.0,0.3095238095238095,0.1428571428571429,4,ויברך אלהים פרו ורבו,7090001339,8,6
ref-y.2.10.1.4.5.108-ref-y.2.10.1.4.5.115,ref-bible.0101.1.27.12-ref-bible.101.1.28.8,1844377,1844421,ref-y.2.10.1.4.5.108,ref-y.2.10.1.4.5.115,1880,1931,ref-bible.0101.1.27.12,ref-bible.0101.1.28.8,ויברך אותם אלהים ויאמר להם אלהים פרו ורבו ,ברא אתם ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ,8,10,19,15.0,1537,1536.0,0.1836734693877551,0.125,7,ויברך אלהים ויאמר להם אלהים פרו ורבו,7090001340,8,10
ref-y.2.10.1.4.9.57-ref-y.2.10.1.4.9.63,ref-bible.0202.8.9.5-ref-bible.202.8.9.11,1845862,1845901,ref-y.2.10.1.4.9.57,ref-y.2.10.1.4.9.63,482771,482808,ref-bible.0202.8.9.5,ref-bible.0202.8.9.11,ואמר בשובי בשלום אתוץ את המגדל הזה ,לאמר בשובי בשלום אתץ את המגדל הזה ,7,7,1521,1520.0,1538,1538.0,0.0571428571428571,0.0,5,בשובי בשלום את המגדל הזה,7090001341,7,7
ref-y.2.10.1.5.2.28-ref-y.2.10.1.5.2.39,ref-bible.0313.28.13.1-ref-bible.313.28.13.15,1849444,1849510,ref-y.2.10.1.5.2.28,ref-y.2.10.1.5.2.39,1566619,1566692,ref-bible.0313.28.13.1,ref-bible.0313.28.13.15,אמרו להן לא דיינו הצרות הבאות עלינו אלא שאתם רוצין להוסיף עלינו ,ויאמרו להם לא תביאו את השביה הנה כי לאשמת יהוה עלינו אתם אמרים להסיף על ,12,15,3214,3214.0,1539,1539.0,0.5416666666666666,0.7777777777777778,2,לא עלינו,7090001342,12,15
ref-y.2.10.1.5.2.61-ref-y.2.10.1.5.2.83,ref-bible.0208.36.17.9-ref-bible.208.36.18.15,1849617,1849732,ref-y.2.10.1.5.2.61,ref-y.2.10.1.5.2.83,941364,941466,ref-bible.0208.36.17.9,ref-bible.0208.36.18.15,כתוב בה אמרו להן אם מדבר זה אתם מתייראי' הרי היא כתובה ומעלה בארכיים הלא הם כתובים על ספר דברי הימים למלכי מדי ,כתבת את כל הדברים האלה מפיו ויאמר להם ברוך מפיו יקרא אלי את כל הדברים האלה ואני כתב על הספר בדיו ,23,15,2196,2196.0,1540,1540.0,0.7027027027027027,0.6521739130434783,1,על,7090001343,23,21
ref-y.2.10.1.5.2.107-ref-y.2.10.1.5.2.119,ref-bible.0310.1.7.7-ref-bible.310.1.8.10,1849857,1849920,ref-y.2.10.1.5.2.107,ref-y.2.10.1.5.2.119,1393740,1393832,ref-bible.0310.1.7.7,ref-bible.0310.1.8.10,המצות אשר צוה יי' את משה אילו המצות שנצטוינו מפי משה כך אמר ,המצות ואת החקים ואת המשפטים אשר צוית את משה עבדך זכר נא את הדבר אשר צוית את משה עבדך לאמר ,13,20,2936,2936.0,1541,1541.0,0.6222222222222222,0.6875,5,המצות אשר את משה משה,7090001344,13,20
ref-y.2.10.1.5.2.179-ref-y.2.10.1.5.2.183,ref-bible.0221.3.16.11-ref-bible.221.3.16.15,1850236,1850267,ref-y.2.10.1.5.2.179,ref-y.2.10.1.5.2.183,1151650,1151679,ref-bible.0221.3.16.11,ref-bible.0221.3.16.15,ויכתב ספר הזכרון לפניו ליראי ,ויכתב ספר זכרון לפניו ליראי ,5,5,2455,2455.0,1542,1542.0,0.0344827586206896,0.0,4,ויכתב ספר לפניו ליראי,7090001345,5,5
ref-y.2.10.1.5.2.189-ref-y.2.10.1.5.2.197,ref-bible.0308.9.32.1-ref-bible.308.9.32.8,1850297,1850347,ref-y.2.10.1.5.2.189,ref-y.2.10.1.5.2.197,1371759,1371805,ref-bible.0308.9.32.1,ref-bible.0308.9.32.8,ומאמר אסתר קיים את דברי חפורים האלה ונכתב בספר ,ומאמר אסתר קים דברי הפרים האלה ונכתב בספר ,9,8,2908,2908.0,1543,1543.0,0.1276595744680851,0.3,6,ומאמר אסתר דברי האלה ונכתב בספר,7090001346,9,8
ref-y.2.10.1.5.6.14-ref-y.2.10.1.5.6.22,ref-bible.0308.3.7.17-ref-bible.308.3.7.25,1851157,1851201,ref-y.2.10.1.5.6.14,ref-y.2.10.1.5.6.22,1360531,1360575,ref-bible.0308.3.7.17,ref-bible.0308.3.7.25,מיום ליום ומחדש לחדש שנים עשר הוא חדש אדר ,מיום ליום ומחדש לחדש שנים עשר הוא חדש אדר ,9,9,2888,2888.0,1544,1544.0,0.0,0.0,9,מיום ליום ומחדש לחדש שנים עשר הוא חדש אדר,7090001347,9,9
ref-y.2.10.1.6.4.69-ref-y.2.10.1.6.4.86,ref-bible.0105.25.5.8-ref-bible.105.25.6.1,1855621,1855714,ref-y.2.10.1.6.4.69,ref-y.2.10.1.6.4.86,388659,388746,ref-bible.0105.25.5.8,ref-bible.0105.25.6.1,שבא על הממזרת ואשת אחיו לא יבמתו היא אמר רבי מתניה תיפתר שהיו לאחיו בני' ואירס אשה ומת ,ובן אין לו לא תהיה אשת המת החוצה לאיש זר יבמה יבא עליה ולקחה לו לאשה ויבמה והיה ,18,12,1363,1362.0,1545,1545.0,0.7241379310344828,0.7894736842105263,1,לא,7090001348,18,18
ref-y.2.10.1.8.3.221-ref-y.2.10.1.8.3.228,ref-bible.0103.13.46.1-ref-bible.103.13.46.7,1858519,1858555,ref-y.2.10.1.8.3.221,ref-y.2.10.1.8.3.228,217113,217141,ref-bible.0103.13.46.1,ref-bible.0103.13.46.7,כל ימי אשר הנגע בו יטמא את שטומאתו ,כל ימי אשר הנגע בו יטמא טמא ,8,7,627,627.0,1546,1546.0,0.2,0.2857142857142857,6,כל ימי אשר הנגע בו יטמא,7090001349,8,7
ref-y.2.10.1.8.3.223-ref-y.2.10.1.8.3.230,ref-bible.0104.19.22.2-ref-bible.104.19.22.8,1858526,1858568,ref-y.2.10.1.8.3.223,ref-y.2.10.1.8.3.230,299601,299636,ref-bible.0104.19.22.2,ref-bible.0104.19.22.8,אשר הנגע בו יטמא את שטומאתו תלויה בנגעו ,אשר יגע בו הטמא יטמא והנפש הנגעת ,8,2,1012,1012.0,1547,1546.0,0.425,0.7777777777777778,3,אשר בו יטמא,7090001350,8,7
ref-y.2.10.1.8.3.267-ref-y.2.10.1.8.3.284,ref-bible.0101.11.1.1-ref-bible.0101.11.2.1,1858770,1858858,ref-y.2.10.1.8.3.267,ref-y.2.10.1.8.3.284,17375,17417,ref-bible.0101.11.1.1,ref-bible.0101.11.2.1,כל הארץ שפה אחת ודברים אחדים ויהי כל הארץ שפה אחת ודברים אחדים ויהי,ויהי כל הארץ שפה אחת ודברים אחדים ויהי,14,8,64,64.0,1548,1548.0,0.4328358208955223,0.0,8,ויהי כל הארץ שפה אחת ודברים אחדים ויהי,7090001351,14,8
ref-y.2.10.1.8.3.301-ref-y.2.10.1.8.3.306,ref-bible.0101.9.27.1-ref-bible.101.9.27.6,1858951,1858983,ref-y.2.10.1.8.3.301,ref-y.2.10.1.8.3.306,15687,15719,ref-bible.0101.9.27.1,ref-bible.0101.9.27.6,יפת אלהים ליפת וישכן באהלי שם ,יפת אלהים ליפת וישכן באהלי שם ,6,6,60,60.0,1550,1550.0,0.0,0.0,6,יפת אלהים ליפת וישכן באהלי שם,7090001352,6,6
ref-y.2.10.1.8.3.315-ref-y.2.10.1.8.3.356,ref-bible.0101.10.2.1-ref-bible.0101.10.4.6,1859026,1859276,ref-y.2.10.1.8.3.315,ref-y.2.10.1.8.3.356,15891,16008,ref-bible.0101.10.2.1,ref-bible.0101.10.4.6,בני יפת גמר ומגוג ומדי ויון ותבל ומשך ותירס ובני גמר,בני יפת גמר ומגוג ומדי ויון ותבל ומשך ותירס ובני גמר,11,11,61,61.0,1553,1553.0,0.0,0.0,11,בני יפת גמר ומגוג ומדי ויון ותבל ומשך ותירס ובני גמר,7090001353,11,11
ref-y.2.10.1.8.3.314-ref-y.2.10.1.8.3.354,ref-bible.0312.1.4.2-ref-bible.0312.1.7.4,1859023,1859262,ref-y.2.10.1.8.3.314,ref-y.2.10.1.8.3.354,1455876,1455994,ref-bible.0312.1.4.2,ref-bible.0312.1.7.4,שם חם ויפת בני יפת גמר ומגוג ומדי ויון ותבל ומשך ותירס ובני גמר,שם חם ויפת בני יפת גמר ומגוג ומדי ויון ותבל ומשך ותירס ובני גמר,14,14,3019,3019.0,1551,1551.0,0.0,0.0,14,שם חם ויפת בני יפת גמר ומגוג ומדי ויון ותבל ומשך ותירס ובני גמר,7090001354,14,14
ref-y.2.10.1.9.2.92-ref-y.2.10.1.9.2.97,ref-bible.0309.4.7.15-ref-bible.309.4.7.20,1859860,1859900,ref-y.2.10.1.9.2.92,ref-y.2.10.1.9.2.97,1378138,1378176,ref-bible.0309.4.7.15,ref-bible.0309.4.7.20,וכתב הנשתוון כתוב ארמית ומתורגם ארמית ,וכתב הנשתון כתוב ארמית ומתרגם ארמית ,6,6,2919,2919.0,1557,1557.0,0.0526315789473684,0.0,4,וכתב כתוב ארמית ארמית,7090001355,6,6
ref-y.2.10.1.9.13.33-ref-y.2.10.1.9.13.41,ref-bible.0101.1.27.1-ref-bible.101.1.27.12,1867238,1867290,ref-y.2.10.1.9.13.33,ref-y.2.10.1.9.13.41,1820,1883,ref-bible.0101.1.27.1,ref-bible.0101.1.27.12,ברא בראשית אעשה אדם בצלם ובדמות זכר ונקוביו בראם ,ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא ,9,12,17,15.0,1558,1558.0,0.5254237288135594,0.5833333333333333,2,בצלם זכר,7090001356,9,12
ref-y.2.10.1.9.13.52-ref-y.2.10.1.9.13.57,ref-bible.0101.49.6.9-ref-bible.101.49.6.14,1867353,1867384,ref-y.2.10.1.9.13.52,ref-y.2.10.1.9.13.57,102175,102205,ref-bible.0101.49.6.9,ref-bible.0101.49.6.14,כי באפם הרגו שור וברצונם עקרו ,כי באפם הרגו איש וברצנם עקרו ,6,6,203,203.0,1559,1559.0,0.1333333333333333,0.3333333333333333,4,כי באפם הרגו עקרו,7090001357,6,6
ref-y.2.10.1.9.13.62-ref-y.2.10.1.9.13.76,ref-bible.0102.4.19.7-ref-bible.102.4.20.10,1867404,1867484,ref-y.2.10.1.9.13.62,ref-y.2.10.1.9.13.76,112239,112333,ref-bible.0102.4.19.7,ref-bible.0102.4.20.10,אשתו ואת בניו וירכיבם על נושאי בני אדם ומושב בני ישראל אשר ישבו במצרים ובכל ,שב מצרים כי מתו כל האנשים המבקשים את נפשך ויקח משה את אשתו ואת בניו וירכבם על החמר וישב ,15,19,217,217.0,1560,1560.0,0.75,0.7,4,אשתו ואת בניו על,7090001358,15,19
ref-y.2.10.1.9.13.73-ref-y.2.10.1.9.13.82,ref-bible.0206.17.5.3-ref-bible.206.17.6.1,1867462,1867518,ref-y.2.10.1.9.13.73,ref-y.2.10.1.9.13.82,753334,753387,ref-bible.0206.17.5.3,ref-bible.0206.17.6.1,אשר ישבו במצרים ובכל הארצות שלשים שנה וארבע מאות שנה ,אשור בכל הארץ ויעל שמרון ויצר עליה שלש שנים בשנת ,10,10,1949,1949.0,1561,1560.0,0.660377358490566,0.9411764705882352,0,,7090001359,10,10
