,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-sifre-d,dam-lev,jac,id
870,1158,ref-y.1.10.3.7.6.60-ref-y.1.10.3.7.6.76,ref-sifre-d.111.6.9-ref-sifre-d.111.6.24,850085,850190,127556,127572,ref-y.1.10.3.7.6.60,ref-y.1.10.3.7.6.76,150847,150942,25298,25313,ref-sifre-d.111.6.9,ref-sifre-d.111.6.24,"שאין תלויין בארץ ונוהגין בארץ ובחוצה לארץ אף כלאי זרעים אע""פ שהן תלויין בארץ נוהגין בארץ ובחוצה ",ובחוצה לארץ מדבר שנוהג בארץ ובחוצה לארץ ואל יוכיח השמטה השמטת קרקע שאין נוהג אלא בארץ ,16,15,532.0,1156.0,0.5625,0.7058823529411764,4080000871
871,1159,ref-y.2.8.1.1.15.402-ref-y.2.8.1.1.15.413,ref-sifre-d.111.7.2-ref-sifre-d.111.7.12,1645446,1645510,245238,245249,ref-y.2.8.1.1.15.402,ref-y.2.8.1.1.15.413,150947,151007,25315,25324,ref-sifre-d.111.7.2,ref-sifre-d.111.7.12,לשמיטים מניין מקץ שבע שנים תעשה שמיטה מה שנים מתשרי אף שמיטים,שבע שנים תעשה שמיטה לגזירה שוה מה שבע שנים האמורים,12,10,1045.0,1159.0,0.6229508196721312,0.6363636363636364,4080000872
872,1161,ref-y.3.6.4.3.3.117-ref-y.3.6.4.3.3.130,ref-sifre-d.111.9.4-ref-sifre-d.111.10.3,2647741,2647824,396806,396819,ref-y.3.6.4.3.3.117,ref-y.3.6.4.3.3.130,151240,151296,25363,25372,ref-sifre-d.111.9.4,ref-sifre-d.111.10.3,השמיטה שמוט רבי אומר שני שמיטין שמיטה ויובל בשעה שהיובל נוהג השמיטה נוהגת מדברי,"השמטת כספים נוהגת במדבר ת""ל תעשה שמיטה שמוט או לא",14,10,1993.0,1161.0,0.6708860759493671,0.8666666666666667,4080000873
873,1163,ref-y.3.6.4.3.3.52-ref-y.3.6.4.3.3.72,ref-sifre-d.111.9.4-ref-sifre-d.111.10.12,2647369,2647486,396761,396775,ref-y.3.6.4.3.3.52,ref-y.3.6.4.3.3.72,151240,151344,25363,25380,ref-sifre-d.111.9.4,ref-sifre-d.111.10.12,דבר השמיטה שמוט בשעה שהשמיטה נוהגת בארץ מדבר תורה השמט כספים נוהג בין בארץ בין,"השמטת כספים נוהגת במדבר ת""ל תעשה שמיטה שמוט או לא אמרתי אלא בארץ ישראל שאתה עושה שמיטה אתה",15,18,1990.0,1161.0,0.7444444444444445,0.7894736842105263,4080000874
874,1165,ref-y.3.6.4.3.3.47-ref-y.3.6.4.3.3.61,ref-sifre-d.111.11.10-ref-sifre-d.112.1.11,2647347,2647426,396757,396770,ref-y.3.6.4.3.3.47,ref-y.3.6.4.3.3.61,151431,151496,25395,25406,ref-sifre-d.111.11.10,ref-sifre-d.112.1.11,חזר רבי יוסי ואמר זה דבר השמיטה שמוט בשעה שהשמיטה נוהגת בארץ מדבר תורה השמט ,לארץ וזה דבר השמיטה מכאן אמרו המחזיר חוב בשביעית יאמר לו משמט ,13,11,1990.0,1165.0,0.5921052631578947,0.6875,4080000875
875,1166,ref-y.1.5.10.2.2.89-ref-y.1.5.10.2.2.100,ref-sifre-d.112.1.1-ref-sifre-d.112.2.7,523731,523800,80180,80191,ref-y.1.5.10.2.2.89,ref-y.1.5.10.2.2.100,151437,151546,25396,25415,ref-sifre-d.112.1.1,ref-sifre-d.112.2.7,בשמיטה שהיא מדבריהן דתני וזה דבר השמיטה שמוט רבי אומ' שני שמיטין,וזה דבר השמיטה מכאן אמרו המחזיר חוב בשביעית יאמר לו משמט אני במתנה וזה דבר השמיטה מכאן אמרו שביעית משמטת,12,20,329.0,1165.0,0.6634615384615384,0.8235294117647058,4080000876
876,1167,ref-y.3.6.4.3.3.112-ref-y.3.6.4.3.3.122,ref-sifre-d.112.1.1-ref-sifre-d.112.2.7,2647709,2647772,396801,396811,ref-y.3.6.4.3.3.112,ref-y.3.6.4.3.3.122,151437,151546,25396,25415,ref-sifre-d.112.1.1,ref-sifre-d.112.2.7,בשמיטה שהיא מדבריהן וזה דבר השמיטה שמוט רבי אומר שני שמיטין,וזה דבר השמיטה מכאן אמרו המחזיר חוב בשביעית יאמר לו משמט אני במתנה וזה דבר השמיטה מכאן אמרו שביעית משמטת,11,20,1993.0,1165.0,0.6730769230769231,0.7333333333333334,4080000877
877,1170,ref-y.4.5.1.2.2.8-ref-y.4.5.1.2.2.18,ref-sifre-d.112.2.3-ref-sifre-d.112.3.4,3318330,3318391,499961,499967,ref-y.4.5.1.2.2.8,ref-y.4.5.1.2.2.18,151517,151593,25411,25422,ref-sifre-d.112.2.3,ref-sifre-d.112.3.4,המלוה את חבירו על מנת שלא תשמיטינו שמיטה אין השביעית משמטתו ,השמיטה מכאן אמרו שביעית משמטת מלוה ואין יובל משמט מלוה שהיה בדין ומה שמיטה ,6,11,2715.0,1165.0,0.6266666666666667,0.8235294117647058,4080000878
878,1171,ref-y.3.6.4.3.3.112-ref-y.3.6.4.3.3.124,ref-sifre-d.112.3.15-ref-sifre-d.112.3.25,2647709,2647785,396801,396813,ref-y.3.6.4.3.3.112,ref-y.3.6.4.3.3.124,151656,151715,25432,25442,ref-sifre-d.112.3.15,ref-sifre-d.112.3.25,בשמיטה שהיא מדבריהן וזה דבר השמיטה שמוט רבי אומר שני שמיטין שמיטה ויובל ,"שישמט מלוה ת""ל וזה דבר השמיטה שמיטה משמטת מלוה ואין יובל ",12,10,1993.0,1171.0,0.5138888888888888,0.6923076923076923,4080000879
879,1172,ref-y.1.5.10.2.2.93-ref-y.1.5.10.2.2.103,ref-sifre-d.112.3.18-ref-sifre-d.112.3.25,523760,523818,80184,80194,ref-y.1.5.10.2.2.93,ref-y.1.5.10.2.2.103,151672,151715,25435,25442,ref-sifre-d.112.3.18,ref-sifre-d.112.3.25,וזה דבר השמיטה שמוט רבי אומ' שני שמיטין הללו שמיטה ויובל ,וזה דבר השמיטה שמיטה משמטת מלוה ואין יובל ,10,7,329.0,1171.0,0.42105263157894735,0.6,4080000880
880,1173,ref-y.1.5.10.1.18.31-ref-y.1.5.10.1.18.45,ref-sifre-d.113.2.16-ref-sifre-d.113.3.4,523003,523077,80084,80095,ref-y.1.5.10.1.18.31,ref-y.1.5.10.1.18.45,152395,152448,25561,25570,ref-sifre-d.113.2.16,ref-sifre-d.113.3.4,המלוה על המשכון שמואל אמר אפילו על המחט ואשר יהיה לך את אחיך תשמט ידיך ,המלוה על המשכון אין שביעית משמטת ואת אחיך תשמט ידך ,11,9,327.0,1173.0,0.43661971830985913,0.5333333333333333,4080000881
881,1174,ref-y.1.5.9.6.6.33-ref-y.1.5.10.1.1.14,ref-sifre-d.113.2.16-ref-sifre-d.113.3.7,518297,518398,79400,79415,ref-y.1.5.9.6.6.33,ref-y.1.5.10.1.1.14,152395,152468,25561,25573,ref-sifre-d.113.2.16,ref-sifre-d.113.3.7,עלך הפיגם והריבוזין השביעית משמטת כו' ניחא שלא בשטר בשטר ויעשה כמלוה על המשכון ולא יהא,המלוה על המשכון אין שביעית משמטת ואת אחיך תשמט ידך ולא המוסר שטרותיו,16,13,325.0,1173.0,0.627906976744186,0.7,4080000882
882,1176,ref-y.1.5.10.1.18.56-ref-y.1.5.10.1.18.62,ref-sifre-d.113.3.2-ref-sifre-d.113.3.8,523124,523168,80105,80111,ref-y.1.5.10.1.18.56,ref-y.1.5.10.1.18.62,152435,152478,25568,25574,ref-sifre-d.113.3.2,ref-sifre-d.113.3.8,אחיך תשמט ידיך ולא המוסר שטרותיו לבית דין ,אחיך תשמט ידך ולא המוסר שטרותיו לבית דין ,6,6,328.0,1173.0,0.023809523809523808,0.0,4080000883
883,1177,ref-y.3.1.11.2.5.2-ref-y.3.1.11.2.5.36,ref-sifre-d.116.5.1-ref-sifre-d.116.6.1,2188884,2189060,327136,327159,ref-y.3.1.11.2.5.2,ref-y.3.1.11.2.5.36,153549,153640,25752,25767,ref-sifre-d.116.5.1,ref-sifre-d.116.6.1,אחותו בין מאב בין מאם יוציא דברי רבי מאיר רבי יודה אומר אחותו מאם יוציא אחותו מאב יקיים אחות אמו יוציא אחות אביו יקיים,אחיך זה אחיך מאביך מאמך כשהוא אומר מאחד אחיך מלמד שאחיך מאביך קודם לאחיך מאמך באחת,24,16,1550.0,1177.0,0.652542372881356,0.9,4080000884
884,1178,ref-y.3.1.11.2.3.38-ref-y.3.1.11.2.3.71,ref-sifre-d.116.5.1-ref-sifre-d.116.6.1,2188630,2188795,327097,327121,ref-y.3.1.11.2.3.38,ref-y.3.1.11.2.3.71,153549,153640,25752,25767,ref-sifre-d.116.5.1,ref-sifre-d.116.6.1,אחותו בין מאב בין מאם יוציא דברי רבי מאיר ר' יודה או' אחותו מאם יוציא מאב יקיים אחות אמו יוציא אחות אביו יקיים דברי ר' מאיר ר' יודה או' אחות אמו מאמה יוציא אחות ,אחיך זה אחיך מאביך מאמך כשהוא אומר מאחד אחיך מלמד שאחיך מאביך קודם לאחיך מאמך באחת ,24,15,1547.0,1177.0,0.6894409937888198,0.9545454545454546,4080000885
885,1180,ref-y.4.4.3.6.1.12-ref-y.4.4.3.6.2.14,ref-sifre-d.116.5.3-ref-sifre-d.116.6.1,3184856,3184960,478943,478963,ref-y.4.4.3.6.1.12,ref-y.4.4.3.6.2.14,153557,153640,25754,25767,ref-sifre-d.116.5.3,ref-sifre-d.116.6.1,אחי אביו לומר בנו וחתנו של חתן אחי אביו מכיון דתנינן אחי אביו מה צורכה למיתני אחי אמו לומר בנו וחתנו,אחיך מאביך מאמך כשהוא אומר מאחד אחיך מלמד שאחיך מאביך קודם לאחיך מאמך באחת,21,14,2422.0,1177.0,0.63,0.95,4080000886
886,1182,ref-y.4.5.1.8.1.28-ref-y.4.5.1.8.1.42,ref-sifre-d.116.6.3-ref-sifre-d.116.6.11,3322606,3322696,500561,500574,ref-y.4.5.1.8.1.28,ref-y.4.5.1.8.1.42,153647,153699,25769,25777,ref-sifre-d.116.6.3,ref-sifre-d.116.6.11,שעריך בערי ארץ ישראל אלא שבערי ישראל מושיבין דיינים בכל עיר ועיר ובחוצה לארץ מושיבין ,שעריך יושבי עריך עירך קודמים ליושבי עיר אחרת בארצך ,13,8,2720.0,1182.0,0.6470588235294118,0.7857142857142857,4080000887
887,1183,ref-y.2.10.1.9.9.42-ref-y.2.10.1.9.9.49,ref-sifre-d.116.12.8-ref-sifre-d.116.13.9,1863900,1863948,278121,278128,ref-y.2.10.1.9.9.42,ref-y.2.10.1.9.9.49,154111,154174,25843,25853,ref-sifre-d.116.12.8,ref-sifre-d.116.13.9,פתוחה מראשה סתומה פתוחה מסופה פתוחה פתוחה מיכן,סופך ליטול הימנו ומנין שאם פתחת פעם אחת אתה פותח שסופך,8,11,1136.0,1183.0,0.7592592592592593,0.9285714285714286,4080000888
888,1185,ref-y.4.3.8.2.6.20-ref-y.4.3.8.2.6.26,ref-sifre-d.116.14.9-ref-sifre-d.116.14.17,3110683,3110718,467537,467543,ref-y.4.3.8.2.6.20,ref-y.4.3.8.2.6.26,154265,154314,25870,25878,ref-sifre-d.116.14.9,ref-sifre-d.116.14.17,שנתנה להן לשום מתנה חזר ונתנה להן ,נותנים לו לשם הלואה וחוזרים ונותנים לו לשם מתנה ,6,8,2309.0,1185.0,0.5833333333333334,0.4285714285714286,4080000889
889,1186,ref-y.1.2.8.7.3.2-ref-y.1.2.8.7.3.26,ref-sifre-d.116.17.8-ref-sifre-d.116.18.12,289460,289597,45082,45106,ref-y.1.2.8.7.3.2,ref-y.1.2.8.7.3.26,154618,154772,25926,25953,ref-sifre-d.116.17.8,ref-sifre-d.116.18.12,מעשה בהלל הזקן שלקח לעני בן טובים סוס אחד להתעמל בו ועבד לשמשו שוב מעשה באנשי הגליל שהיו מעלין לזקן אחד ליטרא בשר צפרים בכל יום ,ומעשה בהלל הזקן שנתן לעני בן טובים סוס אחד שהיה מתעמל בו ועבד אחד שהוא משמשו שוב מעשה בגליל העליון שהיו מעלים לאדם ליטרא בשר של ציפור בכל יום ,24,27,229.0,1186.0,0.28169014084507044,0.2592592592592593,4080000890
890,1187,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,14071,14133,2226,2238,ref-y.1.1.1.1.35.93,ref-y.1.1.1.1.35.105,154983,155034,25987,25997,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ",12,10,1.0,1187.0,0.3442622950819672,0.5,4080000891
891,1188,ref-y.1.2.3.6.1.7-ref-y.1.2.3.6.1.31,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,242024,242138,38023,38045,ref-y.1.2.3.6.1.7,ref-y.1.2.3.6.1.31,154983,155034,25987,25997,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,נאמר כאן שדך ונאמר בכלאי' שדך מה שדך שנ' להלן בית רובע אף כאן בית רובע מה טעמ' דר' יהושע נאמר כאן שדך ונאמ' להלן ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ",22,10,173.0,1187.0,0.7079646017699115,0.6875,4080000892
892,1189,ref-y.2.4.6.4.4.5-ref-y.2.4.6.4.4.18,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,1561422,1561492,232775,232788,ref-y.2.4.6.4.4.5,ref-y.2.4.6.4.4.18,154983,155034,25987,25997,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,נאמר כאן אזכרה ונאמר להלן אזכרה מה אזכרה האמורה להלן מלא קומץ אף כאן ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ",13,10,891.0,1187.0,0.4492753623188406,0.5,4080000893
893,1190,ref-y.2.10.4.4.5.69-ref-y.2.10.4.4.5.81,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,1913238,1913298,285795,285805,ref-y.2.10.4.4.5.69,ref-y.2.10.4.4.5.81,154983,155034,25987,25997,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,נאמר כאן בני ישראל ונאמר להלן בני ישראל מה להלן עשר' אף כאן ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ",10,10,1172.0,1187.0,0.25,0.4444444444444444,4080000894
894,1191,ref-y.2.12.1.2.2.113-ref-y.2.12.1.2.2.125,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,1928666,1928730,288237,288249,ref-y.2.12.1.2.2.113,ref-y.2.12.1.2.2.125,154983,155034,25987,25997,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף כאן ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ",12,10,1215.0,1187.0,0.4126984126984127,0.4444444444444444,4080000895
895,1192,ref-y.2.12.1.3.1.51-ref-y.2.12.1.3.1.96,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,1930736,1930956,288522,288563,ref-y.2.12.1.3.1.51,ref-y.2.12.1.3.1.96,154983,155034,25987,25997,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,"נאמ' כאן מסת ונאמ' להלן כי לא תוכל שאתו מה שאתו האמו' להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר להלן שמחה מה להלן מעשר אף כאן מעשר ויביא כולם מן המעשר עולא בר ישמעאל אמר נאמר כאן","נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן",42,11,1257.0,1187.0,0.786096256684492,0.782608695652174,4080000896
896,1195,ref-y.3.1.6.3.1.34-ref-y.3.1.6.3.1.51,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,2123162,2123246,317650,317664,ref-y.3.1.6.3.1.34,ref-y.3.1.6.3.1.51,154983,155034,25987,25997,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,נאמר כאן חוייה ונאמר להלן ובת כהן כי תהיה לאיש זר מה הוייה שנ' להלן נישואין אף כאן ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ",14,10,1502.0,1187.0,0.4939759036144578,0.6153846153846154,4080000897
897,1196,ref-y.3.1.12.6.7.63-ref-y.3.1.12.6.7.77,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,2206411,2206483,329792,329806,ref-y.3.1.12.6.7.63,ref-y.3.1.12.6.7.77,154983,155034,25987,25997,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,נאמר כאן קרייה ונאמר להלן ויקרא בהם שמי מה קרייה שנאמר להלן שבח אף כאן ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ",14,10,1588.0,1187.0,0.43661971830985913,0.5833333333333333,4080000898
898,1197,ref-y.3.2.4.4.6.91-ref-y.3.2.4.4.6.103,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,2418731,2418790,362123,362135,ref-y.3.2.4.4.6.91,ref-y.3.2.4.4.6.103,154983,155034,25987,25997,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,נאמר כאן שומה ונאמר להלן שומה מה שומה שנ' להלן ממון אף כאן ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ",12,10,1918.0,1187.0,0.3728813559322034,0.5,4080000899
899,1198,ref-y.3.7.1.7.18.128-ref-y.3.7.1.7.18.140,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,2879134,2879199,431636,431648,ref-y.3.7.1.7.18.128,ref-y.3.7.1.7.18.140,154983,155034,25987,25997,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,נאמר כאן קרחה ונאמר להלן קרחה מה קדחה האמורה להלן כגרים אף כאן ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ",12,10,2120.0,1187.0,0.4126984126984127,0.5,4080000900
900,1199,ref-y.4.5.2.1.2.56-ref-y.4.5.2.1.2.70,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,3323464,3323537,500689,500703,ref-y.4.5.2.1.2.56,ref-y.4.5.2.1.2.70,154983,155034,25987,25997,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,נאמר כאן נשילה ונאמר להלן כי ישל זיתיך מה נשילה שנאמר להלן נשירה אף כאן ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ",14,10,2724.0,1187.0,0.4305555555555556,0.5454545454545454,4080000901
901,1200,ref-y.4.4.3.9.5.9-ref-y.4.4.3.9.5.25,ref-sifre-d.117.3.29-ref-sifre-d.117.4.2,3187797,3187867,479402,479416,ref-y.4.4.3.9.5.9,ref-y.4.4.3.9.5.25,154983,155047,25987,26000,ref-sifre-d.117.3.29,ref-sifre-d.117.4.2,נאמר כאן שני ונאמר להלן שני מה להלן על פי שני' עדי' אף כאן על פי שני' ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ע""ז קרבה שנת ",14,13,2431.0,1187.0,0.42857142857142855,0.6153846153846154,4080000902
902,1201,ref-y.4.6.4.1.6.11-ref-y.4.6.4.1.6.36,ref-sifre-d.117.3.29-ref-sifre-d.117.4.2,3368298,3368404,507438,507451,ref-y.4.6.4.1.6.11,ref-y.4.6.4.1.6.36,154983,155047,25987,26000,ref-sifre-d.117.3.29,ref-sifre-d.117.4.2,נאמר כאן שני ונאמר להלן על פי שנים עדים מה להלן על פי שנים עדים אף כאן על פי שנים עדים אם כן למה נאמר שני ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ע""ז קרבה שנת ",13,13,2818.0,1187.0,0.5471698113207547,0.6153846153846154,4080000903
903,1202,ref-y.1.8.5.3.2.120-ref-y.1.8.5.3.2.133,ref-sifre-d.117.3.36-ref-sifre-d.117.4.5,747756,747829,112804,112817,ref-y.1.8.5.3.2.120,ref-y.1.8.5.3.2.133,155019,155063,25994,26003,ref-sifre-d.117.3.36,ref-sifre-d.117.4.5,שבע שני' במועד שנת השמיטה בחג הסוכו' מה מקץ שנאמר להלן במועד אף כאן ,"להלן ע""ז אף כאן ע""ז קרבה שנת השבע שנת השמטה ",13,9,447.0,1187.0,0.7941176470588235,0.5714285714285714,4080000904
904,1203,ref-y.2.5.8.4.1.39-ref-y.2.5.8.4.1.50,ref-sifre-d.117.5.5-ref-sifre-d.117.5.21,1485597,1485663,221230,221241,ref-y.2.5.8.4.1.39,ref-y.2.5.8.4.1.50,155188,155264,26020,26034,ref-sifre-d.117.5.5,ref-sifre-d.117.5.21,וקרוי עלוי מבטן אמי אלי אתה אמרין לתיניינא ולא שדך וקרון עלוי ,ולא תתן לו וקרא עליך אל ה' יכול מצוה לקרות תלמוד לומר לא יקרא עליך יכול אם ,11,14,844.0,1203.0,0.7066666666666667,0.75,4080000905
905,1204,ref-y.3.1.5.1.8.38-ref-y.3.1.5.1.8.52,ref-sifre-d.117.8.8-ref-sifre-d.117.8.36,2115629,2115703,316534,316548,ref-y.3.1.5.1.8.38,ref-y.3.1.5.1.8.52,155560,155700,26090,26116,ref-sifre-d.117.8.8,ref-sifre-d.117.8.36,מאמר אחר מאמר ביבמה אחת היך עבידא עשה מאמר ביבמתו ונתן לה גט ועשה מאמר ,ונתן נותנים לו שכר אמירה ושכר מעשה אמר ליתן ולא הספיק בידו ליתן נותנים לו שכר אמירה כשכר מעשה לא אמר ליתן אבל אמר לאחרים תנו או לא אמר ,14,26,1500.0,1204.0,0.7185185185185186,0.75,4080000906
906,1205,ref-y.1.6.6.1.9.77-ref-y.1.6.6.1.9.102,ref-sifre-d.117.8.16-ref-sifre-d.117.8.36,585507,585638,89102,89121,ref-y.1.6.6.1.9.77,ref-y.1.6.6.1.9.102,155601,155700,26098,26116,ref-sifre-d.117.8.16,ref-sifre-d.117.8.36,אמרין בשם רבי יוחנן ולית אתון אמרין מהן אמר ר' יוחנן יצא ידי גזילו ולית אתון אמרין מהו כדון ונתן,ליתן ולא הספיק בידו ליתן נותנים לו שכר אמירה כשכר מעשה לא אמר ליתן אבל אמר לאחרים תנו או,20,19,340.0,1204.0,0.71875,0.8421052631578947,4080000907
907,1207,ref-y.3.6.5.9.5.55-ref-y.3.6.5.9.5.65,ref-sifre-d.117.8.20-ref-sifre-d.117.8.41,2674863,2674920,400793,400801,ref-y.3.6.5.9.5.55,ref-y.3.6.5.9.5.65,155623,155726,26102,26120,ref-sifre-d.117.8.20,ref-sifre-d.117.8.41,לאחרים הכל מודין שאין מתנתו מתנה שנאמר בי יתן איש מתנת ,ליתן נותנים לו שכר אמירה כשכר מעשה לא אמר ליתן אבל אמר לאחרים תנו או לא אמר ליתן ולא אמר לאחרים תנו ,8,18,2003.0,1204.0,0.71,0.8333333333333334,4080000908
908,1208,ref-y.4.3.8.2.6.17-ref-y.4.3.8.2.6.26,ref-sifre-d.117.8.20-ref-sifre-d.117.8.44,3110669,3110718,467534,467543,ref-y.4.3.8.2.6.17,ref-y.4.3.8.2.6.26,155623,155736,26102,26123,ref-sifre-d.117.8.20,ref-sifre-d.117.8.44,מתנה אלא מאחר שנתנה להן לשום מתנה חזר ונתנה להן ,ליתן נותנים לו שכר אמירה כשכר מעשה לא אמר ליתן אבל אמר לאחרים תנו או לא אמר ליתן ולא אמר לאחרים תנו אבל נח לו ,9,21,2309.0,1204.0,0.7545454545454545,0.7692307692307692,4080000909
909,1209,ref-y.3.2.6.7.2.7-ref-y.3.2.6.7.2.19,ref-sifre-d.118.3.9-ref-sifre-d.118.3.18,2454352,2454414,367419,367431,ref-y.3.2.6.7.2.7,ref-y.3.2.6.7.2.19,156145,156188,26187,26196,ref-sifre-d.118.3.9,ref-sifre-d.118.3.18,ראויין ליטול סלע נותנין להן סלע אל תתנו להן אלא שקל נותנין להן ,הראוי לתת לו פת נותנים לו פת הראוי לתת לו ,12,9,1944.0,1209.0,0.6031746031746031,0.8,4080000910
910,1210,ref-y.1.2.8.3.1.8-ref-y.1.2.8.3.1.18,ref-sifre-d.118.3.10-ref-sifre-d.118.3.20,285190,285243,44393,44403,ref-y.1.2.8.3.1.8,ref-y.1.2.8.3.1.18,156152,156199,26188,26198,ref-sifre-d.118.3.10,ref-sifre-d.118.3.20,ניתן לי ועשיתי אותן קמח חטים ניתן לי ועשיתי אותן פת ,לתת לו פת נותנים לו פת הראוי לתת לו עסה נותנים ,10,10,223.0,1209.0,0.6923076923076923,0.75,4080000911
911,1211,ref-y.1.3.6.2.8.53-ref-y.1.3.6.2.8.80,ref-sifre-d.118.4.7-ref-sifre-d.118.4.27,352011,352155,54566,54593,ref-y.1.3.6.2.8.53,ref-y.1.3.6.2.8.80,156313,156408,26222,26242,ref-sifre-d.118.4.7,ref-sifre-d.118.4.27,אלא מוכר לו שדה ומשייר לו מעשרותיה מוכר לו שפחה ומשייר לו וולדה מוכר לו בהמה ומשייר לו עוברה מוכר לו חורבה ומשייר לה אוירה והיך איפשר לאדם ,"לא תהא קונה אלא עבד עברי שנאמר כי תקנה עבד עברי מנין כשמוכר עצמו לא ימכר אלא לך ת""ל ונמכר לך ",27,20,236.0,1211.0,0.6906474820143885,0.88,4080000912
912,1212,ref-y.2.2.4.7.1.3-ref-y.2.2.4.7.1.18,ref-sifre-d.118.4.22-ref-sifre-d.118.4.35,1155612,1155693,171988,172002,ref-y.2.2.4.7.1.3,ref-y.2.2.4.7.1.18,156383,156448,26237,26250,ref-sifre-d.118.4.22,ref-sifre-d.118.4.35,מכיר ואחד שאינו מכיר זה שהוא מכיר מהלך עם זה שאינו מכיר וזה שאינו מכיר,"ימכר אלא לך ת""ל ונמכר לך מנין כשב""ד מוכרים אותו אינו נמכר אלא לך",15,14,668.0,1211.0,0.6857142857142857,0.9333333333333333,4080000913
913,1214,ref-y.4.8.1.6.2.30-ref-y.4.8.1.6.3.5,ref-sifre-d.118.4.23-ref-sifre-d.118.4.35,3422992,3423100,515767,515787,ref-y.4.8.1.6.2.30,ref-y.4.8.1.6.3.5,156388,156448,26238,26250,ref-sifre-d.118.4.23,ref-sifre-d.118.4.35,אל ימכור לו מפני שמוציאו מן החלה יין ושמן אל ימכור לו לו מפני שמוציאן מן הברכה בכל מקום אין מוכרין,"אלא לך ת""ל ונמכר לך מנין כשב""ד מוכרים אותו אינו נמכר אלא לך",21,13,2852.0,1211.0,0.7244897959183674,0.7647058823529411,4080000914
914,1216,ref-y.3.7.1.1.32.76-ref-y.3.7.1.1.32.85,ref-sifre-d.118.4.37-ref-sifre-d.118.5.13,2833441,2833493,424668,424677,ref-y.3.7.1.1.32.76,ref-y.3.7.1.1.32.85,156453,156541,26252,26267,ref-sifre-d.118.4.37,ref-sifre-d.118.5.13,כי ימכר לך אחיך העברי או העבריה הקיש עברי לעברייה,כי ימכר לך אחיך אחיך העברי או העבריה קדושין יח יש בעבד עברי מה שאין בעבריה,10,16,2078.0,1216.0,0.40540540540540543,0.5555555555555556,4080000915
915,1218,ref-y.3.7.1.2.6.12-ref-y.3.7.1.2.6.21,ref-sifre-d.118.6.17-ref-sifre-d.118.6.27,2835751,2835796,425042,425050,ref-y.3.7.1.2.6.12,ref-y.3.7.1.2.6.21,156883,156939,26321,26329,ref-sifre-d.118.6.17,ref-sifre-d.118.6.27,"ת""ל שש שנים יעבד מה ראית לרבות את זה ולהוציא ",תלמוד לומר שש שנים יעבד ומה ראית להביא את הבן ולהוציא ,8,8,2089.0,1218.0,0.2777777777777778,0.5714285714285714,4080000916
